abdicate|vt.&vi.（国王或女王）退位
aboriginal|adj. 1（通常用Aboriginal）澳大利亚土著的
abroad|adv. 在国外；到国外
absolute|adj. 不受限制的，不受约束的
abstain|vi. ~ (from sth)（投票时）弃权
administration|n. [C] 常写作Administration，一国的政府，尤指美国政府
administration|n. [U] 政府管理
adopt|vt. [英] adopt sb (as sth) 在政治领域可指选定（某人为竞选的候选人）或选举（某人为代表）
adoption|n. [C, U] [英，政治]（候选人的）选定，推选，推举
agency|n. [C] [尤美] 提供某一服务的政府部门
agitation|n. [U, C] ~ (for/against sth) 政治上的公众骚乱、鼓动、煽动
alien|adj. [常贬] 属于另一个国家、种族、社会或群体（通常指令人厌恶或惧怕的国家、种族、社会或群体）的，即外国的、异域的、异族的
alien|n. [C]（美式英语也用non-citizen）[法律用语或术语] 外国人、外侨
alignment|n. [U, C]（国家间的）结盟、联合，或在争端或斗争中形成统一战线，尤指政治结盟
alliance|n. [C] ~ (with sb/sth) | ~ (between A and B)（国家、政党等为达成统一目标而结成的）联盟、同盟。可以是一种结盟的协议，也可以是结成的团体
ally|n. 1 [C]（尤指战时的）同盟国
ambassador|n. [C] 一国驻另一国的大使
ambassadress|n. 1 [C] 女大使
anarchy|n. [U] 一个国家的无政府、无秩序或失控状态
anarchy|n. [U]（国家、地区的）无政府状态、混乱、无法无天
arbitrary|adj. 无限制地运用权力的，或运用权力时不考虑他人的，即专制的，专横的，霸道的，是一种正式用法，如
arcadian|adj. 阿卡迪亚的；（生活）世外桃源式的、田园牧歌似的
arise|vi. [旧时]（为某事）群起抗议、反对或群起斗争
aristocracy|n. [C]（一些国家的）贵族阶层
aristocrat|n. [C] 贵族成员
assembly|n. [C]（也可用Assembly）由选举产生的、定期开会并为一个地区或国家制定决策或法律的一群人，如议会
assembly|n. [U, C]（一群人为某一目的所举行的）集会；也可指此类集会者
authoritarian|adj. 专制的、独裁的、威权主义的
authority|n. 1 [U] 对人下达指令的权力，即权威
authority|n. [C] 有权做出决定的人或组织，或在一个国家或地区拥有某种职责（responsibility）的人或组织，即当权者，当局，官方，常用复数，如
autocratic|adj. 独裁的、专制的、独断专行的
autocratic|n. [C] 拥有绝对权力的统治者，如独裁者、专指统治者
autonomous|adj.（一个国家、地区或组织）自治的。与independent相反
autonomy|n. [U]（一个国家、地区或组织机构的）自治；自治权；自主权
axis|n. [usually sing.] [正式] 两个或两个以上的国家之间订立的协议或结成的联盟
