accustomed|adj. [正式] 常用于名词前，通常的、惯常的，相当于habitual
after|prep. ... after ... 用于表明某事多次（或不断地）发生
again|adv. 1 再一次；又一次。是此义的常规用词
alternate|adj. [尤美，有时用于替代alternative] [常用于名词前] 间隔（…天等）的；每隔（…天等）的
annual|adj. 1 常用于名词前，每年一次的，一年一度的
around|adv. this time around或to come around可表示又一次地。不常用
back|adv. 再度变得时尚
can|modal verb. 用于表示有时属实，或在某些场合下属实
daily|adj. 1 只作前置定语，每日的；日常的
duplication|n. [U, C]（某人执行任务过程中）不必要的重复（因为先前已经做过了）
every|det. 用于表明某事发生（或被执行）的频率，如每、每逢、每隔
everyday|adj. 常用于名词前，每天发生（或被使用）的；日常的。有时与daily可互换
fixture|n. [C] 常客；似乎总在一个地方的事物
flare|vi. ~ up（疾病、伤势）突然复发或再次疼痛
for|prep. 用于表示某事发生的场合
frequency|n. [U, C] 某事的发生率、重复率
frequency|n. [U] 频繁
frequent|adj. 经常或频繁发生的
general|adj. 通常的，一般的，常作前置定语
hardly|adv. 1 几乎不；几乎没有
infrequent|adj. 不常发生的
lot|det. a lot of（也可用非正式的lots of）经常
never|adv. 从未；从不；未曾；绝不
occasion|n. [C] 某事发生的那个时间，即…的时候，某次
occasion|n. [sing.] on ~ 偶尔、有时
occasionally|adv. 偶尔、有时（而非经常）
odd|adj. the odd [只用于名词前]（无比较级和最高级）偶然发生或出现的；不是很规律或不是很频繁的
often|adv. 1 很多次，即经常，时常，常常，相当于frequently
once|adv. 仅仅一次；一次
over|adv. 又一次、再一次。不如again常用
rare|adj. rare (for sb/sth to do sth) / rare (to do sth) 不是经常地被执行（或被看到、发生等），如少见的，罕见的
rate|n. [C] 某事发生的频率
recur|vi. 再次发生；多次发生、反复出现
recurrence|n. [C, usually sing., U] 再次发生
regular|adj. 1 有相同的时间间隔的
relapse|n. [C, U] 旧病复发
repeatedly|adv. 重复多次地
repetition|n. 1 [U, C] 重复去做或说，即重做、重说、重复
repetitive|adj. 1（说话或做事）重复多次以致乏味的
replay|n. [C] [非正式] 被重复的事情；重复出现的事物
rule|n. [C] 常用单数，通常
scarce|adv. [文学] 勉强、几乎不；刚
scarcely|adv. 1 勉强、刚、几乎不、简直不
seldom|adv. 不常，（频率）很少，相当于rarely
sometimes|adv. 有时，间或
sporadic|adj. 偶尔发生的、间或发生的、阵发性的、断断续续且不规律的
time|n. [C]（做某事或某事发生的）次，回；还可指时机
typical|adj. 以通常的方式发生的；表明某事物的通常样态的。如一贯的，通常的，相当于normal。强调具有往常的特征
uncommon|adj. 在一个大的群体中（或在很多地方）不常见的、罕见的
usual|adj. usual (for sb/sth) (to do sth) 在多数时间或多数情况中发生的，即通常的；惯常的。相当于normal
weekly|adj. 1 一周一次的或每周的
would|modal verb. 用于谈论过去常常发生的事情，相当于used to
