above|prep.（职位）在…上面；到…上面
accept|vt. accept sb (into sth) / accept sb (as sth) 允许某人加入一个组织、机构，即接纳（为成员、会员等）。本身是一个广义用词，只不过其含义包括了录取之义。与reject相反
admission|n. [U, C] admission (to sth) 接受某人进入某个机构、组织等
admit|vt. admit sb (to/into sth) 准许某人入学、加入俱乐部或加入其他组织。是此义的常规用词。此时receive和accept与其均不见明显差别，且receive和accept也很常用
advancement|n. [U] [正式]（工作的）晋升
agent|n. [C] 商业、政治等的代理人或经纪人（即代表该组织与其他人打交道的一个人）
aide|n. [C]（尤指在政府或军队中身居要职者的）助手，副手
ascend|vt.&vi. [正式] ~ (to sth)（职位）提高、晋升
ascent|n. [sing.]（职位的）升高，提高
assistant|n. [C]（常指工作中）帮助或支持你的一个人，可称为助理或助手
associate|adj. 只用于名词前，常用于头衔，处于一个更低级别的，在某一专业领域或组织有较少权力的，如非正式的，准的，副的等
audition|vt. ~ sb (for sth) 对某人的试镜，试演，试唱，试奏进行观看、倾听和评判
axe|n. [sing.] [尤英] [美式英语用ax] [非正式] the axe可指（某人）被解雇
baby|n. [C] [非正式]（一个群体中）最年幼的成员
bailiff|n. [C] [英] 受雇为别人照看土地或不动产的一个人，如（地主或庄园主的）管家
below|prep.（职位）低于
boss|n. [C] 一个组织或部门的领导，或一个关系中说了算的人，可称为老板、领导、头儿、头目等，为非正式用法
bounce|vt. [尤美，非正式] bounce sb (from sth) 迫使某人离开一个工作岗位、团队等
brother|n. [C]（美国大学的）大学生联谊会（fraternity）成员
bump|vt.（从某群体）调出，开除（某人）
can|vt. [美，非正式] 解雇某人，即炒…的鱿鱼，或卷铺盖走人。与bounce未见明显差别。不过二者作为非正式用法，都不如fire常用
chairman|n. 1 [C] 负责会议事务的一个人（其告诉发言者何时可以讲话等），即会议主持人（或大会主席）
chairwoman|n. 1 [C] 会议的女主持人（或大会女主席）
chief|adj. 1（常写作Chief）级别最高的，即首席的
clerk|n. [C]（办公室、商店等）负责记录的一个人，即职员、簿记员
commissioner|n. 1 [C]（通常用Commissioner）委员会的委员、专员、特派员
council|n. [C] 一些组织机构中的一群管理者，如委员
councillor|n. [C]（缩写为Cllr）政务委员会委员；市议员
crew|n. [C] 在一起工作的一群特殊技术人员，即技术人员团队，专业团队
departure|n. [C, U] departure (from ...) 离职
deputy|n. [C] 领导的副职、副手（领导不在的时候代替领导行事），是领导手下最重要的一个人
director|n. [C] 一家公司中（或其它类型机构中）的若干名高级管理人员中的一名，或某一活动（或公司的某一部门、某个学院）的负责人
discharge|vt. [常用被动式] ~ sb (from sth) 给予某人正式许可，让其离开一份工作；使某人丢掉一份工作（如解雇）
dismiss|vt. dismiss sb (from sth) 正式解除某人的职位，即解雇，免职。当一个人被dismiss的时候，通常有合理的理由，且需要走正常的人事流程，词义色彩上也比较温和而中立，比较常用。常用被动式
dismissal|n. [U, C] 解雇；撤职
displace|vt. [常用被动式] [尤美] 将某人从一个工作岗位或职位上移除，如撤职、免职、辞退
drop|vt. 某人被一支运动队或一个组织除名或解职。暗示此人对该组织已不再重要
employ|vt. employ sb (as sth) 雇用。是此义的基础和常规用词，极为常用
employment|n. 1 [U, C]（尤指为赚钱而进行的）工作；受雇佣的状态
engage|vt. [正式] ~ sb (as sth) 雇用、聘用（某人去做某项工作）
engagement|n. [U, C] [英] 雇用、聘用
entrant|n. [C] ~ (to sth) 新加入某个职业、大学等的一个人，如新成员
establishment|n. [sing.]（通常用the Establishment）[常贬] 一个社会或专业领域中有影响力和权力的一些人，这些人通常反对变革，可称为“当权派”
executive|n. 1 [C]（公司或组织机构的）经理、主管
exile|vt. [常用被动式] ~ sb (from…) 开除
expel|vt. ~ sb/sth (from sth) 正式让某人离开一所学校或一个组织机构，如开除、除名
expulsion|n. [U, C] ~ (from…) 将某人从学校或组织机构开除、除名
fire|vt. 上司突然且专横地将某人“炒鱿鱼”，使此人被迫离开其工作岗位，强调该上司当时的一种愤怒感。感情色彩比较强烈。是一种非正式用法，常用被动式。日常生活中比较常用
for|prep. 受雇于…，强调为…效力，有很强的效忠感
general|adj. 级别上最高的，即总管的，首席的
go|vi. 1（常指被迫）离职
governor|n. 1 [C] [尤英]（学校、学院、医院等机构的）董事、理事
graduate|vi. graduate (from sth) to sth 逐渐晋升到一个更重要的职位上。强调晋升过程的平缓性（而非一蹴而就）
head|n. [C, U] 公司、团体或组织的负责人，领导人
hierarchy|n. [C] 掌控一家大型组织机构（如基督教会）的一群人，可称为“统治集团”
high|adj. 通常用于名词前，指接近等级、地位或职位的顶部的
hire|vt. 1 雇用，录用，聘请，此义项尤用于美式英语
interview|n. [C] interview (for a job, etc.) 工作或大学的面试
interviewer|n. [C] 主持面试者
junior|adj. junior (to sb) 常用于名词前，在一个组织（或职业、专业）中级别低下的
layoff|n. [C]（通常指因工作岗位不足而导致的）解雇、裁员、下岗
leader|n. [C] 商业组织等的领导者
leave|vt.＆vi. 离开（居住地点、所属的群体或工作单位）
manager|n. [C] 负责运营一家公司（或一家商店等类似组织机构，或机构下属的一个部门）的一个人，即经理等
marshal|n. [C] 确保公共活动（尤指体育赛事）顺利举行（并掌控人群）的一个人，如司仪，典礼官
member|n. [C] member (of sth) 加入某一群体、俱乐部或团队的一个人、国家或组织，即成员，会员
membership|n. 1 [U] [英，美]（某个团体、俱乐部、组织机构等的）会员资格、成员资格
move|vt. move sb (from ...) (to ...) 变换或调动（某人的工作）
officer|n. [C] 常构成复合词，指大机构中拥有权力的官员或职员
official|n. [C] 常构成复合词，指一个大组织中的官员、要员
on|prep. 用于表明某人为某一群体或组织的一员
opening|n. [C] 一个空缺的职位，相当于vacancy。是一个简单用词
outgoing|adj. 只用于名词前，即将卸任某一责任职位的（即不再对该职位上的事务之对错或功过负责的）
parachute|vt.&vi.（使）空降（指突然从外部调入某个组织机构）
part|n. [U] 成员
personnel|n. [pl.] 组织或军队中的全体工作人员
poach|vt.&vi. ~ (sb/sth) (from sb/sth)（尤指秘密地、耍手段或不公平地）挖走人员
presidency|n. [usually sing.] 组织机构的主席或总裁的职位（或任期等）
president|n. [C] 一些组织机构、俱乐部等的负责人，即会长、主席等（也可用President）
promote|vt. promote sb (from sth) (to sth)，常用被动式，（职位）晋升。是此义的常规用词，与demote相反
promotion|n. [U, C] ~ (to sth) 职位的晋升
quit|vt.＆vi. [非正式] quit (as sth) 离开（工作岗位、学校等）
rank|n. [C] the ranks 为复数名词，指某一团体或组织的成员
reach|n. [pl.] the higher, lower, etc. reach of sth 组织、系统或体制等的高级别、低级别（或其他）的部分
receive|vt. receive sb (into sth) 正式接纳某人（使其成为一个群体的一员）。是一个简单用词
recruit|n. [C]（组织机构、公司等的）新成员
recruit|vt.&vi. 招募新人（使其加入一个公司、组织机构、学校、武装部队、警队等）
recruitment|n. [U] 成员（如士兵、员工等）的招募
redundancy|n. [U, C, usually pl.] [英]（因劳动力过剩而造成的）裁员、解雇
redundant|adj. [英]（人）因公司的劳动力过剩而被裁剪的
regular|n. [C] 经常在某一团队中效力的队员，即主力（或正式）队员
reject|vt. 拒绝接纳一个求职者
release|vt. ~ sb (from sth) 与某人解除合同等
relieve|vt. 解除（或免除）…的职务
removal|n. [U] ~ (of sb) 解雇、免职
remove|vt. 解除或免除（某人的职务等）。暗示有其他人来接班
resident|adj.（大机构的专家）特聘的
resign|vt.＆vi. resign (from sth) / resign (as sth)（从公司、组织机构等）辞去职务，辞职
resignation|n. 1 [U, C] 辞职
retain|vt. [更正式] [法律]（以预付金的形式）聘请律师
retire|vt.＆vi. retire (from sth) / retire (as sth)（尤指因达到某一年龄或由于疾病而）退职，辞职；使退职，使辞职
retirement|n. 1 [U, C] 退休；退休年龄
sack|vt. [非正式，尤英] 解雇
secretary|n. [C] 俱乐部、社团等的文书、干事
secretary|n. [C] 办公室中为其他人处理一些周边性工作事务的秘书
senior|adj. senior (to sb) 级别（或地位）高的，资深的
servant|n. [C] 为一家公司（或一个组织机构）工作的一个人，即雇员、职员
shed|vt.（常用于报章）裁员
sister|n. [C]（美国大学的）女生联谊会（sorority）成员
spokesman|n. [C] spokesman (for sb/sth) 代表一个组织进行发言的人
staff|n. [C, usually sing., U] 一个组织机构中的所有工作人员，即全体职员，全体雇员（被视作一个团体）
steward|n. 1 [C] 大型公共活动或事件（如比赛、游行、集会等）的协助组织者，统筹人（可以是男性，也可以是女性）
subordinate|adj. ~ (to sb) 隶属于某个群体或组织的、下级的
subscriber|n. [C] [英]（组织的）定期缴费者、会员
suit|n. [usually pl.] [非正式] 一家公司（或一个组织）中居于一个重要职位的管理人员（尤指财务方面的或拥有很大影响力的一个高管）
superior|adj. superior (to sb)（在职位上）更高的
supreme|adj. 常用于名词前，（级别）最高的、至高无上的
suspension|n. [U, C] 正式让某人从其职位、学校、团队等暂停工作一段时间（通常作为一种惩罚），即停职、停学、停赛等
top|adj. 常用于名词前，（职位）最高的
treasurer|n. [C]（俱乐部或组织机构的）财务主管，如司库
upgrade|vt. [常用被动式] ~ sb (to sth) 提拔某人（到一个更高的职位上）
vacancy|n. [C] ~ (for sb/sth) 职位的空缺
vacant|adj. [正式]（一家公司中的一个职位）空缺的
warden|n. [C] 用于头衔，指英国一些学院和大型机构的负责人，如学院院长、协会会长、机构主管
with|prep. 受雇于…，使用…的服务，倾向于以平稳的语气来陈述在某家机构工作的事实，并不如for那样刻意强调对机构的效忠感
