about|adv. [尤英] 在各个方向上、到处、各处
across|prep. 在某地、一群人等的各处，相当于throughout
anywhere|adv. 1 用于否定句和疑问句，代替somewhere，表示在任何地方
area|n. [C]（物体上的）区，部位
around|adv. 在各处；到各处
around|prep. [尤美] [英常用round] 在那边；到那边；从那边
at|prep. 1 在某地
base|n. 1 [C] 活动（如商业等）的根据地，大本营，据点，总部等
be|vi. 位于，在某地
belong|vi. 处于一个正确或恰当的地方
bench|n. [C] 长且重的工作台（用于用工具等做一些手工工作），相当于workbench
box|n. [C] 剧院中的包厢；法庭中的专席（均与其他人的座位分开）等
checkpoint|n. [C] 边境检查站、边防关卡
city|n. [U] [非正式] 用于其他名词之后，以表明某地充满某种事物，即充满…的地方
come|vi. 处于或位于某个位置
consist|vi. [正式] consist in sth 拥有某事物作为主要或唯一的部分、或拥有其作为特征，可翻译为在于
control|n. [sing.] 发出命令的一个地方，或执行检查核对的一个地方。如指挥站、检查站、控制站；还可指这类地方的工作人员
corner|n. [C] 一个地方的一个区域（有时用于指遥远或难以到达的一个区域或地区）
deck|n. [C] 房子旁边供憩息的木制平台
destination|n. [C] 某人所去（或被送到）的一个地点，即目的地，终点
disperse|vt.&vi.（使）静态地散布
distribute|vt. 常用被动式，（在一个区域内）散开或分布某事物（或某事物的不同部分）
distribution|n. [U, C] 某事物在某地的分布
dot|vt. 常用被动式，（在一个区域内）分布一些事物或人，或被分布于一个区域。是一个形象化用词
down|adv. [非正式] 到（或在）当地的一个地方（例如商店、酒馆等）
end|n. [usually sing.] 电话线、旅程等所联接的两个地方之一
everywhere|adv., pron., conj.（美也用everyplace）在各处；到各处；各个地方，所有地方
gallery|n. [C]（尤指用作某个用途的）一个狭长空间，即长廊
haunt|n. [C] 某人常去的一个地方；某人消磨时光的地方（因为此人喜欢这个地方）
head|n. [C] 单数名词，the head of the table 指桌子周围最重要的一个座位，即上座
headquarters|n. [U, C]（缩写为HQ）组织机构（或军事行动）的大本营、总部、总公司、司令部
height|n. [C, usually pl.] 常用于名称，指高的位置
here|adv. 1 用于动词或介词后，表示在这里，向这里，到这里（这里指的是一个地方）
home|adv. 到正确的位置
home|n. [sing., U] 一种植物通常所生长于或动物通常所居住于的地方；某人或某事物被发现的地方
house|vt. 是…的运营地点
layover|n. [C] [美]（旅程中的）中途短暂停留。相当于stopover
lie|vi. 1（物品）平放（在一个表面上）
linger|vi. 在某地逗留更长时间（因为不想离开）
locate|vt. 把…安置在（或建造于）某地
location|n. [C, U]（电影的）外景拍摄地
location|n. [C]（…发生或存在的）地点、位置
neck|n. [C] neck (of sth) 物体（如瓶子、吉他等）的细长部分，颈部
nestle|vi. 处在一个受保护（或半遮掩）的地方
nowhere|adv.（no place尤美）不在任何地方；不到任何地方。即无处；任何地方都不
occupation|n. [U] 对建筑物、房屋、土地等的使用（如居住），即占用。为正式用法
occupied|adj. [名词前不可用]（房间、座位等）正被某人使用中的
occupy|vt. 1 占用空间、区域，相当于take up
of|prep. 用于表示人或事物的空间位置，即在
on|prep. 1 在某地
over|prep. all over可表示遍及某事物的所有（或大多数）部分
