africa|n. 非洲
african|n. [C] 非洲人（尤指黑人）
age|n. [C] 地质学中可指“期”
altitude|n. [C, usually pl., U] 海拔高的一个地方
altitude|n. [C, usually sing.] 高出海平面的高度，即海拔高度。是此义的常规用词
america|n. 1 [sing.] 美国
american|n. 1 [C] 美洲人；（尤指）美国人
antarctic|adj. 只作前置定语，南极的
arabic|n. [U] 阿拉伯语
arctic|adj. 只作前置定语，北极的；北极地区的
area|n. [C]（地方、城镇、国家、世界的）地区，地域（有时可指居住区域或管辖区域）。是此义的基础和广义用词
area|n. [C]（用作某个用途的）一片场地或建筑物的一部分，即地方，场地，区
arm|n. [C] 与一片较大的水体相连接的一片狭长的水体
arm|n. [C] 与一片较大的陆地相连接的一片狭长的陆地
artery|n. [C] 一条大型且重要的河流，即干流
asia|n. 亚洲
asian|n. [C] 亚洲人
atlantic|n. [sing.] the Atlantic或the Atlantic Ocean可指大西洋
atlas|n. [C] 地图册、地图集
avalanche|n. [C] 山坡上落下的大量雪、冰和岩石，即雪崩、山崩
bank|n. [C] 河（或湖）边或其附近的地区，即岸、畔、堤（表示湖畔时，与shore有交集。shore偶尔也可表示河岸，不过此时是在强调河流的宽度，现实中极不常见）
basin|n. [C] [术语]（地球表面的）盆地（可指陆地上的盆地，也可指海洋中的凹地，此时可称为海盆）
basin|n. [C] 一条大河周围的一片土地（各条溪流流进此地），即流域
bay|n. [C]（海或湖的）湾（即被弧形陆地包围的部分）
beach|n. [C]（有沙子或小石块的）海边或湖边，即海滩；湖滨；沙滩。其词义主要包括三个要点，第一，可以是海洋（咸水体）的海滩，也可以是湖泊（淡水体）的湖滨；第二，通常是缓坡（而非陡坡）；第三，有很多沙子或小石块（且常是卵石）
bed|n. [C] 地质学中可指地下的一层黏土、一层岩石等。强调整体上的一个地质物质层
bed|n. [C]（河、海等的）底。强调一种床状地貌
below|prep. below ground或below the ground 可表示在地表下
