bag|vt. [非正式] 捕获一只动物
by|prep. 用于表示某人所触及或抓住等的某人或某物的一部分
capture|vt. 捕获动物（并将其置于封闭空间）
catch|vt. 1（尤指用手）阻止并握住一个移动中的物体，即接住，截住，拦住等。表示一个瞬间的动作
clasp|vt. 用手攥紧、抓紧
clasp|vt.（用胳膊）抱紧、搂紧
claw|vi. 用力抓住…
clench|vt.&vi.（通常表示愤怒、决心或不安时）攥紧拳头等
cling|vi. ~ (on) to sb/sth / ~ on/together 紧紧抓住、握住、抱住某人或某事物
close|vt.＆vi. cloth (sth) about/around/over sb/sth 把某人或某物牢牢掌控住（如抱住、握住等）
clutch|vt.&vi. 紧紧握住、抓紧
clutch|vt.&vi. 紧紧搂住、抱住
cradle|vt. 把某人或某事物轻轻捧在手里
cup|vt. cut sth (in your hands) 使双手成圆状来控制住某事物，如捧着
fasten|vt.＆vi. 用手臂紧紧抓住或握住（某人）等
get|vt. 抓住某人（尤指为了伤害或惩罚他们）。也是此义的一个简单用词。表示一种结果
grab|vt.&vi. ~ sth (from sb/sth) 用手突然抓住、牢牢抓住或粗鲁地抓住
grasp|vt. 紧紧抓住或抓牢，相当于grip。表示一个持续的状态
grip|vt.＆vi. 紧握、紧紧抓住
handle|vt. 用手抓握某事物。并不强调力度大小（如轻拿轻放就可用handle），仅表示一种事实
handling|n. [U]（用手对某事物进行的）抓握
haul|n. [C] 一次捕获的鱼的数量，如一网鱼
have|vt.（也可用have got）抓住，握住，抱住，支撑等（即hold），可看作hold的一个简单用法
hold|vt. 1（用手或胳膊等）拿着；抓住；抱住；托住等（总之掌控在手或胳膊等部位里）。表示一种持续的状态，而非瞬间的动作
lock|vt. be locked together/in sth 被某人紧紧抓住等
net|vt. 用网来捕捉…，尤指捕鱼
nurse|vt. 小心地抱着，或小心地把…放在身体附近
onto|prep. 用于hold、hang、cling等动词之后，表示某人紧紧掌控住…，或某物被紧紧控制住
press|vt.（尤指深情地）紧握某人的手或胳膊
purchase|n. [U, C] 正式用法，单数名词，是一种术语，指用手牢牢抓住或用脚牢牢蹬住，相当于grip
seize|vt. 1 seize sth (from sb) 突然用手用力抓住，相当于grab
snatch|vt.&vi.（常指粗鲁地）一把抓起、一下子夺过。相当于grab
take|vt. 1 伸出手或胳膊去控制住某物或某人，即拿，握，取，接，抱等。既可表示一种持续的状态（且常表示在“抓住”等这类瞬间动作之后的一种持续掌控的状态），也可表示一种瞬间的结果（即某人先抓住某东西，然后瞬间将其掌控住）。其过程常包含了catch和hold
trap|vt. 把某事物捕捉（或保持）在某地并防止其逃逸（尤指为利用该事物）
with|prep. 由…持有或负责
