adjust|vt. 轻轻移动某事物，使其看起来更整洁或让人感觉更舒服
band|n. [C] 绕在…周围的、细的、扁平的、戴在头上或手腕上的装饰性带子或圆环
bang|n. [pl.] [美] bangs可指头发的刘海儿。相当于英式英语的fringe
barber|n. [C] 以为男子理发为职业的人，（有时也刮脸）即理发师
bath|n. 1 [C] [英]（也用bathtub，非正式为tub，英美均可用）大且长的浴缸或浴盆
bathe|vt.＆vi. [美] 给某人洗澡；洗澡。相当于bath
blush|n. [U, C] [美] 胭脂。相当于blusher
bob|vt. 把头发剪成蘑菇头
bounce|n. [U] 头发的富有弹性的特质，或称为蓬松，而非平平塌塌
brooch|n. [C] 背部有别针的一种首饰，用于别在衣服上，如胸针；领针；饰针
bun|n. [C] 圆发髻
clip|n. [C]（别在衣服上的）带别针的首饰
close|adj. 剪得很短的，剪得接近皮肤的
comb|n. [C, usually sing.]（用梳子或篦子）梳头发
compact|n. [C] 女用的带镜子的小脂粉盒
cosmetic|n. [usually pl.] 化妆品
cream|n. [U, C] 护肤霜；或用于清洁的一种乳液；膏状物质
crimp|vt. 用烫发工具使某人的头发卷曲
crop|vt. 把某人的头发剪得非常短
curl|vt.&vi.（头发）卷曲，使（头发）卷曲
cut|vt. 将头发、指甲等剪短，即修剪
do|vt. 与名词连用，以谈论诸如梳头等任务
earring|n. [C] 耳环；耳饰
essence|n. [U, C] [英] 从植物中提取的、具有强烈气味和味道的液体，如香精、精油
facial|n. [C] 美容，面部护理
fix|vt. [尤美] 梳洗、整理或收拾头面、衣服、装束以使其整洁漂亮
foundation|n. [U]（化妆打底用的）粉底霜
fragrance|n. [C] 香水
fringe|n. [C, usually sing.] [尤英] [美也用bangs] 某人额前的短垂发，即刘海儿
fuzzy|adj.（毛发）团团紧鬈的、拳曲的
go|vi. [非正式] 用厕所，上厕所
grip|n. [C] [英] 相当于hairgrip，即发夹
groomed|adj.（通常用于副词后）用于描述某人的穿着和发式打扮，即打扮得（干净利落或邋遢）的
haircut|n. 1 [C] 理发
highlight|vt. 挑染（将部分头发染成浅色）
knot|n. [C] 头上的圆形发髻
lacquer|n. 1 [U] 漆质化妆品
lacquer|vt. [过时，英] 给（头发）喷发胶
liner|n. [C]（化妆用的）眼线笔。相当于eyeliner
lipstick|n. [U, C] 口红；唇膏
make-up|n. [U] 化妆品
mascara|n. [U] 睫毛膏；睫毛油
mask|n. [C] 面膜
mop|n. [C] 一团厚厚的（常是不整洁的）头发，即乱蓬蓬的头发
necklace|n. [C] 项链
oil|n. [U, C] 用作化妆品或香水的油
oily|adj. 含油的；为油脂所覆盖的
paint|vt.（在指甲、嘴唇等部位）施用化妆品
pancake|n. [U] 化妆用的粉饼（尤指剧院化妆所用）
part|n. [C] [美] 用梳子给头发分的缝，相当于parting
parting|n. [C] [英] [美式英语用part] 头发的分缝
perfume|n. [C, U] 香水（常从鲜花中提取物质，喷在皮肤上使自己具有香气）
permanent|n. [C] [旧时，美] 卷发或烫发的方式，相当于perm
pin|n. 1 [C] 作为首饰而起到装饰作用的一端有尖的小型针状物，如饰针，胸针等
plaster|vt. 把（头发）梳平（使其粘在头上）
powder|n. [U] 用于扑在面部的粉
powder|vt. 在…上面敷粉或抹粉
relieve|vt. ~ yourself（去厕所的一种委婉说法）方便，解手
ring|n. [C] 戒指、指环等环形装饰物
rub|n. [C]（揉进皮肤的）按摩膏；面膜
rug|n. [C] [非正式，尤美]（男用）小型遮秃假发，相当于toupee
scent|n. [U] [尤英] 香水
scrape|vt. ~ your hair back 把头发拢在后面
season|n. [C]（一年当中发型的）流行期
set|vt. 为湿头发固定发型（使头发在干了之后保持该发型）
shade|n. [pl.] [非正式] 太阳镜，墨镜，相当于sunglasses
shampoo|n. [C, usually sing.] 用香波洗头发
shave|vt.＆vi. 用剃须刀将毛发从皮肤上（尤指脸上）剃掉
shower|n. 1 [C] 淋浴器
slap|n. [U] [英，非正式] 化妆品，相当于make-up
slide|n. [C] [英] 妇女用于固定头发的装饰性小发卡，相当于hairslide
soak|vi.（长时间地）泡澡
soap|vt. 用肥皂擦，抹肥皂
spray|n. 1 [C]（作装饰用的）小树枝，小花枝等小的植物枝条（带有叶子和花或浆果）
sweep|vt. 朝某个方向梳（或刷、掠等）头发
tattoo|n. [C] 文身；（在皮肤上刺的）花纹、刺青
tease|vt. 1 将某事物轻轻地分成不同的部分并使其分开，如梳理
tint|n. [C] 染发
toilet|n. [U] [旧时] 洗漱、打扮、梳头等的过程
trim|vt. 修剪头发或胡须
vanity|n. [C] [美] vanity table可指梳妆台。相当于dressing table
wave|n. [C] 某人头发的卷曲或波浪
wax|vt. 用蜡除去身体部位上的毛发
wig|n. [C] 假发（用于掩盖自己的秃头、覆盖自己原有的头发或在法庭上为一些法官或律师所戴）
