angle|vt. 放置…，使其不直接对着某人或某物，即斜置
bottle|vt. 将液体装入瓶中
box|vt. box sth (up) 把某物放在盒子里
clap|vt. 把…快速且突然地置于某处
consign|vt. [正式] ~ sb/sth to sth（为摆脱某事物而）把某人或某事物置于某处
cover|vt. cover sb/sth in/with sth 在…上面放置或撒上、洒上、溅上、铺上一层液体或灰尘、其他事物等
deposit|vt. 把…放置在某一位置
dot|vt. dot A on/over B / dot B with A（在一些地方或表面）放置一定数量的某物，即布满或点缀等
drape|vt. ~ sth around/round/over, etc. sth 将身体的某部位随意搭在…上
dump|vt. 随便乱放
erect|vt. [正式] 设置障碍
fit|vt. 把…放在或安装在某处
glaze|vt. 给某事物安装玻璃板
go|vi. 1 被放置（在通常或合适的位置或地方）
install|vt. 安装设备或家具
interpose|vt. ~ sb/sth (between A and B) [正式] 将某事物置于两个人或事物之间
lay|vt. 1 把…放在某个位置（尤指轻轻地或小心地放置）
mount|vt. ~ sth (on/onto/in sth) 将某事物安放、安装、镶嵌在…上（以进行使用、观察或研究）
nestle|vt. 使某人或某事物处在一个温暖或柔软的地方
panel|vt. [常用被动式] 用扁平的木条、玻璃等覆盖或装饰一个表面，即给…镶板
pile|vt. pile sth (up) / pile A in(to)/on(to) B / pile B with A（把一些事物）堆放，叠放或摞起
place|vt. 1 把…放在某个位置（尤指小心地、稳妥地或从容地放置）
plant|vt. 把（某事物或你自己）牢固地安放在某处
pocket|vt. 把…放入衣袋
pop|vt. [尤英，非正式] 将某事物迅速或突然放置在某处
position|vt. 把…置于某个位置上，相当于place
put|vt. 1 把…放在某个地方或位置，即放置
recess|vt. ~ sth (in/into sth) 把…放进壁龛或壁橱、将…嵌入墙壁
set|vt. 1 将…置于某地或某位置
settle|vt. 把某事物放置在某个地方（使其不移动），即安放
slam|vt. 将某事物用力一放（至某个位置上）
slip|vt. 快速、安静而秘密地（即快速而悄悄地）把…放置在某处
stack|vt.&vi. ~ (sth) (up)（使）放成整齐的一叠（或一摞、一堆）
stick|vt. [非正式]（尤指迅速或粗心、随意地）把…放在某处
stow|vt. ~ sth (away) (in sth) 把某事物放在一个安全的地方
thread|vt. 把（胶片、磁带、丝弦等）装入设备（以供使用）
top|vt. top sth (with sth) 常用被动式，把某事物置于其它事物的顶上（二者接触）
