above|prep.（数目、数量、水平、年龄）超过；多于；大于
acre|n. [C] 丈量土地的一种单位，相当于4047平方米，即英亩
add|vt.＆vi. add A to B / add A and B (together) 把若干数字或数量加到一起以得到一个总数，即加，反义为subtract
addition|n. [U] 加；加法。反义词为subtraction
altogether|adv. 用于给出一个总的数字或数额，如总共，一共
amount|n. [C, U] amount (of sth) 尤与不可数名词连用，指数量或数额。有一种“总量”或“总额”的色彩，且通常不算是一种正式用法。此时单纯在词义上相当于quantity
amount|vi. amount to后接某一总数，可表示总计
and|conj. 1 用于连接整数后的分数
and|conj. 加，加上，相当于plus
arithmetic|n. [U] 计算，算术运算。也不太常用
army|n. [C] 单数名词，指一大群人或事物，尤指以某种方式来组织起来的，或在某一活动中所涉及的一大群人或事物
array|n. 1 [usually sing.] 一大群人或一大堆事物
assess|vt. assess sth (at sth) 核算（或核定、估算）某事物的数量或价值，相当于estimate
at|prep. 以（或达到）某个速度、比率、频率、水平、价格、数量等
at|prep. 用于说明两者之间的角度
average|adj. 只作前置定语，平均的。是此义的常规用词
bag|n. [C] bag (of sth) 一袋子的数量
band|n. [C]（因有共同的兴趣、信仰、观点或想法等而聚在一起共同做某事的）一群人，即趣味相投的群体
bank|n. 1 [C]（尤指被风吹到一起的）积云或积雪等
barometer|n. [C] 气压计；晴雨表
barrage|n. [sing.] ~ (of sth)（常指快速而凶猛的）接二连三的一大堆（质问或指责等）
base|n. [C, usually sing.] 基数（如十进制的10和二进制的2）
basin|n. [C]（液体等）一盆的量
basket|n. [C] 一篮（或一篓、一筐）的量
batch|n. 1 [C] 被作为一组来处理的一群同类的人或事物，如一批
battalion|n. [C] [正式] 一大群人，尤指有某个宗旨的、被组织起来的、高效的一大群人
battery|n. 1 [C] battery (of sth) 同种类的大量事物或人，即一系列；一批；一群等
be|linking verb. 等于。是一个简单用词，口语中较为常用
below|prep.（数量、比率等）少于；（标准、水平等）低于
between|prep. 介于两个数量、重量、距离等之间
bite|n. 1 [C]（从更大块食物上咬下的）一口食物
blanket|n. [usually sing.] blanket of sth 某事物的一个厚层（或一个厚的覆盖体）
block|n. [C] 在测算事物的数量或时间量时，指被作为一个单元的数量，该单元常被批量处理
bolt|n. 1 [C] ~ of lightning 一道（闪电）
bombardment|n. [U, C]（气势汹汹的）一连串（想法、要求、质问或批评）
book|n. [C] 装订成册的一套东西，如邮票、票等
bottle|n. [C] 也可用bottleful，指一瓶的量
bowl|n. [C] 也可用bowlful，指一碗，一钵或一盆等的量
box|n. [C] 一个盒子和其中的东西
brace|n. 1 [C] [复数为brace]（ 猎获的鸟或兽）一对，一双
brigade|n. [C] [常贬]（信奉某事或具有共同特点的）一群人
bunch|n. 1 [C] bunch of sth 生长在一起（或被系在一起）的一些同种类事物，如串、束、扎等
bundle|n. 1 [C]（捆扎或包裹在一起的）一捆、一包、一扎
by|prep. 用于乘法或除法运算
by|prep. 用于表示尺寸
by|prep. 用以表明…的程度或数量
calculate|vt.（利用数字来）计算或核算出一个总数、数量、距离等，相当于work out。是此义的常规用词
calculation|n. [C, U] 数学计算
