appointment|n. [C] [尤英] 责任岗位、职位
bureau|n. 1 [C] [美]（提供某方面信息的）办事处，办公室，机构
capacity|n. [C, usually sing.] 某人的职位、职能、职责
chair|n. [sing.] the chair 可指负责一个会议（或委员会）的职位，如主席席位，委员长席位；也可指处于该职位的一个人，如主席，委员长
chamber|n. [pl.] 法官的办公室
clock|n. [C]（工厂或办公室的）考勤刷卡机
continue|vi. continue (as sth) 仍然在某一职位上，即留任
fill|vt.（在工作中）担任或充任某个角色、职位等，做某项工作。强调对一个职位空缺的“填充”
forefront|n. [sing.] the ~ 首要职位
function|n. [C, U] 职能
hat|n. [C] [非正式]（双重或多重的职位或角色中的）一个职位或角色（尤指官职或专业角色）
hold|vt. 与office，power和responsibility等词连用，可表示担任（职务）；掌握（权力）；承担（责任）等。强调一种长期处于某一职位的状态，而非短期性的“填充职位”的动作
niche|n. [C] 舒适或称心的角色、生活方式等
occupy|vt. 在某一体系、过程或计划中占据某一位置，如任职，执政，相当于hold，稍微不如hold常用
office|n. 1 [C] 用于办公的一个房间、一系列房间或一栋建筑物（常配有办公桌），即办公室；办公楼
office|n. [U, C]（尤指政府中的）重要职位或权力；也可指此种与职位相关的工作和职责
place|n. [C] 作为某一运动队的队员（或委员会的成员、机构的成员等）的身份或资格，即队员身份；队员资格
position|n. [C] [正式]（工作上的）职位或职务，相当于post
post|n. [C] 职位，尤指大型机构的要职
premise|n. [pl.] premises可指（企业或机构使用的）房屋及土地、经营场所、办公场所
role|n. [C]（一个主体在一个组织、社会、关系中所拥有或被认为拥有的）职能、作用、角色、位置
seat|n. [C]（议会、理事会、委员会、公司董事会等的）一个正式职位，即席位
sit|vi. sit in/on/for sth / sit as sth 拥有一个正式的…职位；作为…的一名成员而拥有一个正式的…职位。也强调一种长期处于某一职位的状态。不过多为高级的、具有一定决策权或对决策有影响力的职位
situation|n. [C] [旧时或正式] 工作岗位
tenure|n. [U] 终身职位，终身聘用，尤指大学教师的终身教职
work|n. [U] 不与the连用，表示工作地点或场所。是一个概括用词
