about|prep. [文学] 围绕（某人或某事物）
above|prep.（因太善良、太正直、太好或太重要而）不至于或不屑于（去做某事）
accessible|adj. accessible (to sb) 可被到达、进入、使用、看到等的
arch|vi. 呈拱形的线条或形状来穿过或覆盖、横跨…
area|n. [C] area (of sth) 某一学科或活动（或其中的一个方面），即领域
arena|n. [C] [正式]（尤指不同群体或国家间的充满竞争性的）竞争领域、斗争舞台
around|adv. 周围；四周
bank|vt. bank sth (up) 用灰等封火，使其缓慢地燃烧
battlefield|n. [C] 斗争的领域，算是一种比喻用法
battleground|n. [C] 斗争的领域，算是一种比喻用法
besiege|vt.（士兵）包围、围困（建筑物、城市等）
beyond|prep. 1 超出…
blanket|vt. [正式] 常用被动式，用一层厚厚的…完全覆盖某事物
blockade|n. [C] 包围、封锁一个地方（尤指港口）以防止人员或货物进出
blockade|vt. 包围、封锁一个地方（尤指港口）
boundless|adj. 无限的；似乎无止境的
byway|n. [pl.] byways指一个学科的次要领域、冷僻领域
cake|vt. cake sth (in/with sth) 常用被动式，用厚厚的一层软东西来覆盖…（该软东西干后可变硬）
cap|vt. cap sth (with sth) 常用被动式，用…覆盖…顶部（或端部）
carpet|n. [C] [文学] carpet (of sth) 地上的一层厚东西
circle|n. [C]（相同兴趣、职业等的人所形成的）圈子
clad|adj.（通常为正式用法）-clad 用于构成复合词，指（建筑物、山峦等）…覆盖的
cleave|vi. ~ to sb/sth [文学] 紧贴某人或某事物
cloak|vt. [常用被动式] [文学] ~ sth (in sth) 覆盖、遮盖；笼罩
clothed|adj. [名词前不常用] ~ (in sth)（地点或事物）被…覆盖的
coat|vt. coat sth (with/in sth) 给…涂上（或覆盖上）一层…
common|adj. 经常发生的；存在于一个大的数量中的；存在于很多地方的。如常见的，通常的，普遍的
commonplace|adj. 经常发生或存在于很多地方，因而很寻常的，如平凡的、普通的；普遍的
community|n. [C] 具有相同宗教、种族、工作等背景的一群人，如团体、社团、界
compass|n. [sing.] [正式]（尤指在某种情况下可以达到的）范围或范畴、界限
confines|n. [pl.] [正式] confines可指范围；界限；边界
cover|vt. 1 cover sth (with sth) 把…放在…上面或前面以对其进行隐藏或保护，即掩盖，遮盖
coverage|n. 1 [U]（书、课程学习、电视等的）信息范围，信息质量
covered|adj. 1 [名词前不可用] ~ in/with sth 在某事物上盖着一层…的；盖满了…的
dab|vt. 将某事物轻轻而快速地放到一个表面上，如轻涂、轻敷
dimension|n. [usually pl.]（一种情况的）规模、程度、范围
domain|n. [C]（知识或活动的）领域、范围，尤指某人所负责的领域或范围
down|adv. 用于表明一个范围（或顺序）的限度、极限，如下至、直至
drape|vt. ~ sb/sth in/with sth 用织物等覆盖或装饰某人或某事物
empire|n. [C] [贬] 比喻用法可指有权有势者在某个领域所掌控的人脉和其它一切资源
enclose|vt. [常用被动式] ~ sth (in/with sth) 用墙壁、篱笆等把土地围起来
encompass|vt. [正式] 完全包围、围绕或覆盖某事物
endemic|adj. ~ (in/to…)（情况、问题）在某地或某群人中普遍存在（而难以清除）的
endless|adj.（尺寸）极大的且似乎没有尽头的，相当于limitless
exceed|vt. [正式] 超越（法律、权限、命令等的）限制
excessive|adj. 超过合理限度的，如过度的、过分的
extend|vi. 覆盖某一范围、距离
extensive|adj. 1 覆盖大范围的
extent|n. [sing., U] 一个区域的物理范围
extravagant|adj.（想法或言行）过度无节制的、离谱的
face|vt. 常用被动式，指用另一种材料来覆盖…的表面
field|n. [C] 某人所从事或感兴趣的某个学科或某种活动，即领域、界
fold|vt. fold A in B / fold B round/over A 将某人或某事物用…包裹起来
footprint|n. [C] 一颗通讯卫星发出的信号所覆盖的地理范围
front|n. [C] 某一活动领域
frontier|n. [C, usually pl.] frontier (of sth) 某事物（尤指某一学科或活动）的尖端或边缘
gamut|n. [sing.] the gamut可指（某类事物的）全范围
general|adj. 在数量上涉及（或影响）到全部（或大多数）人、地方、事物的，即普遍的
generalize|vt. [常用被动式] [正式] ~ sth (to sth) 将（理论、想法等）运用到更广的群体或情况中
ground|n. [U]（兴趣、知识或思想的）领域，范围
haze|vt.&vi.（使）笼罩在薄雾中
hem|vt. ~ sb/sth in 包围某人或某事物（使其不能轻易移动或成长）
horizon|n. [C, usually pl.] （欲望、知识或兴趣的）范围，眼界
hover|vi.（云雾等）在空中的一个地方停留，如悬停
hug|vt. 缚紧或缠紧某物（尤指人体）
immeasurable|adj. [正式] 太大而无法估量的
inexhaustible|adj. 用之不竭的
infinite|adj. 1 极大的；无法衡量的
infinity|n. 1 [U]（也可用infinities[pl.]）无限、无穷
ken|n. [sing.] beyond your ~ [旧时用法] 超出了某人的理解力范围
kingdom|n. [C] 由某个人所控制的区域，或某个事物或思想的领域（该事物或思想在该领域中占有重要地位）
lay|vt. lay A (on/over B) / lay B with A（在某物上）摊开，涂，敷；用一层…覆盖…
lie|vi. 在某地伸展开，铺开，展开等
limitless|adj. 无限制的、无止境的
line|n. [sing.] 商业、活动或兴趣的某一类型或领域、范围，为单数名词
line|vt. 1 line sth (with sth) 常用被动式，在某事物的内部用一层其他材料来覆盖，以使该事物保持清洁或使其更强韧等
mob|vt. [常用被动式]（人群）围拢在一个人身边（想要与此人说话，或想要热情地接近此人，或带有恶意地接近此人）
mould|vt.&vi. ~ (sth) to sth（使）紧紧贴合于某事物的外形
muffle|vt. ~ sb/sth (up) in sth 裹住或盖住某人或某事物（以使其保暖）
net|vt. 用网来覆盖…
noose|n. [C] 比喻意义上的圈套，实际是一种包围圈
on|adv. 覆盖某物、接触某物或形成某物的一部分
orbit|n. [sing.]（人、组织等的）影响范围，势力范围
