acute|adj. 几何中可指角度小于90°的，即锐角的
angle|n. 1 [C]（两条线或两个面所形成的）角（以度数来测量）
angle|vt. 移动（或放置）…，使其不直接对着某人或某物，即斜移；斜置
arc|n. 1 [C] [几何学] 弧
arch|n. 1 [C] 拱形结构
area|n. [C, U]（量度意义上的）面积。是此义的常规用词，最为常用
around|adv. [尤美] [英常用round] 以圆周计算
at|prep. 用于说明两者之间的角度
band|n. [C] 带状（如颜色带、光带、衣服等事物上的条纹等）
blueprint|n. [C]（建筑、机器等的）蓝图
bore|n. [C]（美式也尤用gauge）管道（如枪炮的管道）的宽度，即内径、口径
box|n. [C] 纸上的一个小方格子（可以是正方形或长方形），用于填写信息
breadth|n. [U, C]（度量的）宽度
broad|adj. 1 宽阔的；广阔的。相当于wide。此时一般可以和wide互换使用
bubble|n. [C]（漫画中显示人物对白的）气泡框，圆框
cant|vt.&vi. [正式]（使）某事物倾斜
check|n. [C, U]（通常指双色的）方格图案，方格，格子
circle|n. 1 [C] 一个完全的圆形，圆。是几何中“圆形”的常规用词，最为常用
circular|adj. 圆形的；环形的；圆的
circumference|n. [C, U] 圆形（或其它曲线形状）的圆周；也可指此种周长
construct|vt. 几何学中可指（按照数学规则来）画线或绘制图形
corner|n. 1 [C] 某事物（如建筑物、物体、形状）上两个或多个侧面、线、边缘相接合的一个地方，即角
cube|n. [C]（实体或中空的）立方体
cubic|adj. 拥有立方体的形状的，即立方形的
curve|n. [C] 曲线；弧线
curve|n. [C] 曲面；弯曲
cut|vt.（几何学中可指一条线与另一条线）相交
cylinder|n. [C] 实心或空心的圆柱体，即圆柱、圆筒
decoration|n. [U, C] 被添加到某事物上的装饰性图案等（使该事物看起来不那么单调朴素）
deep|adj. 1（由顶到底）深的，厚的
depth|n. 1 [C, U] 从某事物的顶部（或表面）到其底部的距离，即深度
descend|vi. [正式]（山、道路等）向下倾斜
descent|n. [C] 向下的斜坡
design|n. [C] 作为装饰的（线条和图案的）一种安排，可称为装饰图案、花纹等，相当于pattern
diagonal|adj.（一条直线）成斜线状的；对角线的
diameter|n. [C] 直径
diamond|n. [C] 菱形
dimension|n. [C] 一种空间的量度（例如长、宽或高），即维度（常用dimensions）
drop|vi. drop (away) (from sth) 急剧向下倾斜
ellipse|n. [C] [术语] 椭圆
erect|adj. [正式] 垂直的；竖直的；直立的。相当于straight
extension|n. [U, C] 空间的延长
extent|n. [sing., U] 一个区域的物理面积
face|n. [C] 某事物的面或表面（如悬崖、山、建筑物等的侧面）
fall|vi. fall (away/off) 向下倾斜
figure|n. [C]（几何学中由线或面所构成的）图形，尤指规则图形
form|vt.＆vi. form (sb/sth) (up) (into sth) 移动（或安排）一些物体或人，使其形成一个具有某种形状的群体；（一些物体或人）排列成某种形状
formation|n. [U, C] 一些人或事物移动时以某种方式进行的编排，如编队、队形
gauge|n. 1 [C]（尤指金属或金属丝的）宽度、厚度、直径
geometry|n. [U] 几何图形，几何形状，几何结构
gradient|n. [C] [术语]（在曲线图或一系列测量数据中，温度、压力等的数值在两个区域之间的）变化率
gradient|n. [C] [美式也尤用grade] 地面（尤指公路或铁路）的坡度、倾斜度
grain|n. [U] 木头、织物或岩层等的纹理；由各条线（或纹理）所形成的样式或图案
grid|n. [C] 通常指互相交叉而形成一些正方形的一些直线，如网格、方格
head|n. [C] a head 为单数名词，可表示一种量度，指如人或动物的一个头的长度或高度
height|n. 1 [U, C]（人或物的）身高，高度
heptagon|n. [C] [几何学] 七边形、七角形
hexagon|n. [C] [几何学] 六边形、六角形
high|adj. 1（从底到顶）高的（不用于形容人、动物或植物的个头）
horizontal|adj. 水平的、与地面平行的、横的
in|prep. 用于表明某事物的形式、形状、秩序等
inclination|n. [C, usually sing., U] [术语] 倾斜度
incline|vt.&vi. [正式] ~ (sth) (to/towards sth)（使）倾斜
inclined|adj. 倾斜的；成某个角度的
intersect|vt.&vi.（线、道路等）彼此相交、交叉
irregular|adj.（形状）不整齐的；不平整的；参差不齐的
irregularity|n. [U, C] 形状不整齐（或不平整）的事物
lean|vi. 从一个垂直（或竖直）的位置弯曲或移动，即前俯（或后仰）、倾斜
length|n. 1 [U, C]（从一端到另一端的）空间长度
level|n. [C, U]（与地面或过去的位置相对的）高度。与height有交集，在交集部分，二者可互换使用
line|n. 1 [C] 一个表面上的一个细长的标记，即线、线条
linear|adj. 1 线的、直线的、线状的
linear|adj. 长度的
lined|adj.（纸张）画有横线的；印有横线的
long|adj. 1（空间距离）长的
loop|n. [C] 环形；环状物；圆圈
make|vt. 排成（某图案）
marked|adj. 带有斑点或斑纹的
meet|vt.＆vi.（两条线）相交。其词义与cut类似，而与cross有明显区别。即meet与cut可表示除交叉外的两种特殊情况，第一是相交的两条线段在各自的顶点处与对方相交（此时构不成交叉），第二是相交的两条线段中有一条的顶点与另一条的非顶点处相交（此时也构不成交叉）。此时meet与cut在几何领域难见差别，但是现实生活中meet在此义项下比cut更为常用
motif|n. [C] 装饰图案
mould|vt. ~ A (into B) / ~ B (from/out of/in A) 通过挤压或放在模具里而将某种柔软物质（如塑料、黏土）塑造成特定的形状，即塑造、浇铸
oblique|adj. 1（线）斜的、倾斜的
obtuse|adj.（角度）钝的、钝角的（即角度位于90°到180°之间）
