carry|vt. 扔（或踢）到某个距离。是一个简单用词
cast|vt. [文学]（尤指用力）将某人或某事物扔（或投、掷、抛等）向某地
catapult|vt.&vi.（被）猛掷（使其飞过空中）
deliver|vt. 投掷，瞄准或对准…
fling|vt.（尤指生气地）扔、抛
flip|vt. 用手指轻抛、轻掷（可以单独用大拇指掷硬币等，也可用所有手指来抛掷）
heave|vt.&vi. 非常用力地扔抛（某人或某事物）
hurl|vt. 朝某个方向猛扔、猛投、猛摔
missile|n. [C] 作为武器的发射物，投掷物，相当于projectile
pick|vt. 将…用手指或手从某处拿走
pitch|vt.（通常指仔细瞄准后）用力扔某人或某事物
project|vt. 1 project sth (on/onto sth) 将光线、影像等投射到一个平面上（或屏幕上）
scatter|vt. ~ sth (on/over/around sth) / ~ sth (with sth) 将一些事物朝不同方向抛洒或播撒（使其覆盖一片土地）
shower|vt. shower sb with sth 朝某人抛洒…
sling|vt.&vi. [非正式，尤英] 随便地将某事物扔在某处
splatter|vt.&vi. 将水、油漆、泥等泼洒在…上；使某人淋湿或溅污
sprinkle|vt. ~ A on/onto/over B / ~ B with A 将一些小块（或小片）或小液滴晃动着撒在…上
stone|vt. 朝…扔石块；用石头砸…
throw|vt.＆vi.（通过快速移动手或臂膀将…）扔出去，也可叫投、掷、抛。是此义的常规用词，最为常用
toss|vt. 轻轻地或漫不经心地扔、抛、掷
trash|vt. [美] [非正式] 扔掉不想要的东西
