abduct|vt.（尤指用武力）非法劫持、绑架某人，也可指诱拐
accessory|n. [C] [法律] ~ (to sth) 罪犯的从犯、同谋、帮凶
accident|n. [C] 一次令人不快的事件，尤指意外发生且造成伤害的事故，且多指交通事故
accomplice|n. [C] 罪犯（或做错事的人）的共犯、同谋、帮凶
accusation|n. [C]（尚未证实的被控告的）罪名，罪状
accuse|vt. accuse sb (of sth) 指控某人犯罪，或指责其犯错或不义等
act|n. [C] 议会所通过的一部法律、法案或法令
action|n. [C, U] 为阻止一个人或公司做某事，或为了使其为其所犯的错误进行赔付等而采取的法律程序，即诉讼，起诉
advocate|n. 1 [C] 辩护者，尤指辩护律师
after|prep. 尝试去抓住…。仅表示“追捕”的过程，而不表示追捕的结果（seize、get等词仅表示“已经抓住”，是一种结果）
aggression|n. [U] 好斗性、攻击性
aggression|n. [U]（一个人对另一个人的）暴力和攻击行为，即侵犯
aggressive|adj. 好斗的，挑衅的，富有攻击性的，侵略的
alibi|n. [C] 不在犯罪现场的证明
allegation|n. [C] ~ (of sth) (against sb) / ~ (that…) / ~ (about sb/sth)（对某人所做的错事或非法之事的）无证据的公开指控、指责
allege|vt. [常用被动式] [正式]（未提出证据而）断言、声称、指称
amendment|n. [C] Amendment 可指（美国宪法的）修正案
appeal|n. [C, U] appeal (against sth) 向法院或当权者提出的正式请求，请求更改判决，即上诉，申诉
appear|vi. 1 出庭（作证或受审）
appearance|n. [C] 出庭
application|n. [U] 一条规则（或法律等）的启用或生效
apprehend|vt. [正式]（警方）逮捕、拘押
apprehension|n. [U] [正式]（通常指警察对某人的）逮捕、拘押
appropriate|vt. [正式]（尤指非法或未经允许地）拿来某事物（如某人的想法等）以供自己使用，具体可称为盗用、挪用等
arbitration|n. [U]（第三方做出的）仲裁
arrest|vt. arrest sb (for sth) 常用被动式，指警察逮捕或拘留，是此义的基本且常规用词，极为常用
arson|n. [U]（尤指放火烧掉建筑物的）纵火、纵火罪
article|n. [C]（协议、契约、合同等的）条款
assault|n. [U, C] ~ (on/upon sb) 侵犯他人身体的罪行
atrocity|n. [C, usually pl., U]（尤指战争中的）残忍和暴力行为，即残暴
attack|n. [C, U] attack (on sb) 暴力袭击或攻击（以试图伤害或杀掉某人）。是此义的基础通用词，极为常用
attest|vt. [正式] 作证（例如在法庭上作证）
attorney|n. 1 [C] [尤美]（美国的）律师，尤指代表当事人出庭的律师
attorney|①严格意义上，attorney指商业（或法律）事务上所指定的“代办人”，或称“代理人”。②在美国，该词在一般意义上即可指“律师”，与attorney at law和lawyer被视作同义词。不过在当今有一种趋势，就是attorney变得更正式，且更不具有轻蔑意味。
award|n. [C, U] 法院裁定胜诉方所应获得的一笔钱；也可指此种裁决（即赔偿裁决）（其本身只表示给予钱财，只有和表示钱财具体性质的词搭配，才能表示某种性质的赔偿金。如与damages搭配，共同表示损害赔偿金）
bail|n. 1 [U] 保释金；保释
bailiff|n. 1 [C] [英]（法庭的）执行官员（负责法庭裁决得到切实执行，如果被执行人欠别人钱，执行官员也负责查封被执行人的家具或不动产）
bar|n. [C] 在法律领域，the Bar为单数名词，在英国可指可出席高等法院的大律师职业，在北美可指任何种类的律师职业
barrister|n. [C]（英格兰和威尔士地区有资格在高等法院出庭进行辩护的）大律师
barrister|①尤指在英国有资格出席高等法院的律师，可称为“出庭律师”；②在英式英语中还可指出庭律师（barrister）的职业，而在美式英语中则可指律师（lawyer）的职业（也许是因为美国的律师一般没有明确的种类之分别）。
baton|n. [C] [尤英] 警棍，相当于truncheon
battery|n. [U] [美] 对人身进行殴打的罪行，即殴打罪
battle|n. [C, U] 群体间的暴力搏斗
beak|n. [C] [过时，英，俚语] 掌权者，尤指法官
