album|n. [C]（保存照片、邮票等的）册子，即影集，相册；集邮册等
arm|n. [C] 椅子的扶手
armchair|n. [C] 扶手椅
backing|n. [U, C]（某事物后面的）背衬（是一块布料或其它材料，起保护作用，或使其更坚固）
backpack|n. [C] [尤美]（尤指登山者或远足者使用的）大型背包、背囊。相当于rucksack
bag|n. [C] 生活中的各种袋子，常有手柄，由布、塑料、皮革等制成，可用于日常生活中的各种场景，如购物或旅行
baggage|n. [U] [尤美] 旅行时所携带的装有衣服和其他物品的箱包，此时相当于luggage，即行李
balloon|n. [C]（用作玩具或装饰等的）小气球（为橡胶制品）
barrel|n. 1 [C] 桶
basin|n. 1 [C] [尤英]（浴室内固定在墙上有水龙头的）洗脸盆，相当于washbasin
basket|n. [C]（如用塑料、铁丝、柳条等编织成的）篮，篓，筐（用于盛放或搬运…）
bath|n. [C] [术语] 被注入了液体（如水或染料）的一个容器（某事物在该容器中进行洗涤或浸泡一段时间，用于工业、化学及医学加工处理）
bathtub|n. [C] [尤美]（大且长的）浴缸或浴盆，相当于bath（tub为英美的非正式用法）
bed|n. [C, U]（用于睡觉的）床
bedding|n. [U] 床上的铺盖（如床单、被子等），常包括床垫和枕头
bench|n. [C] 可供两人或多人所坐的一个长座位，通常为木质，可称为长凳，长椅
bin|n. [C] 大型容器（通常有盖）
bladder|n. [C]（橡胶、皮革等制成的，可充气或充进液体的）皮囊，气囊（如足球的球胆）
blanket|n. [C] 毛毯（常为羊毛制品）
block|n. [pl.] Blocks可表示木质或塑料的立方体，例如儿童玩的积木
bolster|n. [C] 放在床头的其它枕头下面的一个长而厚的枕头，可称为“垫枕”
bomb|n. [C] 美式英语可指用压力来存储油漆或杀虫剂等的容器，该容器可以以喷雾的形式将液体喷出
bookcase|n. [C] 书架、书橱、书柜
boom|n. [C] 用于支持麦克风等设备的一个长长的吊杆或支架
bottle|n. 1 [C] 玻璃瓶或塑料瓶（常为圆柱形，瓶颈较细，尤用于储存液体）
bowl|n. [C] 一些物体的碗状部分
box|n. [C] 尤用于构成复合词，指由木头、硬纸板或金属所做成的一个容器，侧面和底部平整，常有一个盖子，尤用于存放固体物品，可称为盒子，匣子，箱子等
box|n. [sing.] [尤英，非正式] the box 可指电视
bracket|n. [C] 固定在墙上的托架、支架（为木质、金属或塑料材质，用于支撑架子、灯等）
brick|n. [C]（塑料或木质的）积木（是一种玩具）
bucket|n. 1 [C]（美式英语也用pail）（有提梁的、用于拎水、拎沙子等的）桶
buggy|n. [C]（也可用Baby Buggy[商标]）[均英]（美式英语用stroller）（有轻型折叠椅的）婴儿车（可以推着走）
bulb|n. [C]（也可用light bulb）电灯泡
bureau|n. [C] [美，美式也可用bureau或dresser] 一种低矮的、有抽屉的衣柜（可以装衣物和其它东西），相当于chest of drawers
bureau|n. [C] [英]（附有抽屉和折叠式桌面的）书桌、写字台
cabinet|n. [C] 带有门、抽屉、架子的储藏柜或陈列柜
can|n. 1 [C] 用于盛装或运输（如液体等物质）的金属或塑料容器
candle|n. [C] 蜡烛
candlestick|n. [C] 烛台
cap|n. [C]（尤指在玩具枪里）装火药的一个小纸容器
cap|n. [C]（钢笔、瓶子等的）帽，盖
card|n. [U] 厚且僵硬、不易弯曲的纸，即卡片纸
cardboard|n. [U] 硬纸板（常用于制造盒子）
carrier|n. [C] [英] 纸质或塑料的购物袋，相当于carrier bag
carton|n. 1 [C]（尤指装食品或液体的）硬纸盒或塑料盒，塑料罐；硬纸盒（或塑料盒、塑料罐）所装的物品
case|n. 1 [C] 常构成复合词，指用以保存…或保护…的容器或覆盖物；还可指容器及其盛装物；亦可指容器的容量
casket|n. [C]（尤指旧时）（装珠宝等贵重物品的）装饰精美的小盒子
cassette|n. 1 [C]（用于播放或录制音乐、声音或视频的）盒式磁带，或称卡式磁带（由一个扁平的小塑料盒和其中的磁带条组成）
cement|n. [U] 胶合剂；胶接剂；黏固剂
chair|n. [C]（有靠背的）椅子
chandelier|n. [C] 枝形吊灯
chest|n. [C] 大而结实的重箱子，用于储存或搬运东西，常为木制的
clamp|n. [C] 夹子、夹具、夹钳
clip|n. [C]（常构成复合词）（金属或塑料的）小夹子、回形针
closet|n. [C] [尤美] 墙壁里带门的、直达地面的一个小储物间，如壁橱
clutch|n. [C] [美]（尤指出席正式场合时用的）女士用的小且扁平的手提包
compartment|n. [C]（家具或设备等的）分隔间，隔层（用于储存…）
container|n. [C]（用于储存或运输的）容器
couch|n. [C] 长沙发
cover|n. [C] 放在某物体上面的事物（该事物通常对被覆盖物起保护或装饰作用），即覆盖物；遮蔽物；套子；罩子等
cover|n. [pl.] the covers可指床上的盖具，如床单；床罩；毯子；被子等
cradle|n. [C] 婴儿的摇篮
cradle|n. [C] 用以支撑或保护某事物的一个框架，即支架、护架
crate|n. 1 [C]（运货或储藏物品用的）大木箱、板条箱
cupboard|n. [C] 一件有若干个门和置物架的家具（用于存放盘子、食物、衣服等），如橱柜，食物柜，衣柜
cushion|n. 1 [C] 美也用pillow，指用柔软材料（如羽毛）填充的一个布袋，可使人坐得更舒服，即坐垫、靠垫等
deck|n. [C]（唱机的）转盘支托面；（录音机的）走带机构，录音座
desk|n. [C]（常指有抽屉的）书桌、写字台或办公桌，可供写字、阅读或工作
digital|n. [U] 数字电视
dish|n. [C] 盘状物
doll|n. [C] 儿童的人形（尤指孩童状的）玩具，即玩偶
drain|n. [C] [英] 下水道的带孔的盖子
drawer|n. [C] 抽屉
drum|n. [C]（圆柱状的，用于装燃料或其他物质的）容器
duvet|n. [C] [英] 羽绒被
fan|n. [C] 扇子
fan|n. [C] 风扇
