agenda|n. 1 [C] 会议的议程表，议事日程
assembly|n. [C, U] 全校师生的集会，通常在早晨，以发布信息、讨论学校事务或共同祈祷。如晨会，朝会
briefing|n. [C] 传达指示或信息的一场会议，如传达指示会；情况介绍会
chair|vt. 担任会议（或讨论等的）主席，主持会议（或讨论等）
conclave|n. [C] [正式] 秘密会议；枢机会议（选举新教皇的秘密会议）；秘密会议与会者
conference|n. 1 [C] 大型正式会议，常持续几天，一般为行业性或专题性会议
congress|n. [C] 来自不同群体的代表所参与的、对…进行讨论和决策的一个（或一系列）大型正式会议，可称为代表大会
convention|n. [C]（某个职业或专业组织、某一政党等的）大型的会议或集会。相当于conference
convocation|n. [C] [正式] 大型正式会议，尤指教会官员或大学成员的大型正式会议
council|n. [C] [正式]（尤指在旧时）讨论在某种情况中该采取何种行动的一个正式会议，可称为协商会议
forum|n. 1 [C] ~ (for sth) 人们就某个问题（尤指重大的公共问题）进行讨论的一个场所，如论坛；也可指为此而组织的讨论会
lead|vt.＆vi. 主持（讨论等）
meet|vt.＆vi. 正式聚在一起以讨论某事，即开会；会晤。是把会议作为整个事件来处理的
meeting|n. 1 [C] 会议，即人们来到一起来讨论或决定某事的一种场合。是此义的一个基础用词，词义范围最广，涵盖了本组其他各词，无论是conference还是session，本质上都是一种meeting
moderate|vt.&vi. 主持（讨论、辩论等并确保其公平）
preside|vi. ~ (at/over sth) 主持一个会议、典礼等
rise|vi. [正式]（一群人）结束一场会议，即散会，休会，闭会
seminar|n. [C]（讨论问题的）研讨会；（培训的）培训会
session|n. 1 [C] 花在某一活动上的一段时间
sit|vi.（议会、委员会等）开会（以处理正式或官方事务）
summit|n. [C] 政府间的（讨论重要事项的）首脑会议，即峰会
workshop|n. [C]（一群人对某一主题的理论和实践进行探讨或分享经验的）研讨会
