approach|vt.＆vi.（在时间上）靠近，接近
away|adv. away (from sb/sth)（在时间上）到某一距离处；在某一距离处。并不表示长时间或短时间。与off类似
close|adj. close (to sb/sth) / close (together) 常作表语，指（在时间上）靠近的。非常常用
distance|n. [U]（时间的）遥远，久远
distant|adj.（时间上）远的；久远的
far|adv. far (back/ahead) / far (into sth)（距现在的时间）久远；（某段时间中的）一大段时间
further|adv. 时间上的过去或未来较远
get|linking verb. 到达（或接近）某个时间
immediate|adj. [只用于名词前]（在时间上）紧接着的
near|adj. 不久以后
off|adv. 在（时间的）某个距离上。并不表示长时间或短时间
proximity|n. [U] [正式] ~ (of sb/sth) (to sb/sth)（时间上的）接近、邻近、靠近
remote|adj. 只用于名词前，（时间上）久远的。含义与distant未见明显差别
