aunt|n. [C] [非正式] 儿童对父母的女性朋友的称呼，即阿姨
bid|vt. bid (sb) good morning, farewell, etc. 向某人问候、道别等，为正式用法
boy|n. 1 [C] 构成复合词，用于年长的男子时含冒犯意，指做某一工作的男孩（或小伙子），可称为伙计
brother|n. 1 [C] 用于称呼或谈论一个男性组织中的其他成员（或与你有相同看法、目的等的男性），如兄弟，伙计
bye|exclamation. [非正式] 再见，再会
chap|n. [C] [英，非正式，正变得过时] 用于对男子的友好称呼，如家伙、伙计
cheers|exclamation. [英，非正式] 再见，相当于goodbye
cock|n. [sing.] [英，旧时俚语]（男子间友好的互称用语）老兄，家伙，伙计
devil|n. [C] [非正式] 用于强调对某人的看法，如家伙、人
farewell|exclamation. [正式] 再见
folk|n. [pl.] [非正式] folks 可指对若干人的一种称呼方式，即各位，大伙儿
friend|n. 1 [C] 在法庭上一位律师称呼另一位律师，如朋友、阁下、同人
gentleman|n. [C, usually pl.] [正式] 用于称呼男子（尤指不认识的男子），即先生
girl|n. 1 [C] 有时具有冒犯性，指年轻女子，女郎
grace|n. [C] His/Her/Your Grace 用于对大主教、公爵、公爵夫人、女公爵的尊称，如大人，阁下，夫人
grand|adj. Grand用于社会地位极高的人的称号当中
guy|n. [pl.] [非正式，尤美] guys可指一群男人（或女人）；伙计们；兄弟（或姐妹）们
hail|vt. [文学] 跟某人打招呼；叫某人以吸引其注意力
hello|exclamation., n.（遇见某人、接听电话或引起某人注意时）用于问候对方
hi|exclamation. [非正式] 用于打招呼
honourable|adj. 1 [只用于名词前] the Honourable（缩写为Hon）用于英国某些贵族子女的头衔
lady|n. 1 [C, usually pl.] [正式] 用于称呼或谈及（尤指不认识的）一个女孩或妇女
lord|n. 1 [sing.] 英国用于某些高级官员的职位前，如阁下、大人、大臣
man|n. 1 [sing.] [尤美，非正式] 用于称呼一个男人，如哥们儿
master|n. [C] [旧时] Master用作一种称谓，指对年龄小而不便称作先生（Mr）的男孩的称呼；也用在信封等处的人名前
miss.|n. 1 [sing.] 作为称谓，用于未婚女子姓氏或姓名前，以示礼貌，即小姐，女士
ms|abbr. 女士（用于女子的姓氏或姓名前，当不想指明婚否时可用该词）
sir|n. 1 [sing.] 对不认识的男性的一种礼貌的尊称（如在商店或餐馆中），即先生
sister|n. 1 [C] 用于称呼或谈论一个女性组织中的其他成员（或与你有相同看法、目的等的女性），即姐妹
son|n. [sing.] [非正式] 年长者对年轻男子或男孩的一种友好称呼，如孩子
spade|n. [C] [禁语；俚语] 对一个黑人的一种冒犯性称呼
trash|n. [U] [美，非正式] 对你所不尊重的人所使用的冒犯性言辞
uncle|n. [C] 儿童用语，与名字连用，以称呼与其父母关系较好的一个男性朋友，如叔叔，伯伯
worship|n. [C] [英，正式] His, Your, etc. Worship 对治安官或市长的尊称，即阁下
