arithmetic|n. [U] 关于某个形势的（用数字表达出来的）数据
bibliography|n. [C] 某一专题（或某一作家的）一系列书目或文章
catalogue|n. [C] 一份完整的（物品或项目、条目的）清单。如图书馆里的图书条目清单、博物馆里的物品条目清单、或所购买的物品的清单等，可叫做目录（但不要误解为图书的“目录”，图书目录一般用contents）
chart|n. [C]（意在使信息更容易理解的）图表。如条形图、饼状图、流程图等（diagram也可表流程图，二者此时一般可互换使用）。另外，chart所表示的“图表”可带有横竖栏整齐的一排排数字
checklist|n. [C] 清单、一览表（用于记录要去做的事，或用于查找信息。可以带在身边）
column|n. 1 [C]（缩略形式为col.）（书、报纸印刷页上的分立的）竖栏
coupon|n. [C]（例如从报刊杂志上剪下来的）小型表单，用于参赛、订货、邮回去以询问信息等，即参赛表、订货单、咨询单等
curve|n. [C] 曲线图
data|n. [U, pl.]（尤指查找信息或做决策时所用的）数据、资料、信息。是一个广义用词
diagram|n. [C]（用线条来解释…的位置，或…如何运转或工作等的）一种简易图画，可称为简图；图解；图表；示意图等。总之常带有较强的实物性，可以看作是实物的一种纸面的简化呈现（常配有各部位的解释性标注）
directory|n. 1 [C] 各种名录（通常按字母顺序排列），如电话号码簿、某个行业的公司名录（包含各公司的名称和地址）
enrolment|n. 1 [U, C]（参加一门课程或进入一所学校的）入学，注册
entry|n. [C]（日记中的）简短记录；（账簿中的）账目；（计算机文档或词典等参考书中的）条目
figure|n. [C]（书籍或杂志中的有数字编号的）图表
form|n. [C] 一种正式文件，包含问题和写答案的空白处，可称为表格
graph|n. [C]（表明两组或多组数字之间关系的）图表，常指曲线图（但有时也可指条形图、线形图、坐标图）。与chart有交集。但chart在很多情况下可呈现横竖栏的密集数字，graph一般无此用法，一般只侧重于跟具体数字有关的图形
incorporate|vt. [商业] [常用被动式] 注册成立一家公司
index|n. 1 [C] 索引
intake|n. [C, U]（学校、大学、职业等组织机构或地方在一定时期内）招收的人数、新纳入的人数
inventory|n. [C] 某个建筑物里的列明所有物品、家具等的一份清单
item|n. [C] 清单上的事项（例如需要购买的东西、需要去做的事、需要谈论的话题等）
list|n. [C]（尤指写下或印出来的）一系列名称、条目、数字等，即一览表，清单，名单，目录等。是一个基础且广义的用词，极为常用
manifest|n. [C] [术语]（船或飞机的）货单或乘客名单
questionnaire|n. [C] questionnaire (on/about sth) 书面调查问卷（列出一系列问题，由多人解答，用于从答案中收集信息）
register|vt.＆vi. register (at/for/with sth) / register sth (in sth) / register (sb) as sth 登记，注册，挂号
registration|n. 1 [U, C] 登记；注册；挂号
registry|n. 1 [C] 登记处；注册处；挂号处
roll|n. [C] 正式或官方的名单，即花名册。其词义已为register所涵盖，但roll更正式一些
roster|n. 1 [C] 值勤名单。词义上相当于rota
rota|n. [C] [英] 勤务轮值表
schedule|n. [C] 所书写的一份清单或表格（如价格表、费率表或条件表等）
shortlist|n. [usually sing.]（职位等的）入围名单
statistic|n. 1 [pl.] statistics 可表示统计数字，统计资料
table|n. [C] 以特定顺序来排列的数字（或事实）表格（通常以横排和竖行的形式来排列）
trace|n. [C] [术语] 机器获取信息后，在纸上或屏幕上显示的一条线或一个图形
