account|n. [C] 对已发生事件的书面或口头报道。不太常用
air|vt.＆vi. [尤美] 播送广播或电视节目；节目被播送
angle|vt. 基于某种思维方式（或针对某些观众、听众等）来呈现信息、报道等
annual|n. [C] 每年出版一次的书籍或杂志（每次的标题相同，但内容不同），即年鉴，年刊
appear|vi.（节目）将被播报
appearance|n. [C, usually sing.] 被广播
beacon|n. 1 [C]（指引车船等或让其避开危险的）灯标、灯塔
beam|vt. 用电子设备长距离发射广播或电视信号，如播送
briefing|n. [C, U] 传达指示会上所传达的详细指示或信息，如详细指示、详情介绍
broadcast|vt.＆vi. 播送（电视或广播节目）
broadcaster|n. [C] 电视台；广播公司
bug|vt. 在（某处）装窃听器
bulletin|n. 1 [C]（电台或电视台播报的）简短新闻，如简讯
cable|n. [C] [过时] 电报系统传输的信息
cable|n. [U] 有线电视系统。相当于cable television
carry|vt. 指广播发布一则报导，即播出、报道
circular|n. [C]（同时送达很多人的）印刷信函
clipping|n. [C] [尤美] 从报刊、杂志上剪下的一篇文章、一张图片或一则广告，相当于cutting
clue|n. 1 [C] ~ (to sth)（解决问题所需要的）线索、提示
column|n. [C] 报刊杂志的关于某一主题的专栏
commentary|n. [C, U] ~ (on sth)（尤指广播电台或电视台所作的）某次大事件或赛事的实况报道、现场解说
commentator|n. 1 [C] ~ (on sth)（广播电台、电视台或报刊的）专题评论员
communication|n. [C] [正式] 信息；书信；电话
communication|n. [U]（也可用复数形式communications）发送信息的方法（尤指通过电话、广播、计算机等），即通信。是此义的基础用词，含义极为广泛
contribute|vt.＆vi. contribute (sth) (to sth) 为报刊、杂志、广播节目或电视节目撰稿
copy|vt. 向某人发送（已发送给其他人的）一封信件（或一份文件）的副本，即抄送
correspond|vi. [正式] correspond (with sb) 给某人写信并收到其回信，即与某人通书信
correspondence|n. [U] ~ (with sb) 来往的信件、往来的书信
correspondent|n. [C]（与形容词连用）给别人写信的一个人
correspondent|n. [C]（报刊或广播电视的）通讯记者，尤指专门报道某一类新闻的记者或通讯员
cover|vt. 在电视、报纸等媒体上报道一次新闻事件；在电视上播出一次事件。本身是一个广义用词，与report不同，cover此时仅为及物动词
coverage|n. [U]（报纸、广播或电视上的）新闻报道
critic|n. [C]（对图书、音乐等作出评论的）批评家、评论家、评论员
cue|n. [C] ~ (for sth) / ~ (to do sth)（某人去做某事的）一个信号、提示
cutting|n. [C]（也可用press cutting）（均英）（也可用clipping, press clipping，二者为英美用法）从报刊杂志上剪下来并保存的一篇文章或报道
daily|n. [C]（除星期日外每日发行的）日报
desk|n. [sing.] 广播公司、电视台、杂志社、报社等机构的某个部门或办公室
dope|n. [U] [非正式] the ~ (on sb/sth) 消息，尤指非法或秘密的详细内幕消息
editor|n. [C] 某个新闻领域的广播电视报道记者（journalist）或编辑
editorial|adj.（报纸、杂志、电视节目等）立场（或观点等）的；社论（式）的
exclusive|n. [C] 独家新闻、独家报道
exposure|n. [U]（一个人、公司、产品等）在电视、报纸等媒体上被报道
