admirer|n. [C]（女人的）追求者、爱慕者（即追求女人的男人）
adolescence|n. [U]（人的一生中）从孩童发育成成年人的一段时期，即青春期，相当于puberty
adolescent|n. [C] 从孩童发育成成年人的一个人，即青少年
adopt|vt.＆vi. 收养或领养（别人的孩子）
adoption|n. [C, U]（对儿童的）收养、领养
adult|n. [C] 在法律上能为自己的行为负责的一个成年人，相当于grown-up
adulthood|n. [U] 成年的状态
advanced|adj. 高龄的、年事已高的
afloat|adj. [名词前不可用]（一个人、企业、国家等）有偿债能力的；能维持下去的
age|n. 1 [C, U] 人的年龄。是此义的常规用词
age|n. [U] 年长
ancestor|n. [C] 人的祖先，相当于forebear
ancestral|adj. 祖先的
ancestry|n. [C, usually sing., U] 祖先、祖宗、列祖列宗
at|prep.（某人做某事时）在…岁
aunt|n. [C] 姑母；姨母；伯母；婶母；舅母
baby|n. 1 [C] 人类的婴儿
bachelor|n. [C] 从未结婚的男子，即单身汉
background|n. [C] 一个人的家庭背景
beginning|n. [pl.]（一个人的）出身
big|adj. [非正式] 年龄较大的
birth|n. [U] 一个人的出身，门第，血统等
birthday|n. [C] 生日
birthplace|n. [C]（尤指名人）出生时的住宅或地区，即出生地
blood|n. [C] [旧时，英] 有钱人家的时尚男子，即纨绔子弟，花花公子
blood|n. [U] [正式] 血统，家世
born|vt. 仅用于被动式，且不用by，指（从母体中）出生，出世
boy|n. [C] 年少的儿子
boy|n. [C] 男孩；男青年
branch|n. [C] 家族的分支，支系
bride|n. [C] 新娘；即将（或刚刚）结婚的女子
bridegroom|n. [C] 新郎；即将（或刚刚）结婚的男子
bridesmaid|n. [C]（婚礼的）伴娘、女傧相
brood|n. [C] [幽默] 一大家孩子
brother|n. [C]（同父母的）哥哥或弟弟，即兄；弟
bundle|n. [C] 小婴儿
camp|adj. 指男子或其举止故意带女子气的，相当于effeminate
chase|vt.&vi. ~ (after) [非正式] 男女之间求爱、追求
child|n. [C] [贬] 行为像孩子一样的一个成年人，不成熟或不负责任的人
child|n. [C] 任何年龄的儿子或女儿
child|n. [C] 未成年人，即儿童，小孩。是此义的常规用词
childhood|n. [U, C] 某人作为孩童的一段时期，即童年
chronological|adj. [正式] ~ age 按时间计算的（年龄）（相对于身体、智力或情感等方面的发展而言）
clan|n. 1 [C]（尤指苏格兰的）由一些彼此有关联的家庭组成的一个群体，如宗族、氏族、家族
close|adj.（家庭关系）亲近的
connection|n. [pl.] connections 可指亲属，但非近亲，即远亲
couple|n. [C] 在一起的两个人，尤指夫妻或情侣。是此义的常规用词
court|vt. [过时] 向女子求爱，求婚
courtship|n. [C, U] [过时] 两人之间的求爱、追求；求爱期、追求期
cousin|n. [C] 一个远房亲戚，远亲。与connections未见明显差别，但connections为复数名词
cousin|n. [C] 也可用first cousin，指同辈的表亲（或堂亲），为叔叔（或伯伯、舅舅、姑姑、姨妈）的孩子，即堂兄（或弟、姐、妹）；表兄（或弟、姐、妹）
dad|n. [C] [非正式]（常用作称呼）爸爸
daddy|n. [C]（尤作儿语，即儿童所用，或与儿童交流时用）爸爸
date|vt. 使某人显老（或使其显得比其他人的年龄大）
daughter|n. [C] 女儿。是此义的常规用词
dependent|n. [C] [尤美] 受人扶养者（尤指孩子）。相当于dependant
derelict|n. [C] [正式] 没有家庭、工作或资产的一个人，如无家可归者
descend|vi.（人）是…的后裔
descendant|n. [C] 一个人的后代、后裔、子孙
descent|n. [U] ~ (from sb)（人的）出身、血统、祖籍，相当于ancestry
direct|adj. 只作前置定语，（长辈与晚辈的关系）直系的，嫡系的
distant|adj. 只用于名词前，（亲戚）远房的，远亲的
divorce|n. [U, C] 婚姻的法律关系终止，即离婚
domestic|adj. [只用于名词前] 1 家用的、家庭的、家务的
domesticated|adj. 乐于做家务事的、爱操持家务的
dynasty|n. [C] 在某个活动领域（如商界、政界）产生了两代或两代以上的重要成员的一个家族、世家
elder|adj. 1 只用于名词前，（人，尤指同一家庭或家族中的两个成员）年纪较长的
engaged|adj. ~ (to sb) 已订婚
engagement|n. [C] ~ (to sb) 订婚、订婚期间
