ace|n. [C] A纸牌（亦称“爱司”）
act|n. [C] 一个（或一组）表演者
act|n. [C] 整场演出（show）中的一小段演出
acting|n. [U]（在戏剧、电影等活动中的）表演；演艺业
action|n. [U] 故事、戏剧等中的一次事件，即情节
actor|n. [C] 在舞台上、电视或电影中从事表演活动的一个人，即演员（尤指专业演员）（单数形式的actor通常指男演员，但有些女演员喜欢被称为actor而不是actress)
actress|n. [C] 在舞台上、电视或电影中从事表演活动的一位女性演员（actor在上下文不明确时通常指男演员，但现在很多女演员都喜欢被称为actor）
adapt|vt. 将一本书（或一部戏剧）改编或改写成戏剧、电影、电视节目等
adaptation|n. [C] 一部作品的改编本（如由文学作品改编成的电影、图书或戏剧）。其词义已为version所涵盖。因此在很多情况下，adaptation可以换成version。（但是version并不是所有情况下都可换成adaptation，因为version可表示各种事物的变体，而非仅限于文学作品的变体）
agent|n. [C] 演员、音乐人等的代理人或经纪人（负责与外界打交道）。是此义的一个基础用词
amuse|vt. 使某人（如自己）愉快地度过一段时间，即提供娱乐，使消遣。相当于entertain
amusement|n. [C, usually pl.] 使人愉悦的游戏或活动等。一般需要人们亲自参与到游戏之中
anchor|n. [C] [尤美] 电视或广播节目的主持人，尤指新闻主持人
anchor|vt.＆vi. [美] 主持电视或广播的新闻节目
announce|vt.（在广播或电视中）播报节目，如播音。是“播音”的常规用词
announcer|n. 1 [C]（广播、电视的）播音员、节目主持人
appear|vi. 参加电影、戏剧、电视节目等的演出
appearance|n. [C] 出现在公共场合（尤指作为一名表演者）
arena|n. [C] 圆形剧场
artist|n. [C] 专业演员或表演艺术家（如音乐家、演员或舞蹈家）
artist|n. [C] 创造影视作品的艺术家
audience|n. 1 [C] 聚集在一起以观看或收听一场戏剧、音乐会、演讲等的一群人，即观众，听众
audition|n. [C]（艺人等的）试镜，试演
auditorium|n. [C]（剧院、音乐厅等的）听众席，观众席
backdrop|n. [C]（挂在舞台后部的）彩画幕布，背景幕布
balcony|n. [sing.]（剧院或电影院中主要座位区域上方的）楼上座位区
bash|n. [C] [非正式] 盛大的聚会或庆典
beginning|n. [C]（作品的）开头、开篇
bid|vt.＆vi.（某些纸牌游戏中）叫牌
bidding|n. [U]（在某些纸牌游戏中）叫牌
bill|n. [C] 剧院等的节目单
bingo|n. [U] 宾戈游戏（玩者均持有一张带有数字的卡片，第一个凑齐庄家喊出的全部数字或一组数字者胜出）
bishop|n. [C]（国际象棋中的）象
blowout|n. [C] [美，非正式] 盛大的社交聚会
bomb|vi. 非正式用法可指戏剧、演出等票房极差，特别不卖座
bounce|vt. 把小孩放在膝上颠着玩儿
bowl|n. [C] [尤美] 构成名称，指一个大的、圆形的、露天的（即没有屋顶的）剧场（用于户外的音乐会表演等）。是一个形象化用词
box|n. [C] 剧院中的包厢
break|n. [C] 短假期，短期休假
break|vt.＆vi. break (for sth) 在做某事的过程中暂停一会儿（尤指到了用餐或饮用…的时间）
breather|n. [C] [非正式] 某事中途的短暂休息
bridge|n. [U] 纸牌游戏中的桥牌游戏
broadcast|n. [C] 广播节目或电视节目
broadcaster|n. [C]（电视或电台的）节目主持人、播音员
bump|n. [pl.] [英] the bumps可指在孩子生日时将其举高后再放在地上的仪式，举放次数与年龄相等，即生日举放仪式
call|n. [C] 纸牌游戏中的叫牌或吊牌
camp|n. [C, U] 度假营
card|n. 1 [C] 一张纸牌或一张扑克牌，相当于playing card
carnival|n. [C, U]（通常在每年的固定时间举行的、人们穿着颜色鲜亮的衣服表演音乐舞蹈的）狂欢节、嘉年华
carnival|n. [C] [美] 露天游乐会、义卖游乐会，相当于fête
carnival|n. [C] [美] 露天游乐场，相当于fair
cartoon|n. [C] 也可用animated cartoon，指动画片或卡通影片
cast|n. [C]（一出戏剧或一部电影的）全体演员
cast|vt.＆vi. cast sb (as sb)（为一部电影、戏剧等）选择演员（以扮演不同的角色）；选择某一演员（以扮演某一角色）
castle|n. [C]（也可用rook）国际象棋中的车
celebrate|vt.＆vi. 通过做某件特别的事来表明一天（或一个活动）是重要的，即庆祝、庆贺
celebration|n. [C] 人们为庆祝某事而组织的一次特殊活动，即庆祝、庆典。此时与ceremony未见明显区别，但不如ceremony常用
celebration|n. [U, C] 庆祝
ceremonial|adj. 仪式性的
ceremony|n. [C]（包括一系列正式或传统活动的）公共（或宗教）仪式、典礼。是“仪式”的常规用词
channel|n. [C] 电视台；电视频道
character|n. [C] 书籍、戏剧或电影中的一个人（或动物），即人物，角色
check|n. [C] 也可用check mark，用于美式英语，指入场券等票券
check|n. [U] 国际象棋中可指被将军的局面
chess|n. [U] 国际象棋游戏
cinema|n. 1 [C] [尤英] 电影。此时与film未见明显差别
cinema|n. [C] [英] [美为movie theater或theater] 电影院
cinema|n. [sing.] [英] [美为复数的the movies] the cinema 可指（去电影院）看电影
circle|n. [C] [英] [美英也用balcony]（剧院或电影院的）上层弧形看台（看台上设有观众席）
circuit|n. [C] 巡回性的娱乐活动，此时与tour未见明显差别
circus|n. 1 [C] 马戏团
clip|n. [C]（电影、广播或电视节目的）片段
close|vt.＆vi. 停演
close-up|n. [C, U]（照相、电影的可以展示很多细节的）特写，特写镜头
club|n. 1 [pl., U] 纸牌游戏中的梅花（为四组之一）
club|n. [C] 人们（尤指年轻人）去听音乐、跳舞等的一个地方，可称为俱乐部，夜店
club|vi. [英，非正式] go clubbing 可指在夜店中跳舞和饮酒，即泡夜店
comedian|n. [C] 滑稽演员；喜剧演员
comedy|n. 1 [U] 喜剧艺术
comic|adj. [只用于名词前] 喜剧的
comic|n. [C] 喜剧演员
congratulate|vt. congratulate sb (on sth) 向某人道贺，祝贺
congratulation|n. 1 [pl.] 祝贺某人时所说的话，即祝词，贺词
contributor|n. [C] ~ (to sth)（电台、电视节目中的）嘉宾
convocation|n. [C] [美] [正式]（大学的）学位授予典礼，毕业典礼
costume|adj.（戏剧、电视剧等）古装的
credit|n. [C] 常用复数，指电影或电视节目中对摄制人员的介绍，常以片头或片尾字幕的形式出现
crew|n. [C] 一组演职人员团队
curtain|n. [sing.] 剧院中舞台前方的幕布，帷幕，幕
cut|vt. 1 电影、磁带等的剪辑，剪接
cut|vt.＆vi.（纸牌游戏中可指为了决定谁先出牌而）切牌或抽牌
dart|n. 1 [C]（作为游戏用的）飞镖
deal|vt.＆vi. deal (sth) (out) / deal (sth) (to sb)（纸牌游戏中）发牌
dealer|n. [C] 纸牌游戏的发牌者
deck|n. [C] 纸牌的一幅（为52张）。相当于英式英语的pack
dedication|n. [C]（建筑物等的）奉献典礼，落成典礼
diamond|n. 1 [C, U] 作可数名词时为复数，指纸牌中的方块
direct|vt.＆vi. 导演电影或戏剧
direction|n. [U]（电影导演的）指点，指示
director|n. [C] 电影或戏剧等的导演
discard|vt.&vi.（在纸牌游戏中）打出自己不想要的一张牌
display|n. [C]（为娱乐之目的）表演一种技能
distraction|n. [C] 娱乐活动、消遣活动
distribution|n. [U]（电影在各院线的）发行，上映
diversion|n. [C] [正式]（尤指为了转移注意力而进行的）娱乐活动、消遣活动
do|n. [C] [英，非正式] 聚会、社交活动
documentary|n. [C] 纪录影片、纪实广播（或电视）节目
double|n. [C]（电影中的）替身演员
draught|n. [C] [英] [美用checker] 国际跳棋的棋子、西洋跳棋的棋子
draught|n. [pl.] [英] [美用checkers] draughts可指国际跳棋、西洋跳棋
edition|n. [C]（广播、电视节目的）一期，一辑
editor|n. [C] 影片、广播电视节目播出前，对节目进行取舍并对播出顺序做出安排的人，即剪辑员，剪接师
effect|n. [C, U] 视觉、听觉等效果
enactment|n. [U, C]（戏剧或故事的）表演、演出、上演
encore|n. [C]（音乐会或其他演出结束时应观众要求的）加演的节目；（观众喊的）再演一个
ending|n. [sing.]（故事、电影等的）结尾、结局
entertain|vt.&vi. 引起某人的兴趣并让其发笑
entertainment|n. [U, C] 用于使人娱乐的电影、音乐等，即娱乐活动；还可指某项娱乐活动
episode|n. [C]（电视连续剧或广播连续剧的）一集、（杂志连载故事的）一节
evening|n. [C] 某类晚间活动，如晚会
exercise|n. [pl.] [美] 仪式
extra|n. [C] 受雇在一部电影里扮演一个非常小的角色的一个人（通常为一个人或一群群众演员）
faction|n. [U] 纪实与虚构相结合的电影
fair|n. [C] 英国可指露天游乐会
fair|n. [C] 露天游乐场
feed|n. [U] [美] 在一个电视网络中，由一个中心电视台向其他各电视台所提供的电视节目；也可指发送这些节目的一个系统
festival|n. 1 [C]（通常在某地举办的一年一次的）一系列音乐、戏剧、电影等表演；（与某一活动或思想相关的）一系列公共活动。可称为节
festivity|n. [pl.] festivities可指组织起来庆祝一次特别事件的活动，即庆祝活动
fiesta|n. [C]（尤指西班牙或拉丁美洲的）带有音乐和舞蹈表演的宗教节日、狂欢节日
film|n. 1 [C] [尤英] [美通常用movie] 电影，影片
finale|n. [C] 演出（或乐曲）的最后部分
firework|n. 1 [C]（用于燃放的）烟花（尤用于庆典）。是此义的常规用词
flat|n. [C] [术语] 剧院舞台上的垂直布景
flick|n. [C] [过时，非正式] 电影
flick|n. [pl.] [过时，英，非正式] the flicks 可指电影院
fling|n. [usually sing.] [非正式] 短暂的尽情欢乐、短暂的放纵
float|n. [C] 节日中的大型彩车（车上载着穿着奇装异服的人们）
flush|n. [C]（在纸牌游戏中某人所持有的）同花的一手牌
fold|vi.（一出戏剧等）由于失败而停演
format|n. [C] 电影、音乐录制品等的格式
frame|n. [C]（电影的）帧、一幅画面
front|vt. [英] 主持（电视节目、演出等）
function|n. [C] 大型正式的社交聚会。不常用
fuse|n. [C]（烟花爆竹的）导火线、导火索
gala|n. [C] 一场特殊的公众庆典
gala|n. [C] 一场特殊的演出
gallery|n. [C]（剧场或音乐厅内的）顶层楼座（通常有票价最低的座位）
game|n. 1 [C]（有规则的）游戏
garden|n. [pl.] 类似park的地方，也可叫公园，内有植物、树草，可供人们参观和散步
garden|vi. 在garden中工作，即做园艺工作、种植花木
gathering|n. [C] 人们为某一目的进行的聚会
ghost|n. [sing.]（电视屏幕上的）重影
gig|n. [C] 现场表演，例如现场喜剧表演
give|vt. 公开表演…。是一个简单用词
go|n. [C] [英] [英，美也用turn]（一个人在下棋中）轮到的机会
go|n. [C] [英] [英，美也用turn]（一个人在出牌中）轮到的机会
go|n. [U] 围棋
go|vi. 出现（在电视或广播电台上）。是一个简单用词
god|n. [pl.] [英，非正式]（剧院内部处于后部的）顶层座位，高层座位
graduation|n. [U, C] 毕业典礼
grip|n. [C] 拍摄电影时的摄影机和照明设备管理人员
guest|n. [C] 参加某一电视节目或音乐会等的一位著名人士或著名表演者，如特约嘉宾，客串演员
guest|vi. guest (on sth) 作为一名来访（或临时）表演者而参加一个电视或广播节目（或参加一场音乐会、一场比赛等），如做特邀嘉宾，做客串，做特约演员等
gym|n. [C] [非正式；正式为gymnasium] jungle gym在美式英语中可表示儿童攀爬架
hack|vi.（通常用go hacking）[尤英] 骑马消遣
ham|n. [C] [非正式] 常用作形容词，指表演糟糕的演员（尤指通过夸张情绪而演砸的演员）
hand|n. [C] 在纸牌游戏中，可指分给一个打牌者的一手牌
hand|n. [C] 纸牌游戏的一盘或一局
headline|vt.＆vi. 是演出的一个主要表演者
heart|n. 1 [pl., U] 统称纸牌游戏中的红桃牌
hero|n. [C] 书籍、戏剧、电影或故事等艺术形式中的男主人公，男主角
heroic|adj. 男主角的
heroine|n. [C]（故事、小说、电影等作品中的）女主角
hit|n. 1 [C] 非常受欢迎的人或事物，尤指娱乐业的事物
holiday|n. 1 [U] [英] [美式为vacation] 也可用复数holidays，亦为英式，指（工作或学校的）假期
honeymoon|n. 1 [usually sing.]（新婚夫妇的）蜜月
horror|n. [U] 恐怖作品（如恐怖电影等）
host|n. [C] 电视或广播节目的主持人（可单独主持，也可与嘉宾进行谈话）
