absorb|vt. 用尽大量时间，即耗费，消耗
accompaniment|n. [C] [正式] ~ (to sth) 伴随某事而发生的事
accompany|vt. 伴随其他事而发生（或出现）
afford|vt.＆vi. 常与can，could或be able to连用，尤用于否定句或疑问句，指有足够的时间去做某事，即花得起时间，无被动式
after|prep. 1（时间）在…以后。是一个常规用词
age|n. 1 [U] 处于老、旧的状态或变得更老的过程，即年长，成长等
agenda|n. [C] 事情的时间安排表
alarm|n. [C] 闹钟，相当于alarm clock
allied|adj. [正式] ~ (to/with sth)（两个或两个以上的事物）共存的；伴随…发生的
alongside|prep. 与…同时
apart|adv. 被时间上的距离所隔开，即（时间上）相隔，相距
as|conj. 当另一件事正在发生时，即随着，表示一个时间段
at|prep. 在某个时间或时刻
attend|vt. [正式] 与某事同时发生，即伴随某事而发生
attendant|adj. [正式] [常用于名词前] ~ (upon sth) 与刚发生的事紧密相连的，即随之而来的
back|adv. 将钟表等拨回
before|conj. 直到…为止
before|prep. 比（某时或某事）更早，即在…以前
bell|n. [C] 钟；钟声
between|prep. 1 时间上介于两个日期、年份、事件等之间
beyond|prep. 晚于或迟于某个时间
by|prep. 不迟于…；在某个时间之前
by|prep. 在…期间
calendar|n. 1 [C] 日历；挂历
calendar|n. [C] [美]（记录每天要做的事情的）记事本、日程表
clock|n. [C]（显示时间的）钟，时钟（钟表的钟，而非钟表的表）
coexist|vi. [正式] ~ (with sb/sth)（尤指和平地）在某时共存
coincide|vi. ~ (with sth/sb)（两件或更多的事情）同时发生
come|vt. [过时，非正式] 到（提及的时间）
commit|vt. 在某人或某事上花费时间
concurrent|adj. ~ (with sth) 同时存在或发生的，即并存的、同时发生的
consume|vt. 消耗、耗费（时间）
crawl|vi.（时间）非常缓慢地推移
crystal|n. [C] [美] 手表表面的一片玻璃或塑料，即表蒙子
cue|n. [sing.] on ~ / as if on ~ 恰好在这时，就在这时候
date|n. [C] 日期
deadline|n. [sing.] deadline (for sth) 最后期限或截止日期（在此时必须完成某事）。是此义的常规用词，最为常用
dial|n. [C] 钟或表的盘面
do|vt. 花费一段时间做某事，即度过（一段时间）
during|prep. 1 在…期间。是一个常规用词
endure|vi. [正式] 持续存在很长一段时间，持久
eve|n. [C] 某次事件（尤指宗教节假日）的前一天（或其前一天晚上、前一段时间）
ever|adv. 1 从此
extend|vi. 持续某一时长
face|n. [C] 钟表的面，即钟面，表盘
fast|adj. 不用于名词前，（钟表）走得快的
fill|vt. fill sth (up)（做某事）用光一段时间，即耗去，打发，消磨等
flow|vi. flow (back/down, etc.) / flow (into, through, etc. sth)（时间）稳定且持续地向一个方向移动，即流动
fly|vi. fly (by/past) 指时间看起来过得很快，即时光飞逝
following|prep. 在（某事）以后
for|prep. better, happier, etc. for sth … 之后（更好、更快乐等）
for|prep. 表示把某事安排在某一时间，或让某事在某一时间发生
forward|adv. 从某时刻起（而属实）
from|prep. 起始于某时
gap|n. [C] ~ (in/between sth) 某事停止的一段时间，或两件事之间的一段时间，即时间间隔
go|vi. 用于谈论时间看起来过得多么快（或多么慢）
good|adj. good for sth 精力、健康、力量等足以维持一段时间或距离的
hand|n. [C] 通常构成复合词，指钟表的指针
hence|adv. [正式] …days, weeks, etc. hence（从现在开始）…天、星期等之后，尤指未来的长时间之后
henceforth|adv. [正式] 从某时以后
hereafter|adv. [正式] 从此以后、今后、将来
hour|n. 1 [pl.] hours 可指（工作、办公或营业等的）一段固定时间
if|conj. 当…的时候；无论何时；每次
in|prep. 在一段时间内
in|prep. 在某段时间之后
incidental|adj. 1 ~ (to sth) 附带发生（且次要）的；（某事）非有意为之的
inside|prep. [美尤用inside of] 少于某个时间量
insistent|adj.（噪音、节奏等）持续不断的；再三的；没完没了的
interlude|n. [C] 两件事之间所间隔的一段时间（这段时间内发生了其他事）。可算作一种比喻意义上的“插曲”
intermission|n. [C, U] 一段时间的间歇、暂停
intermittent|adj.（在一段时间内）断断续续且不规律的
interval|n. 1 [C] 两次事件（或日期）之间的一段时间间隔
intervene|vi. [正式] 存在于两个时间点之间
into|prep. 到一个时间段上的某一点上
investment|n. [U, C]（时间上的）投入
kill|vt. 消磨时间
lag|n. [C] 两个相关事件之间的间隔期、间歇期、时间差，相当于time lag
lapse|vi.（时间）流逝，消逝，推移
last|vi. 持续某一段时间
line|n. [C, usually sing.] 一系列按时间顺序排列的人（如家族谱系）、事物或事件
linger|vi. ~ (on) 继续存留更长时间
long-lived|adj. 长寿的；持久的；耐久的
lose|vt.＆vi.（钟、表）走得太慢；或（比正确时间）慢若干时间
make|vt. 看表上是（某时间）
march|vt.＆vi. 时间推移，常为比喻用法
meanwhile|adv. 1（也可用非正式的meantime）在其他事情发生的期间，即同时，与此同时
midst|n. [sing.] in the ~ of 在…期间；当…时候
move|vi. move (on)（时间）前进，相当于progress
next|adj. 1 只用于名词前，通常与the连用，（在时间上）下一个的、紧接着的（且此两者之间没有其他同类存在）
occupation|n. [C] 花费时间的方式，尤指花费业余时间的方式
occupy|vt. 占用时间，相当于take up。其主语是事情或任务
of|prep. 1 用于表示人或事物的时间位置，即在，当
of|prep. 用于month或year之后，表示某个状态或活动所持续的时间长度
on|adv. 向前移动，或被向前移动
on|prep. 在某一天
only|adv. 直到…才；只是…才
over|prep. 在某事期间
o’clock|adv. 与整数连用，表示整点的时间，即…点钟
parallel|adj. 同时发生的
pass|vi. 时间推移或逝去
pass|vt. 花费时间，尤指当你厌烦时或正等着…时，即消磨、打发
passage|n. [sing.] [文学] the passage of time 可指时间流逝的过程
passing|n. [U] the ~ of time/the years 时间的流逝
patchy|adj.（美式英语也用spotty）质量不稳定的、时好时坏的
perpetuate|vt. [正式] 使（尤指不好的情况、制度、信仰等）继续，延长、永久化、持续
persist|vi.（不喜欢的事物）继续存在
