awe|n. [U] 崇敬之中带着一丝恐惧，即敬畏
deference|n. [U]（尤指对位高权重者的）尊重、敬重
dignified|adj.（某人或某事物）有尊严的
dignity|n. 1 [U] 被人们给予了荣誉和尊敬，即高尚，高贵，光荣，尊贵
distinguished|adj.（某人的外貌）让人看起来感觉很重要的，或者使人仰慕或尊重的。如高贵的、尊贵的、有尊严的
esteem|n. [U] [正式] 极大的尊重和敬佩；对某人的好评
face|n. [U] 脸面（本质上是一种自尊）。这里可看作是一种指代用法，即用脸指代自尊
flattered|adj. 1（发生的某件事让某人因为感到受重视而）觉得荣幸的
flattering|adj.（某事）令人感到愉悦或特别的，如令人感到荣幸的
honourable|adj. 值得尊敬的，即可敬的、值得钦佩的
honourable|adj. 能让某人保持良好声誉的，如体面的
honoured|adj. 光荣的
honoured|adj. 荣幸的
pleasure|n. [U, C] 荣幸，是一种正式用法
pray|adv. [旧时或讽刺] 当询问一个问题或告诉某人去做某事时，用于表示“请”
prestige|adj. [只用于名词前] 带来尊敬和敬仰的（即令人敬仰的）；重要的
pride|n. [U] 自己对自己的尊重，即自尊，自尊心。与dignity未见明显差别
privilege|n. [sing.] 荣幸。表达了对有机会做某事感到骄傲或幸运，或表达对某人、某事的感激，或表达自己对…的尊重或尊敬
privileged|adj. [名词前不可用] 荣幸
proud|adj. 有自尊的，不想失去别人对自己的尊重的
regard|n. [U] [正式] regard (for sb/sth) 对某人的尊敬、尊重、仰慕、敬佩、敬意等
respect|n. 1 [U, sing] respect (for sb/sth) 由于某人所具有的良好品质或成就而对其所产生的仰慕之情，即尊敬，尊重，敬重，钦佩
respectability|n. [U] 体面；得体
respectable|adj. 1（人或事物）体面的、得体的；（人）（道德上）可敬的、正派的
reverence|n. [U] [正式] ~ (for sb/sth) 对某人或某事物的深深的尊敬、崇敬、敬仰
sacred|adj. 非常重要且极受尊敬的
salute|vt. [正式] 向…表示敬意或致敬，相当于acknowledge
self-respect|n. [U] 自尊，自尊心
to|prep. 向…表示敬意
tribute|n. [U, C] ~ (to sb) 对某人（尤指逝者）表达敬意或仰慕的一个行为、陈述或礼物
venerate|vt. [正式] ~ sb/sth (as sth) 崇敬、敬仰
