above|prep.（空间）在…上面；到…上面
abroad|adv. [旧时] 在室外；到室外；户外
after|prep.（某人离开后）跟在其后面（或在其身后喊叫、瞪眼等）
ahead|adv.（空间）向前面，在前面
along|adv. 向前
alongside|prep. 紧挨着…；在…旁边
among|prep. 被某人或某事物包围着；在某人或某事物中间
aside|adv. 到一侧，到旁边；在旁边
back|n. 1 [usually sing.] back (of sth) 后部，后面
backward|adj. 只用于名词前，向后的，朝后的；向后移动的
base|n. [C, usually sing.] 事物的底部，可指末端；底座；底层；底面（该表面支撑着整个物体）
bed|n. [C] bed of sth（其他事物置于其上的）一层某事物，如底层，基座等
before|prep. 1 [比较正式] 在…前面（是一个空间位置概念）
behind|prep. 在（或朝向）…的后面（常被隐藏起来，因此可称为在…的背面，或朝向…的背面）
below|prep. 在…下面；到…下面
beneath|prep. [正式] 在（或到）…下面（或下方），近似于under
beside|prep. 挨着…，在…旁边（或附近）
between|prep. 1 空间上介于两个（或两个以上的）地点、物体、人等之间
bind|vt. [常用被动式] ~ sth (with sth) 给…缝边（作为装饰，或使其更牢固）
binding|n. [C, U] 镶边
border|n. 1 [C] 比喻用法中可指事物之间的分界线
borderline|n. [C]（两种不同或相反的品质、状况或事物之间的）分界线
bottom|n. 1 [C, usually sing.] bottom (of sth) 某事物最底端的部分，即底部、最下部
bound|vt. [正式] 常用被动式，形成一个区域的边缘或界限
boundary|n. [C] 广义而抽象的边界线或分界线
bowel|n. [pl.] [文学] the bowels of sth 内部最深处
brim|n. 1 [C] 杯子、碗等的顶端边缘，即口、边沿
brink|n. [sing.] [文学] 土地（例如峭壁、河岸等）的边缘
central|adj. 在一个物体的中央的
circumference|n. [U]（圆形、圆形地方、圆形物体的）边缘
core|n. 1 [C] 水果的果核（其内部含有种子）
corner|n. [C] 一个房间（或箱子）内部两个面相结合的那个地方；也可指此处周围的区域
crown|n. 1 [sing.]（通常用the crown）头顶（尤指头顶的后部）；冒顶
crust|n. [C, U]（尤指软物或液体上面或周围的）坚硬层、硬表面
down|adv. 在（或到）一个较低的地方或位置上，即在下、向下、朝下
edge|n. [C]（物体、表面或区域的）边缘；离中心最远的部分
exterior|adj. 1 [常用于名词前] 在某事物的外面的
external|adj. 1（某事物或某人的）外部的，位于（某事物或某人的）外部的
finish|n. [C, U] 在某事物的表面所刷上或涂上的最后一层油漆、最后一道抛光等；还可指刷漆或抛光完毕后的表面状况
flank|n. 1 [C]（建筑物、山等大型事物的）侧面
flap|n. [C] 沿着一边附于某物上的一片纸、布、金属、皮肤等，呈悬垂状，或用于封口
foot|n. [sing.] the foot of sth 事物的最下部；事物的基础或底部
forward|adv.（英尤用forwards）朝向前面的一个地点或位置，即向前。也可指靠前地
frame|vt. [常用被动式] 给…做框；给…镶边
fringe|n. 1 [C] [英] 地区的边缘
front|n. 1 [C, usually sing.] 事物的前面（或正面）部分，具体指的是前表面
head|n. [C] 单数名词，head of sth 指某事物的顶端或最上端
head|n. [C] 单数名词，the head of sth 指一排人（或车辆）的领头位置
heart|n. [C, usually sing.] heart (of sth) 事物（如地方）的中心，中央
in|prep. 1 在空间区域内的一个点上
inner|adj. [只用于名词前] 里面的；向内的；接近一个地方的中心的
innermost|adj. [只用于名词前] 最靠近某事物的中心的
inside|prep. [美尤用inside of] 在（或向）…里面
interior|n. [C, usually sing.] 某事物（尤指建筑物、车辆等）的内部、里面
intermediate|adj. [常用于名词前] ~ (between A and B) 位于两个地方、事物、状态等之间的
internal|adj. 1 [只用于名词前] 某事物的内部的、里面的
intervene|vi. [正式] 存在于两个地点之间
into|prep. 在某事物里面；进入
inward|adj. 朝向某事物的中心的，即向内的、向中心的
latter|adj.（一个清单中）最后的、末尾的
left|adj. 只用于名词前，左边的
limit|n. [C] 一个区域（或一个地方）的最远的边缘，如地界、范围
line|n. 1 [C] 地上画出的（尤指运动场的）场地线，界
lower|adj. [只用于名词前] 在底部的；接近底部的
lower|adj. [只用于名词前]（尤指位于同类物品或成对物品中另一个的）下面的，下方的
margin|n. 1 [C] 页边空白
middle|n. [sing.] the middle 物体的中心或中央部分
midst|n. 1 [sing.] [正式]（用于介词后）某事物的中间部分
offside|adj. [英]（车辆在靠左交通中的）（车辆）右侧的
offside|adj. [英]（车辆在靠左交通中的）（车辆）外侧的
offside|n. [U]（车辆在靠左交通中的）（车辆的）外侧
onto|prep. 与动词连用以表达在某处或某个位置上运动，或运动到某处或某个位置
open|adj. 没有覆盖物或房顶的，即敞开的
out|adv., prep. 1 out (of sth) 从某个地方或事物里出来
outdoor|adj. 只用于名词前，指被应用于、发生于或位于建筑物外的，即室外的，户外的
outdoors|adv. 在户外，在室外（而非在建筑物内）
outer|adj. 1 只用于名词前，在…外面的，外边的，相当于external
outermost|adj. [只用于名词前] 最外边的、离中心最远的
outside|n. 1 [C, usually sing.] 常写作the outside，指某事物的外边或外表面，相当于exterior
outward|adj. 只用于名词前，从中心（或某个点）向外的
over|prep. 在（或到）某人或某事物的上方但与该人或该事物不接触
overhead|adv. 在头上方；在空中
perimeter|n. [C] 一片区域或土地的外部边缘
peripheral|adj. [术语]（区域）外围的、周边的
periphery|n. 1 [usually sing.] [正式] 区域的外部边缘，即外围、周边
pivot|n. [C] 某事物旋转所围绕的（或让某事物保持平衡的）一个点、针或柱，可称为中心点、枢轴、支点
point|n. [C] 物品（如针、刀等）的尖端，尖儿
precede|vt.&vi.（位置）在…前面
rear|n. 1 [sing.]（通常用the rear）某事物（如建筑物或车辆）的后部
recede|vi. 退去
recession|n. [U] [正式]（从先前的位置）退后、撤回
retreat|vi. 退去、后退
reverse|vt.&vi. [尤英]（使）车辆倒退行驶，即倒车
right|adj. 右边的，在（或朝向）右边的，只作前置定语。与left相反
rim|n. [C] 圆形事物的边沿
sharp|adj. 指一个形状或物体的一部分（或一端）形成一个尖或角的，即尖的
shell|n. [C] 物体的硬外壳
side|n. 1 [C, usually sing.]（一个平面、物体或区域）由想象中的中线所划分出的两边中的一边
sideline|n. [pl.]（某一情况的）外围，局外
sideways|adv. 1 到一侧；朝向一侧；从一侧
skin|n. [C]（覆盖着某事物的）外壳，外皮，外层
