absorb|vt. 1 吸收（液体、气体或其他物质）
accelerator|n. [C] [物理学]（基本粒子的）加速器
aerial|n. [C] [英] [英美也可用antenna] 天线
airway|n. [pl.]（广播、电视使用的）无线电波、波段，相当于airwaves
amplitude|n. [U, C] [物理学] 波（尤指声音或无线电波）的振幅
antenna|n. [C] [尤美]（复数形式为antennas或antennae）天线。相当于aerial
arc|n. [C] [术语] 电弧
attract|vt. 物理学中可指磁力或重力吸引某事物，与repel相反
attraction|n. [U] 物理学中可指事物之间的吸引力。比pull略为正式
balance|n. [C]（用来称重的）天平
band|n. [C]（无线电波的）波段或频带
bar|n. [C] 一种压强单位
battery|n. [C] 包含一个或多个单芯电池（cell）的一种装置，可称为“电池”、“电池组”
bead|n. [C] 液体小珠子
beam|n. [C] 能量束，如放射线的束、电波的波束、粒子束
blister|n. [C]（金属、刷过油漆的木头或其他表面上的）泡，气泡，水泡
blister|vt.&vi.（使）（表面）涨破，爆裂
blow|vt.＆vi. 保险丝熔断，或使保险丝熔断
boil|vt.＆vi. 1（液体）沸腾；煮沸或烧开（液体）
bounce|n. [U] 弹性或反弹力，是一种反弹（或使某事物反弹）的能力
break|vt. 减弱…的力度（如减弱打击或坠落的力度）
brew|vt. 沏茶、煮咖啡
broil|vt.&vi.（使）某人变得灼热
brunt|n. [sing.] bear, take, etc. the brunt of sth 承受某件坏事的主要压力；首当其冲
bubble|n. 1 [C]（液体或固体物质中的）气泡
bubble|vi. 形成泡沫，如起泡、冒泡
buoyancy|n. [U]（液体或空气的）浮力
burst|vt.＆vi.（尤指由于内部的压力而）爆裂、胀开、炸碎；使某事物（尤指由于内部的压力而）爆裂、胀开、炸碎
cable|n. [C, U]（由塑料或橡胶包裹的很粗的、用于传输电流、信号等的）电缆、电线
calorie|n. 1 [C] 测量食物热量的单位，即大卡、千卡
cell|n. [C] 单芯电池
channel|n. [C] 广播的频道或波段。在“波段”的含义上与band几无差别，只是band更常用，而channel多用于指“频道”
charge|n. [C, U] 电池（或带电物质）的充电量、带电量、电荷
charged|adj.（粒子）带电的
circuit|n. [C] 电路
circulate|vt.＆vi.（液体、气体、空气）绕着一个地方或一个系统持续运动，即循环、环流
circulation|n. [U, C]（气、水等的）在一个系统或机器内的环流、循环
clarify|vt. 通过加热使某事物（尤指黄油）变得纯净
clot|vt.&vi.（血液或乳脂）凝结成块
coil|n. [C] 一卷可以导电的线圈
compass|n. [C] 罗盘，指南针
concentrate|vt. [术语] 通过缩减物质的体积（如通过煮沸的方式）而增强其浓度，即浓缩
concentrated|adj.（物质）浓缩的
concrete|adj.（物体）能够看到和感觉到的，即有形的；实物的
conduct|vt. [术语]（一种物质）传导（热或电）
conductor|n. [C] 物理学中可指导电或导热的物质，即导体
contact|n. [C] 电流的接触、接通、接触器
cord|n. [C, U] [尤美]（将电器设备和电源连接起来的）带有塑料外皮的电线。相当于英式的flex
current|n. [C] 电流
cushion|vt. 对跌倒或撞击起到缓冲作用
density|n. [C, U] [物理学] 固体、液体或气体单位体积的质量，即密度
diffraction|n. [U] [物理学] 光的衍射
direct|adj. 只作前置定语，指热量直射的
discharge|n. [U, C] 放电
displacement|n. [C] [物理学] 排水量，尤指船只的排水量
drag|n. [U] 物理学中可指作用于飞机或其他交通工具的空气阻力
dribble|n. [C] 小液滴；小细流
drip|n. [C]（落下的）液滴
drop|n. 1 [C] 圆形的液滴（如水滴，水珠）
dynamic|adj. 物理学中可指（力或动力）产生运动的，即动力的，反义词为static
earth|n. [C, usually sing.] [英；美用ground] 接地的地线
electric|adj. 常作前置定语，与电有关的；用电的；发电的；由电所产生的；带电的。常与具体的与电有关的设备连用，如电线、电灯、电动机、电源开关等；还可表示微观的电流、电荷
electrical|adj. 与电有关的；用电的；发电的。常与更为概括的名词连用，表示与电有关的方方面面（一般不与具体的与电有关的设备连用），如电路故障、电气设备、电器、电力、电信号、电力工程师、供电线路等。与electric相同的一点是，二者都可与shock连用，表示电击
electricity|n. [U] 电；电能（带电粒子的一种能量形式）。是此义的常规用词
electron|n. [C] [物理学] 电子
electronic|adj. 1 常作前置定语，指拥有或使用很多小电子器件（如微型芯片）的，即电子的
electronics|n. 1 [U]（尤指用于无线电、电视和计算机的）电子学、电子技术
element|n. [C]（电炉、热水器等的）电热元件、电热丝
energy|n. [U]（物理学中的）能量，能
evaporate|vt.&vi.（使）（液体）蒸发、挥发
explosive|adj. 易爆炸的；可能爆炸的
extension|n. [C] [英]（当电器上的电线不够长时所接上的一段）额外的电线，即电线的延长线，相当于extension lead
feedback|n. [U] 电器设备（如音箱）的反馈噪音
field|n. [C] 通常构成复合词，物理学中可指力能产生作用的一个区域，即场
filter|n. [C] 光线或声音的过滤器，即滤光器
filter|n. [C] 光线或声音的过滤器，即滤声器、滤波器
filter|n. [C]（气体的）过滤器（该装置内部有纸张、沙子、化学品等，能够除掉不需要的东西，而让气体流过）
filter|n. [C]（液体的）过滤器（该装置内部有纸张、沙子、化学品等，能够除掉不需要的东西，而让液体流过）
filtrate|n. [U] 已经流过过滤装置的气体，即过滤后的气体
filtrate|n. [U] 已经流过过滤装置的液体，即滤液
fission|n. [U]（也可用nuclear fission）[物理学]（核）裂变
flat|adj. [英]（电池）电用完了的
flex|n. [C, U] 用于给设备输送电力的带有塑料皮的电线
fluid|n. [C, U] 液体；能流动的物质（即流体）
focus|n. [C] 物理学中可指光、声等能量的波经过反射或折射后汇聚而成的焦点；也可指能量波的波源。也可用focal point
focus|vt. [术语] 用磁线圈将电子束聚集成小点
force|n. 1 [U] 肢体力量
frequency|n. [C, U] [术语]（声波、电磁波、振动、信号等的）频率
fresh|adj. 常用于名词前，（水）不含盐的，即淡水的
friction|n. 1 [U] 两个物体（或表面）之间的摩擦
fundamental|adj. 只用于名词前，物理学中可指（物质对于形成其它一切事物来说）基本的、不能再次被分割的
fuse|n. [C]（电流过大时会自动熔断的）保险丝
fuse|vt.&vi. [术语]（使）物质（尤指金属、保险丝）熔化
fusion|n. [U, sing.]（两个或多个事物的）融合、结合，是一种过程或结果
fusion|n. [U] [物理学]（也可用nuclear fusion）核聚变
gas|n. [C, U] 气体
give|vi.（在压力下）弯曲或伸长；坍塌或断裂
gravity|n. [U] 空间中两个物体之间的引力；地心引力；重力
graze|vt.（经过时）轻擦、轻触、蹭
ground|n. [C, usually sing.] [美] 电线中的接地线，相当于英式英语的earth
ham|n. [C] 无线电通讯爱好者（而非以之为工作的人）
head|n. [C] 单数名词，a head of steam表示在一个密闭空间内的蒸汽压力
