accessory|n. [usually pl.] 机器设备等的附件、配件；起装饰作用的附属物
action|n. [sing.]（钢琴、枪炮、钟表等的）各机械部件；也可指各机械部件的活动方式
ancestor|n. [C] 机器的原型，相当于forerunner
arm|n. [C]（尤指可以移动的）臂状物体或机器部件
attachment|n. [C] 机器的附件、附加装置
bearing|n. [C] [术语]（机器的）承座；（尤指）轴承
bellow|n. [C] 风箱；鼓风机
belt|n. [C]（连续运行的，用于运送物品或带动机器的）传送带或传动带
bit|n. [C] 钻洞的一种工具（或该工具的一部分），如钻，钻头
blade|n. 1 [C] 发动机内部或直升机上的旋转的叶片、桨叶
blowout|n. [C]（石油或天然气的）井喷
brewery|n. [C] 啤酒厂
bucket|n. [C]（起重机的）吊斗；（挖土机的）铲斗
button|n. [C] 机器的按钮
buzzer|n. [C]（用于发出信号的）蜂鸣器
cast|n. [C] 用于制造物件的一个有一定形状的容器，即模子，模具，铸模，相当于mould
chamber|n. [C]（机器内的）腔、室
claw|n. [C] 工具或机器的爪形部分，用于抓、拉、提等
cock|n. [C]（调节管道流量的）旋塞，活栓。相当于stopcock
collar|n. [C] [术语] 某事物（如管子或机器部件）周围的圈、箍（以起到加固或接驳的作用）
component|n. [C] 零件，尤指机械或交通工具的零部件或元件
control|n. [C, usually pl.]（机器或车辆的）操纵装置（如开关、按钮等）
controller|n. [C] [术语] 机器的控制装置、调节装置
cough|vi.（发动机）突然发出刺耳的声音
cylinder|n. [C] 发动机的气缸
device|n. [C] 装置
die|n. [C] 模具，压模，冲模
disposal|n. [C] [美] 废物处理机（装于厨房水槽的污水管上，用以切碎食物垃圾）。相当于waste-disposal unit
distributor|n. [C]（发动机的）配电器，配电盘
drill|n. [C] 用一个尖端进行钻孔的一种工具或机器，即钻孔机
drive|vt. 常用被动式，为机器提供动力以使其运转，即驱动
electrician|n. [C] 连接或修理电器设备的一个人，如电工、电器技师
engine|n. [C] 主要指交通工具的发动机或引擎
engineer|n. 1 [C] 工程师
equipment|n. [C] 设备、器材。是此义的常规用词，极为常用
exhaust|n. [C]（也可用exhaust pipe）（也可用tailpipe，不过尤此时用于美式英语）排气管
exploit|vt. ~ sth (for sth) 为商业或工业用途而开采某事物
exploitation|n. [U] 对石油、矿藏等的开采
facility|n. [C] 可提供额外服务的机器
factory|n. [C] 大批量制造货物的地方，为一栋或一群建筑，即工厂。是此义的基础和常规用词，极为常用
feed|n. 1 [U] 为一部机器所提供的材料，即进料
fire|vi. 发动机点火，发动。其主语一般是发动机
fit|vt. 把…安装在某处。是此义的常规用词
