adventure|n. 1 [C] 一次不同寻常的、令人激动的或危险的旅程
attraction|n. [C] 有趣或好玩的地方。强调该地对游客的吸引力
backpack|vi.（通常用go backpacking）背包旅行
cosmopolitan|n. [C] 周游世界的人
courier|n. [C] [英]（旅游公司的）导游
cruise|n. [C] 乘船在海上游览不同的地方（尤指作为一种度假）
destination|n. [C] 旅游目的地
do|vt. [非正式] 参观（或游览）一个地方
excursion|n. 1 [C] 尤指以游玩为目的的短途旅行或短途远足
expedition|n. 1 [C] 带有特定目的（尤指为了发现未知之地）有组织的旅程，如远征、探险、考察
guide|n. 1 [C] guide (to sth) 旅游指南、旅游手册（该书向旅游者提供了关于一个城镇、地区或国家等的信息）
hike|n. [C] 在野外进行的（尤指为愉悦身心之目的的）徒步远行，如远足
hiker|n. [C]（在乡间进行长途徒步旅行的）远足者、徒步旅行者
landscape|n. [C, usually sing.] 陆上的风景，景色（包括了河流、山川、建筑物、植被等），尤指乡村的景色
memento|n. [C] 自己留着（或送给别人）作为纪念的物品，即纪念品
outing|n. [C] outing (to ...)（为愉悦身心或教育之目的所进行的一次）往返出行（尤指群体所进行的不超过一日的出游），相当于excursion
outlook|n. [C] 某地的景色、景观
perspective|n. [C] 景观，尤指在其中可以看到远处的景观
prospect|n. [C] [正式] 一片土地等的一个开阔景色
resort|n. [C] 旅游胜地；度假胜地
safari|n. 1 [U, C]（尤指在东非、非洲南部的）观赏（或捕猎）野兽的旅行，如游猎
scene|n. [C] 景色或风光。且常表示地理、植物等自然意义上的各种“风景”，词义与view较为接近，但不如view那样强调乡间美景（虽然scene也可指乡间自然风景）
scenery|n. [U]（所欣赏的）自然风光，风景，景色（如大地、山川、植被等）。与view词义近似，不过view为可数名词（表示一个具体的地点），而scenery是一个不可数名词（表示一种抽象的、概括性的概念）
sight|n. [pl.] sights 可指游人所游览的好玩的地方，即风景名胜。词义与attraction未见明显区别。但sight要用复数
sightseeing|n. [U]（作为一名游客）对某些有趣的建筑物（或地方）所进行的游览、观光
souvenir|n. [C] 为使自己想起（或保持记忆）一个地方、一个场合或假期而买下来的一个东西，即纪念品；度假时买回来送人的东西。相当于memento
swan|vi. [英，非正式，贬]（打扰别人，或让别人嫉妒的）悠然闲逛
tour|n. 1 [C] tour (of/round/around sth) 为愉悦身心所做的旅行（期间会到访一些城镇、国家等）。与汉语中常规意义上的“旅游”几乎完全对等（比如旅游业叫做“tourism”）
tourism|n. [U] 旅游业，观光产业（即诸如此类的商业活动：为旅游者提供餐饮、住宿、娱乐等服务）
tourist|n. [C]（为愉悦身心之目的而进行旅游的）旅游者，游客。是此义的常规用词，最为常用
travel|vt.＆vi. 旅行。偏向于指长距离旅行（其本义为穿行，尤指长距离穿行。其实是一个交通概念，其目的不限，可以是为了旅游、商务出差、完成某种使命等，只不过当其目的是为了游玩时，便与tour的“旅游”之义有很大的交集了，二者此时在很多用法中可以互换）
trek|vi.（也可用go trekking）（尤指在山中）为娱乐之目的而远足、徒步旅行
trip|n. [C]（为愉悦身心的一次短途）往返出行。该词概念相对模糊。例如去商场逛一圈可以叫trip，出去游玩几天也可以叫trip，出国旅行还可以叫trip。甚至非为游玩之目的的商务出差，依然可以叫trip。所以需要注意，第一，在出行的目的上，尤指游玩，但非专指游玩（还可指出差等）；第二，在空间距离上，可长可短，而并非特别强调短途旅行；第三，在形式上，一般是往返的（其实其它类似的词所表示的“旅行”或“旅游”，一般也是要回家的，所以这一点与其它词的差别不太明显）
view|n. [C] 从某处所看到的景色（尤指乡间美景）
visit|vt. 参观（一个地方）
visitor|n. [C] visitor (to ...)（某地的）到访者，来访者，参观者，即游客
voyage|n. [C] 一次长途旅行（尤指在海上或太空航行）
walk|vt.＆vi. [英] 徒步旅行，相当于go walking
