above|prep.（声音在音量或清晰度上）超过（另一种声音）
aloud|adv. 1（常指人声）出声地（以使别人能听见）
audible|adj. 可被清楚听见的
babble|n. [sing.] 嘈杂的人声
bang|vi.（某事物）发出巨响；砰然作响
bark|n. [C] 短促而响亮的枪声或笑声
bell|n. [C] 铃；铃声；电铃；电铃声
blast|n. [C] 突然的大声，尤指吹奏的乐器、哨子或汽车喇叭等突然发出的大声
blast|n. [sing.] full ~ / at full ~（收音机等）以最大音量
boo|exclamation., n. [C] 用于吓唬人（或给别人惊喜）时喊出来的声音，如嘿，砰
boom|n. [usually sing.] 洪亮而深沉的声音
break|vi. 指某人的嗓音因情绪或情感（如悲伤、害怕等）而变调
breezy|adj.（音乐）明快的
brittle|adj.（声音）尖利刺耳的
bubble|vi. 发出冒泡的声音，尤指移动时发出此声音
bug|n. [C] [非正式]（微型）窃听器
bug|vt. 窃听（谈话）
bump|n. [C] 撞到一个硬质平面的声音，即碰撞声
buzz|vi. 发出蜂鸣一样的嗡嗡声
catch|vt. 1 听见…
chatter|vi.（一些物体）发出短暂而连续的声音，如发出咯咯声(或嗒嗒声)
chug|vi.（发动机缓慢运转时）发出突突声
clang|vt.&vi.（使）…像金属一样叮当（或铿锵）作响
clank|vt.&vi.（使）金属撞击时发出叮当声或当啷声
clap|n. 1 [sing.] 指鼓掌或拍手所发出来的声音
clarity|n. [U]（声音的）清晰，清楚
clash|n. [C] 两个金属物品的大且刺耳的撞击声
clatter|vi. 硬物相撞而发出响亮的撞击声
clear|adj. 容易听到的
click|vt.＆vi. 发出（或使…发出）短而尖的声音（如咔嗒、咔嚓等）
clump|n. [C] 沉重的脚步声
commotion|n. [C, usually sing., U] 突然发生的喧闹、骚乱、骚动
crack|n. [C] 突然的爆裂声、噼啪声
crash|n. [usually sing.] 一阵突然的且较大的噪声（例如由某事物的倒下或破碎所产生的巨响）
creak|vi. 开门或踩上木地板等时发出的声音，如嘎吱作响
crescendo|n. [C, U] 逐渐增强的噪声；持续噪声的最高点
crisp|adj.（声音）清脆悦耳的
crisp|adj.（雪、树叶等）压碎时发出脆响的
crunch|n. [C, usually sing.] 某事物被牢牢压着或压碎的声音
