aroma|n. [C]（食物等的）宜人且强烈的气味，如香味、芳香
astringent|adj. [正式]（气味）微苦而清新的、涩的
bouquet|n. [C, U] 某类食物或饮料的宜人气味，尤指葡萄酒的香气
clean|adj.（气味）闻起来清新宜人的
delicate|adj.（气味）轻且令人愉悦的，不浓烈的，如清香的
delicious|adj.（气味）宜人的，芬芳的
evil|adj.（气味）极令人不悦的
exquisite|adj. [正式]（气味）强烈的
exude|vt.&vi.（使）（气味）从某处散发出来
faint|adj. 气味微弱的
fill|vt. fill sth (with sth)（气味）弥漫在某地
fishy|adj. 闻起来有鱼味的
foul|adj. 肮脏且恶臭的
fragrance|n. [C, U] 宜人的气味，如香气
fragrant|adj. 气味宜人的、芳香的
funk|n. [C, usually sing.] [美] 强烈而难闻的气味
nose|n. [sing.] 指葡萄酒典型的（或特有的）气味
odorous|adj. [文学或术语] 有气味的
odour|n. [C, U] [正式] 气味，尤指难闻的气味
odour|n. [C, U] [正式] 难闻的气味
perfume|n. [C, U] 一种令人愉悦的芳香气味，相当于scent
rank|adj. 气味非常难闻的
redolent|adj. [名词前不可用] [文学] ~ of/with sth 有…的强烈气味的、使人联想起…气味的
ripe|adj. 指气味强烈且难闻的
savour|n. [usually sing.] [正式或文学]（尤指美好的）气味
scent|n. [U, C, usually sing.] 人或动物留下的气味、臭迹（狗能跟随这种气味来寻找人和动物）
scent|n. [U, C] 某事物的香味
scent|vt. [常用被动式] ~ sth (with sth) 使某事物具有某种香味
scented|adj. 有强烈香味的（可以是自然的香味，也可以是香水的香味）
sharp|adj.（气味）强烈且略苦的，刺鼻的，常常很鲜明
smell|vi. 1 smell (of sth) 有某一气味
sniff|vt.＆vi. sniff (at) (sth) 将空气吸入鼻子以为了发现或享受某事物的气味，即闻，嗅，相当于smell，二者在词义上未见明显区别，只是smell仅为及物动词
snuff|vt.&vi.（动物）出生地嗅
stench|n. [sing.] 强烈的、非常难闻的气味
stink|n. [C, usually sing.] [非正式] 难闻的气味
strong|adj. 指气味强烈的，易于被感知的
subtle|adj.（气味）淡淡的
sweet|adj.（气味）芳香宜人的，相当于fragrant。是一个形象化用法
sweetness|n. [U] 气味芬芳
whiff|n. [usually sing.] ~ (of sth) 气味，通常指短时间的一股气味
whiff|vi. [英，非正式] 有臭味、发臭
