ash|n. [U] 梣木
bone|adj.（工具或装饰品）由骨头制成的，或骨质的
box|n. [U] 也可用boxwood，指黄杨木
cane|n. [U] 用于制作家具等的竹竿、藤条
cherry|n. [U]（也可用cherrywood）樱桃木
crystal|n. [U] 高质量的玻璃，如水晶玻璃
glass|n. [U] 玻璃
in|prep. 用于表明使用的材料等
log|n. [C] 从树上切下（或从树上落下）的一大块木头，可称为原木
lumber|n. [U] [尤美；英式尤用timber] 建筑等用的木材、木料（是已经制备好，等待使用的木头）
maple|n. [U] 枫木
material|n. [C, U]（用于制作…的）材料，即原料
membrane|n. [C, U]（可起防水、防风等作用的）膜材料
metal|n. [C, U] 金属
pane|n. [C]（窗户或门上的）一片玻璃
paste|n. [U] 用于制作人造宝石（如钻石）的铅质玻璃
pine|n. [U] 松木
plastic|n. [U, C, usually pl.] 塑料
porcelain|n. [U] 瓷
repellent|n. [U, C]（用于织物、石料等的）防水剂
rubber|n. [U] 橡胶
stone|n. 1 [U] 常用于名词前或构成复合词，指石头；石料（常用于建筑领域）；岩石
timber|n. 1 [U]（用于建筑或制作家具等物品的）树木、林木
walnut|n. [U] 核桃树（或胡桃树）的木头，即核桃木，胡桃木
wood|n. [U, C] 木头、（建筑等用的）木材、（做燃料的）木柴
