access|vt. 访问或存取计算机文件（即打开一份计算机文件以获取或添加信息）
account|n. [C] 互联网、电子邮件等的账户、账号
address|n. [C] 用计算机查找信息时所使用的一个地址（是一串文字和符号，如互联网地址）
alias|n. [C] [计算机术语]（文件、互联网地址等用的）别名，假名字
application|n. [C] 缩写为app，执行某一任务的一个程序，可称为应用程序；或一个软件，可称为应用软件
architecture|n. [C, U] 计算机系统的结构、层次
array|n. [C] [计算机] 在计算机中组织或储存相关数据的一种方式，即数组、阵列
at|prep. 可用于电子邮件地址中的符号@
attachment|n. [C] [计算机]（用电子邮件发送的）附件
bit|n. [C] 计算机所使用的最小信息单位，即比特，位，二进制位
blog|n. [C] 个人写的网络日志，也可叫博客
boot|vt.＆vi. boot (sth) (up) 计算机技术中可指装载操作系统（以准备使用计算机）；计算机以此种方式而被装入操作系统（以做好使用前的准备）
bounce|vt.＆vi. bounce (sth) (back) 电子邮件被系统退回（因系统无法投递）
browser|n. [C] [计算机]（尤指用来在互联网上搜索信息的）浏览器
buffer|n. [C] [计算机] 缓存区；缓冲存储区；缓冲存储器
buffer|vt.（计算机）缓冲存储、缓存
bug|n. [C]（机器，尤指计算机程序的）错误、漏洞
burn|vt. 刻录光盘等
bus|n. [C] 计算机系统的总线
cache|n. [C] [计算机术语] 高速缓冲存储器
cache|vt. 把数据存入高速缓冲存储器
capture|vt. 把…输入计算机，使其可以被计算机利用，即（计算机）采集信息
card|n. 1 [C] 带有信息（尤指有关某人的身份信息）的一张小卡片（可以为纸质，也可以是塑料的）
cell|n. [C] 电子表格的单元格
character|n. [C]（计算机上的）字符，字母，符号，标记
chat|vi. 在互联网上（尤指在网上聊天室中）与某人交谈或聊天
cheat|n. [C] [尤英；美尤用cheater] 电脑游戏中的作弊软件，或欺骗性程序、秘技，即不需要亲自玩游戏即可立即跳到游戏的下一步
chip|n. [C] 芯片。相当于microchip
click|vt.＆vi. [非正式] click (on sth)（在计算机屏幕上用鼠标）点击
client|n. [C] [计算机]（连接在服务器上的）客户机
clone|vt. 非法复制（别人的信用卡或手机的存储信息，从而使卡主或机主付费）
code|n. [U] [计算机] 编码
code|vt. [计算机] 编程序、编码
command|n. [C] 向计算机发出的指令，命令。其直接发出者可以是人
compress|vt. [计算机] 压缩文件等
computer|n. [C] 计算机，电脑
computing|n. [U] 计算机操作；计算机应用；用计算机进行的计算、处理
connect|vt.＆vi. connect (sb) (to sth) 将一台计算机连接到互联网（或一个计算机网络）中
connection|n. 1 [U, C] connection (to sth)（行为意义上的）连接；（状态意义上的）处于被连接的状态
content|n. [U] 网站或只读光盘上的信息或其他材料，即内容，目录
control|n. [U] 也可用单数的control key，键盘上的控制键
cookie|n. [C] 对用户的上网信息进行记录的一种本地终端小型文本程序（该程序能使用户再次登录某网站时，其相关信息能够被自动识别出来）
corrupt|adj.（计算机的运行过程）已瘫痪的，有缺陷的，不在最初状态的
crash|n. [C] 计算机技术中可指一个机器或系统（尤指一台计算机或一个计算机系统）突然崩溃
crunch|vt. [计算机] 用计算机或计算器（快速大量地）处理数据
cursor|n. [C]（计算机屏幕上的）光标
cut|vt.＆vi. 对文档等进行剪切
data|n. [U] 存储在计算机中的数据信息
database|n. [C] [计算机] （储存在计算机中的）数据库、资料库
database|n. [C]（储存在计算机中并可以调用的）数据库
debug|vt. [计算机] 修复错误程序
delete|vt. delete sth (from sth) 删除（电脑中的内容）。一般仅指删除文件（不太用于表示清除痕迹），且被delete的文件有时只是被挪到了回收站中
density|n. [U] [计算机] 磁盘上可用于存储数据的空间，也可称为密度
digital|adj. 1 利用数字技术来实现拍摄、通信等用途的，即数字的，数码的
directory|n. [C]（计算机磁盘中文件或程序的）目录
disc|n. [C] [英] 计算机磁盘
display|n. [C] 计算机显示器
display|vt. ~ sth (to sb)（计算机等）显示信息
dock|vt. [计算机] 将电脑连接到扩展坞
document|n. [C] 含有文本的计算机文档。在含义上隶属于file
domain|n. [C] [计算机] 互联网上的域（是一套网址，可以表明一个网址所属的类别或地理范围，以相同字母结尾的网址属于同一个域，如.com、.org等）
dot|n. [C] 计算机中的点（用以分隔域名、电子邮件地址等的各部分）
down|adj. 不用于名词前，（一部计算机或一个计算机系统）停止运行
download|n. [sing.] 已下载的数据资料
download|vt. 下载
drag|vt. 用鼠标在屏幕上拖拽文本、图标等
drive|n. [C] 计算机驱动器
driver|n. [C] 驱动程序，例如打印机的驱动程序
dump|vt. [计算机] 转存（信息或数据）（即将信息或数据存到别的地方）
editor|n. [C] 用于编辑（被存储的文本或数据）的工具，即编辑程序
email|n. 1 [U]（正式写法为electronic mail）通过计算机网络给别人发送消息的一种通信方式，即电子邮件
email|vt.＆vi. email sth (to sb) 给…发电子邮件
emulate|vt. [计算机]（计算机程序等）模仿另一台计算机，或与另一台计算机执行相同的任务
entry|n. 1 [C]（计算机文档的）条目
environment|n. [sing.] 计算机的运行环境或工作平台。涉及到与某种操作有关的系统中的所有因素，其含义已将platform涵盖，可以说platform只是environment的一部分
escape|n. [U] 退出键，即Esc键。也可表示为escape key，但此时是可数名词
exit|n. [sing.] 退出键
exit|vt.＆vi. 退出计算机程序。是此义的常规用词，最为常用
export|vt. 将数据输出、调出或导出
extension|n. [C] 构成文件名的扩展名（位于点符号后面，为连用的三个字母，表明文件类型，如.doc中的doc，或.txt中的txt）
field|n. [C] 数据的一个字段，或栏
file|n. [C]（存储在计算机上的）文件或文件夹。包含了各种类型（如文字、视频、音频、图片、程序等）的文件
file|vt. 在计算机中把文件等归档
filter|n. [C] [计算机] 过滤程序（能够过滤掉某种电子信息、电子邮件等）
filter|vt. 用一个特殊的计算机程序来过滤（发送到你计算机上的电子邮件或网站的内容）
flame|n. [C] [非正式] 火药味的电子邮件（或互联网信息）
flame|vt. [非正式] 通过互联网（如电子邮件）向某人发送愤怒或侮辱性的消息
flash|n. [U] 为网站制作动画的Flash程序
