ace|n. [C]（在网球运动中，对手接不到发球的）发球得分，即爱司球
advantage|n. [C] 网球运动中可指40-40以后所得的第一分，即（局末平分后的）占先
all|adv. 体育运动或比赛、游戏中可指各方，每方
alley|n. [C] [美]（网球或羽毛球四人双打时）球场两侧额外添加的一对平行线（以标记增加的区域），相当于英式非正式的tramlines
amble|vi. 缓慢而轻松地行走，即漫步
area|n. [sing.] [英] the area可指足球中球门前的罚球区或禁区，相当于penalty area
arena|n. [C] 圆形运动场
assist|n. [C]（曲棍球、棒球等运动中的）助攻
athlete|n. 1 [C] 运动员
athletic|adj. 与运动员或田径相关的，即运动的，田径运动的，运动员的
athletics|n. 1 [U] [英] [美用track and field] 田径运动
attack|n. [C, U] 足球等体育运动中，指队员的进攻
attack|n. [C] [英] 在体育运动中，可表示进攻得分型队员（美式英语用offense）
attack|vt.＆vi. 在体育运动中发起进攻以破门或得分
award|vt. 将分数判给运动员或运动队
away|adv.（体育比赛）在客场（即在对手的场地进行）
back|n. [C] 后卫运动员（或后卫球员）
back|vt.（在比赛中）下赌注于某个人、某支队伍或某匹马等（即以金钱做赌注来赌其赢得比赛）
backstroke|n. 1 [U] 仰泳
badminton|n. [U] 羽毛球运动
bag|vt. [非正式] 体育运动中可指进球或得分等
bail|n. [C, usually pl.]（在板球运动中）三柱门上的横木
bait|n. [U, C] 网上或陷阱里的用于捕捉动物或鸟类的诱饵
ball|n. 1 [C] 体育运动或游戏中所用的圆形或椭圆形的球
balloon|vi. 常用go ballooning，乘热气球飞行（作为一项运动）
bar|n. [C] the bar在体育运动中为单数名词，可指球门的横梁
base|n. [C] 棒球或垒球中的一个垒
baseball|n. 1 [U] 棒球运动
basket|n. [C] 投篮所得到的一分
basket|n. [C]（篮球运动中的）球篮
basketball|n. 1 [U] 篮球运动
bat|n. [C] 棒球、板球或乒乓球等的球棒、球板、球拍
bat|vt.＆vi.（尤指在板球或棒球运动中）用球板或球棒击球
bath|n. [pl.] [旧时，英] baths可表示公共游泳池（是一种公共建筑）
bathe|vi. [旧时]（到海、河等水体中）享受游泳
baton|n. [C] 接力赛的接力棒
batsman|n. [C] 板球的击球手
batter|n. [C] [美]（棒球运动中）正在击球的球员，即击球员
beam|n. [C] [尤英] [美式英语通常用balance beam] 体操运动中的平衡木
bench|n. [sing.] the bench 在体育运动中可指当运动员休息时（此刻未进行比赛）所坐的一些座位，可称为运动员休息区
binding|n. [C]（滑雪板的）滑雪鞋固定装置
blade|n. [C] 溜冰鞋的冰刀
block|n. [C] 体育运动中可指阻止另一运动员前进的举动，即拦截、阻挡
block|n. [C] 体育运动中的起跑器
blue|n. [C] [英] 为牛津大学或剑桥大学参加某项体育比赛的一个人；还可指给予该运动员的头衔
board|n. 趴着进行冲浪的冲浪板
bomb|n. [C] 美式英语可指美式足球的长传
book|vt. 在英国的非正式用法中可指裁判将犯规运动员进行记名警告
booking|n. [C] [英]（足球运动中）（对犯规者的）记名警告
bout|n. [C] 拳击（或摔跤）比赛
bowl|n. 1 [C] 草地滚球游戏和保龄球运动中所用的一个沉重的木球
bowl|n. [C] [美] 构成名词，美式足球中可指在主要赛季之后，强队间所进行的一场比赛，可称为强队季后赛
bowl|vt. bowl sb (out) 板球运动中可指通过击中三柱门而把击球员杀出局
bowl|vt.＆vi. 1（草地滚球游戏和保龄球运动中）滚球，投球（让球滚动）
bowler|n. 1 [C] 板球的投球手
bowling|n. 1 [U] 保龄球运动
box|n. [C] [英] 体育运动（尤指板球）中用于保护性器官的一块塑料，即下体护身
box|n. [C] 体育运动中，运动场上以线标出的具有某一目的的区域
box|vt.＆vi.（在拳击运动中）击打某人
boxing|n. [U] 拳击运动
break|n. 1 [C] 也可用break of serve，网球运动中可指接发球得分
breast|vt. [正式] 登上山等的顶部
breaststroke|n. [U, sing.] 蛙泳
butterfly|n. [U] 蝶泳
bye|n. [C] 体育比赛中可指（选手或队伍在某轮比赛中）轮空（即参赛者因没有分配到对手而直接进入下一轮比赛）
call|n. [C] 网球运动中裁判员的判决
camp|n. [C] 比赛中的一方及其支持者，即阵营
canoeing|n. [U] 皮划艇运动或比赛
cap|n. [C] [英] 体育运动中可指（校队、国家队等的）队员帽；还可指被选入国家队并代表国家进行比赛的运动员
cap|vt. [英] 常用被动式，（为某一体育比赛）将某人选入国家队
captain|n. [C] 一群人中的领导者，尤指一支体育运动队的队长
card|n. [C]（某届赛马大会的）全部赛事一览表
century|n. [C] 板球运动中可指一个运动员所获得的100分
championship|n. [C]（也可以复数形式的championships）体育运动中的锦标赛
chase|n. [C] 越野赛马、障碍赛马，相当于steeplechase
chase|n. [C] 越野障碍赛，相当于steeplechase
chase|n. [sing.] the chase可指打猎运动
chip|n. [C]（也可用chip shot）（在高尔夫球、足球等运动中的）击打（或踢）高球的行为；（高尔夫球的）近穴球
circuit|n. [C] 体育运动中的巡回赛。是此义的常规用词
circuit|n. [C] 环形赛车道
circus|n. [C]（古罗马）露天圆形竞技场（用于举办公共赛事）
clash|n. [C]（用于报章中有关体育运动的报道）两队或两人的交锋
clash|vi. ~ (with sb) 体育用语中尤用来指热情高涨的比赛双方交锋、厮杀
clay|n. [U] 红土网球场；沙地网球场
clear|vt.＆vi.（在足球及其他一些体育运动中）将球击离己方球门区；球滚离己方球门区
clearance|n. [C]（足球及其他一些体育运动中的）解围
climb|vi. go climbing 可指将登山或攀岩作为爱好或一项运动
clinic|n. [C]专业人士（尤指运动员）举办的培训班
clock|vt.（尤指在速度比赛中）达到某一时间或速度
club|n. 1 [C] 尤用于构成复合词，指为某项体育运动等而定期聚集的一群人，可称为俱乐部
club|n. [C] 高尔夫球杆，相当于golf club。是一种统称
coach|n. [C] 体育运动的教练员
coach|vt. coach sb (in/for sth) 训练某人进行一项体育运动。不常用
compete|vi. compete (in sth) (against sb) 参加体育比赛
competition|n. [C] 体育比赛，竞赛
concede|vt.（在体育运动中）未能阻止（对方进球或得分）
conference|n. [C] 尤用于北美英语，指在同一个联盟内，彼此之间进行比赛的一组体育运动队
conversion|n. [C]（在橄榄球和美式足球中）（持球触地或持球越过对方球门线后的）附加得分
convert|vt. 在橄榄球和美式足球中，（在持球触地或持球越过对方球门线得分后）获得附加分
corner|n. [C] 在拳击和摔跤运动中可指场地的四个角之一（即场角）；还可指场角处的辅助人员
corner|n. [C] 在足球、曲棍球等体育项目中，可指在对手的场地尽头处所踢出或开出的角球
counter-attack|n. [C]（体育运动中的）反攻、反击
course|n. 1 [C] 高尔夫球场
court|n. [C] 体育运动中可指篮球、网球、羽毛球、壁球等的球场
crawl|n. [sing, U]（通常用the crawl）自由泳
crease|n. [C]（板球运动中）（投球手和击球手的）位置线，区域线，击球线
crest|vt. [正式] 达到山顶
crew|n. 1 [U] [美]（与其他人在一艘船上所进行的）赛艇运动
cricket|n. [U] 板球运动
cross|n. [C] 体育运动中，可指足球和曲棍球中的横传
crunch|n. [C, usually sing.] 仰卧起坐。相当于sit-up
cue|n. [C] 台球等的球杆
cup|n. [C] [美] 从事体育运动时，用于保护男子生殖器官的一个塑料保护罩
cup|n. [C] [美] 高尔夫球运动中的球洞
cup|n. [sing.] 常用Cup，指以奖杯作为一种荣誉象征的一种体育比赛
curve|n. [C] [美]（也可用curve ball）（在棒球运动中表示投向击球员的）曲线球
cushion|n. [C] 在台球等运动中，可指台球桌内侧边缘的弹性衬里（可使球弹回）
dash|n. [C, usually sing.] [尤美] 短距离快速赛跑，相当于sprint
dead|adj. 体育运动中可指界外的
decoy|n. [C]（诱捕鸟兽的）动物、假兽、假鸟
deep|adj. 体育运动中可指靠近对方端线的；或靠近外场线的
defend|vt. 参加比赛或竞争等以保住头衔、席位等
defend|vt.＆vi. 在体育运动中防守，与attack反义
defender|n. [C]（足球、曲棍球等运动中的）后卫队员、防守队员
defensive|adj. [体育] 防守的
deficit|n. [C] 落后的分数
delivery|n. [C]（尤指板球或棒球运动中）投出的一个球
diamond|n. [C] 棒球运动中的内场，也可指整个棒球场
dip|n. [C] [非正式] 一次短时间的游泳，即游一游，泡一泡
dive|vi. dive (from/off sth) (into sth) / dive (in) 跳水（头和双臂先入水）
dive|vi. 佩戴呼吸设备进行潜水，常用go diving。是此义的常规用词
dive|vi.（足球、曲棍球等运动中遇到阻截时）故意跌到，假摔
diving|n. [U]（在水下戴着特别呼吸装备的）潜水
diving|n. [U]（头部和胳膊先入水的）跳水；跳水运动
division|n. [C] 在英国可指体育比赛（尤指足球比赛）所划分出的一个组别，即级
dog|n. [pl.] [英，非正式] 狗参加的速度比赛
dominate|vt. [体育] 在比赛中占据主导优势
double|n. [U] doubles可指体育运动中的双打（尤指网球双打）
double|vi. 棒球中可指把球击得足够远从而可以使你到达第二个垒，即以二垒打使…上二垒，或击出二垒安打
down|n. [C] 美式足球运动中可指10码进攻（球队可向前推进10码持球进攻的四次机会。若在进攻中失球或未能前进10码即不能继续此行为。）
draft|n. [sing.] [美] 某些职业运动队每年在大学生中选拔新队员的体制
draw|n. 1 [C] [英]（由抽签决定对手的）体育比赛
draw|vt.＆vi. 通过偶然拾取卡片、票或数字来进行选择，即抽签、抽牌、抓阄等
dribble|vt.&vi.（在足球等体育运动中）运球、带球、盘球
drive|vt.＆vi. 在体育运动中可指用力猛抽或猛击球，将球打入前方
driver|n. [C] 高尔夫球运动中的球杆。专指1号长木杆，用于大力击出长距离的球。球手一般不自备这种杆
duck|n. [sing.] a duck 在体育运动中可指板球的零分
duck|vt.＆vi. 潜入或扎进水中短暂地呆一会儿
eagle|n. [C] 高尔夫球中的鹰击，即比标准杆少打两杆
encounter|n. [C] 与某个特定的运动员或队伍进行的体育比赛、交锋
end|n. [C] 半边运动场
event|n. [C]（体育运动的）体育赛事；比赛项目
exercise|n. 1 [U] 为保持健康或保持强健的状态所做的身体或脑力锻炼，即运动，活动
facility|n. [尤美] 有特定用途的体育场所（常包括建筑物）
fault|n. [C] 网球中的一次发球失误
fence|n. [C]（障碍赛马中的）障碍物
fence|vi. 参加击剑运动
field|n. 1 [sing.] 板球和棒球运动中，可指接球而非击球的一队，即守队
field|n. [C] 常构成复合词，在体育运动中可指运动场（英国表示运动场时也可用pitch）。通常表示田赛的运动场地，但也可表示径赛的运动场地
field|vi. 在板球或棒球运动中，指担任守队或守队队员（负责接球并在某人击球后将其掷回）
field|vt. 在板球或棒球运动中，亦可指接球并将其掷回
field|vt. 让一个候选人、团队等代表你去参加一场比赛
fight|n. [sing.] 新闻用语中可表示体育比赛，即角逐
fight|vt.＆vi. fight sb/sth (for sth) 参加体育竞赛
figure|n. [C] 冰上表演的一系列动作或花样
final|n. [C]（一系列比赛的）决赛
finish|vi.（速度比赛或其他比赛结束时）获得某个名次
fixture|n. [C] [英]（定期定点举行的）体育活动，体育节
flag|n. [C] 体育运动中的信号旗或标志旗
flat|n. [sing.] [英] the flat或the Flat可指无障碍平地赛马季
flight|vt. [英] 常用被动式，在体育运动中可指熟练地踢、击、投掷球或镖等，使其飞向目标
float|n. [C] 学游泳用的一个轻质漂浮物（如救生圈或浮板）
floor|vt. 常用被动式，（尤指体育运动中）击倒某人
fly|vt.＆vi. 棒球中可指将球击入空中
foil|n. [C]（击剑运动用的）花剑（一种又长又细又轻的剑）
football|n. 1 [U] [英，其在英国英语中的正式用法为Association Football；英美还可用soccer] 足球运动
footballer|n. [C] [英] 踢足球的人，尤指职业足球运动员
forward|n. [C]（篮球、足球、曲棍球等运动的）前锋队员
foul|vt. 在体育运动中对对手犯规
foul|vt.&vi. 棒球运动中可指击球出界
frame|n. [C]（斯诺克、保龄球等运动中的）一轮、一回、一局
freestyle|n. 1 [U] 自由式游泳比赛（泳式不限，参加者常选择爬泳）
friendly|n. [C] [英] 英也可用friendly match，（足球等的）友谊赛（是一场不重要的比赛）
gala|n. [C] [英] 体育运动会，尤指游泳比赛
game|n. 1 [C]（有规则的）运动或比赛项目
game|n. [C] 体育比赛（如网球比赛）的一局，一场等
game|n. [U] 人所猎杀的野生鸟兽，即猎物
gate|n. 1 [C] 出席体育比赛的观众人数
give|vt. 在体育运动中可指裁定或判定（球员或球所处的位置）
goal|n. [C] 体育比赛中（如足球、曲棍球等）的进球
goal|n. [C] 体育运动（如足球、曲棍球等）的球门
goalkeeper|n. [C]（足球、曲棍球等运动项目的）守门员
golf|n. [U] 高尔夫球运动
golfer|n. [C] 打高尔夫球的人；高尔夫球运动员
green|n. [C] 高尔夫球场中靠近球洞的修剪得平整的区域，即果岭
grid|n. [C] 汽车比赛中的起跑线
ground|n. [C] [英] 常构成复合词，指用于某项体育运动的场地。与field在词义上几无区别，但ground为英式用法
guard|n. 1 [C] 篮球中的一名后卫运动员
guard|n. [U] 防御姿势，尤指在拳击或击剑等运动中摆出的防御姿势
gun|n. [C] the gun可表示发令枪声，不过此时为单数名词，作为一种速度比赛开始的信号
gym|n. [C] [非正式] 健身俱乐部
gym|n. [C] [非正式；正式为gymnasium]（例如学校的）室内体育馆或健身房
gym|n. [U] [非正式] 尤指在学校的室内体育馆里所从事的体育活动
gymnasium|n. [C] [正式] 室内体育馆或健身房
gymnast|n. [C] 体操运动员
gymnastics|n. [U] 体操（主要培养力量、协调性、弯曲能力和灵活移动的能力等）
hack|vt. 放开大脚猛踢
half|n. [C]（体育比赛的）半场或半局
half|n. [C]（足球、曲棍球、橄榄球的）前卫；（美式足球的）前卫；前卫的位置（如中场）
hammer|n. 1 [C] 体育运动中的链球
hammer|vt. [非正式] 非常猛烈地踢球或击球
handicap|n. [C] [体育] 让步赛（使参赛者中的优势方需要跑更远的距离、增加负重等）；（让步赛中给优势方施加的）障碍，不利条件
handicap|n. [C]（高尔夫球运动中）给弱者增加的杆数（按击球次数计数，并随参赛者的进步而减少）
