antique|n. [C] 古董，文物
antiquity|n. [C, usually pl.] 古籍；古建筑；古董
arch|n. [C] 上部是弧形，两边是直线的一种纪念碑
archaeologist|n. [C]（美式英语也用archeologist）考古学家
brass|n. [C] [尤英] 黄铜纪念牌（钉在教堂的地上或墙上以纪念死者，上面刻有文字或雕像）
civilization|n. 1 [U] 文明
dig|n. [C] 一群有组织的人所进行的地下考古挖掘，相当于excavation
excavate|vt. 发掘、挖出古代的建筑或物品
excavation|n. 1 [C, U]（对长期埋在地下的古代建筑或物品的）挖掘
historian|n. [C] 历史学家；史学工作者
history|n. 1 [U] 发生在过去的事件，即历史
memorial|n. 1 [C] 纪念著名的历史事件或已故去的著名人物的雕像或石碑，即纪念碑，纪念雕像。与monument有很大一部分交集，在交集部分未见明显差别
monument|n. 1 [C] monument (to sb/sth) 纪念某个著名的人物或历史事件的碑（常是石碑）、建筑物、雕像等。是一个广义用词
museum|n. [C] 博物馆
page|n. [C] [文学] 一个重要的历史事件或历史时期，可叫做历史篇章
pillar|n. [C] 用作纪念著名的人或事物的大型圆柱子（可以是石头、金属或木质的）
plaque|n. [C] 纪念性的匾额（如木质或金属等材质的，通常带有名字和日期的，挂在墙上的，用于纪念一个人或一件事）
pyramid|n. [C] 金字塔
stone|n. [C] 石碑。是一个简单用词
tablet|n. [C] 在纸张发明出以前，用于铭刻文字的黏土制成或石头制成的碑，匾；现尤用于指固定在墙上用以纪念重要的人或事件的一块碑，匾，牌
uncover|vt. 发现、发掘（长久埋藏于地下的事物或地方）
unearth|vt. 通过在地下挖掘来寻找某事物
