affair|n. [C] [旧时] 与形容词连用，一个不寻常或难以描述的物品
angel|n. 1 [C] 非常善良的人；行为非常好的小孩
animal|n. [C] 某类人、事物、机构等
aperture|n. [C] [正式] 小孔、小缝隙
arch|n. [C] 任何顶部是弧形的事物（如拱门、拱桥等）
article|n. [C] [正式] 物品（尤指整套物品中的一件）
baby|n. [C] [贬] 行为像孩子一样且易于烦恼的一个人，即幼稚的人，孩子气的人
ball|n. [C] 球状物
band|n. [C] 带状物（如颜色带、光带、土地带、衣服等事物上的条纹等）
bar|n. 1 [C]（如巧克力、肥皂等的）长方形的条，块
bead|n. [C]（可串在一起作为首饰等的）珠子
beast|n. 1 [C] [非正式，常幽默] 令人讨厌的事物
beast|n. 1 [C] 性情凶残、行为粗暴而不受控制的人
belongings|n. [pl.] 你所拥有的、可被移动的东西（例如并非土地或建筑物），即动产，财物，相当于possessions
belt|n. [C] 皮革、布料等制成的束在腰间的一条窄的长带子，即腰带
binding|n. [U, C] 捆绑物；包扎物（如绳子、布条、带子等）
bird|n. [C] [非正式] 某类人，尤指古怪或不寻常的人
block|n. 1 [C] 一个矩形或方形的大块固体材料，各侧面通常平整
bloke|n. [英，非正式] 男人、家伙
blonde|n. [C] 金发女郎
board|n. 1 [C, U] 有某种用途的，矩形的扁平木板或塑料板
body|n. [C] [正式] 物体
body|n. [C] 一群人
bombshell|n. [usually sing.] [非正式] a blond(e) bombshell 金发美女
bore|n. 1 [C]（美式也尤用gauge）管道（如枪炮）的中空的孔
bow|n. [C] 蝴蝶结
brass|n. [U] 黄铜制品
breach|n. [C] 军事袭击、强风、海浪等造成的一个突破口、缺口、窟窿
bulb|n. [C] 球茎状物（如温度计的球部）
cable|n. [U, C]（由金属丝搅成的粗且结实的）缆绳、钢索（用于系船、支撑桥梁等）
cane|n. 1 [U] 用于制作家具等的竹竿、藤条
cane|n. [C] 用于辅助行走的手杖，如竹杖、藤杖
case|n. [C] 需要（或被认为需要）特殊对待或注意的人，常是处于不好的状况中的人
cavity|n. [C] 实心事物的洞、窟窿、腔
chain|n. 1 [C, U]（用于拉拽或系扎…的）一系列相连接的金属环，即金属链子；还可指用于某一目的的一段金属链条
chasm|n. [C] [文学]（地上、石头上、冰上的）深裂口、深坑
child|n. 1 [C] 深受某一时期（或某个人）的思想和态度影响的一个人
chimney|n. [C] [术语]（岩石间可供攀登的）狭孔，狭缝
chip|n. [C] 木头、玻璃等破碎处所形成的一个缺口、豁口、破损处
chunk|n. [C] 被切割或掉落的厚块
circle|n. [C] 圆形物；或由一群人（或事物）构成的环状
cleft|n. [C] 天然的裂口或裂隙（例如地上、岩石上裂口或裂隙）
coating|n. [C] 表面上的薄的覆盖层、涂层
column|n. [C] 圆柱形物
commodity|n. [C] 有用的东西、有使用价值的东西
companion|n. [C] 成对的物品之一；或被共同使用的两个物品之一
company|n. [U] 在一起的一群人，是一种正式用法
cookie|n. [C] [美，非正式] smart/tough cookie 精明的人；强硬的人
cord|n. [U, C] 结实的粗线；细绳子；一根粗线或细绳
cove|n. [C] [旧时，英，非正式] 男人，即家伙、汉子
crack|n. 1 [C] ~ (in sth) 某事物表面的裂纹、裂缝
crater|n. 1 [C] 火山口
