altar|n. [C]（教堂、庙宇的）圣坛，祭坛，祭台
angel|n. [C]（有白翅膀的）天使
archbishop|n. [C]（天主教、东正教和英国国教的）（尤指一个国家或一个广大地区的）最高级别的主教，即大主教、总主教
ascend|vt.&vi. [正式] ~ (to sth)（在某些宗教中指灵魂）升天，进入天堂
ascent|n. [sing.]（某些宗教中的）升天
atheist|n. [C] 无神论者
bead|n. [pl.] beads可指（天主教徒念经时用的）念珠
belief|n. [C, usually pl.] beliefs 可表示宗教信仰
believe|vi. 有宗教信仰
believer|n. [C] 宗教信徒
bible|n. 1 [sing.] the Bible可指基督教的《圣经》（包括《旧约》和《新约》）
bishop|n. [C]（天主教、英国圣公会、东正教的）主教（负责一个城市或区域内的教务）
bless|vt. [正式] 称颂上帝，或赞美上帝
bless|vt. 求上帝保护…或求其赐予恩惠（以表示爱护、谢意或良好的祝愿）
bless|vt. 通过对某物说或祈祷而让该物变得神圣，即祝圣
blessing|n. [usually sing.] 对上帝之恩宠的祈求
brother|n. [C] 也可用Brother，指一个宗教团体的男性成员，尤指修士
buddhism|n. [U] 佛教
buddhist|adj. 佛教的；佛的
buddhist|n. [C] 佛教徒、佛门弟子
canon|n. [C]（主教座堂的）咏礼司铎
cardinal|n. [C] 罗马天主教的最高级别的教士，即枢机主教、红衣主教
cathedral|n. [C] 一个地区有主教的大教堂，即主教座堂、教区总教堂
catholic|adj. 1 天主教的
catholicism|n. [U] 天主教；天主教义
celebrate|vt. 主持宗教仪式（尤指圣餐）
cell|n. [C] 修道士或修女住的，没有多少家具的一个小房间
chant|n. [C, U]（用少量的音符重复多次地唱或吟诵的）宗教歌曲或祷文；或（以此方式进行的）单调吟唱
chapel|n. 1 [C]（学校、监狱、私人宅院等基督教徒礼拜用的）小教堂
chapter|n. [C] 天主教堂的全体教士；宗教团体的全体成员
choir|n. [C] 教堂中唱诗班演唱时所坐的地方，即唱经楼或唱诗席
christening|n. [C] 基督教的洗礼仪式（表示正式接纳新教徒，并为之命名）
christian|adj. 与基督教徒有关的，即基督教徒的
christian|adj. 基于（或信奉）基督的教诲的，即基督教的，信奉基督教的
christianity|n. [U] 基督教
christmas|n. 1 [U, C]（也可用Christmas Day）圣诞节（12月25日）
church|n. [C] Church 可指基督教的某一教派
church|n. [C]（基督教的）教堂
church|n. [U]（基督教的）礼拜或礼拜仪式
church|n. [sing.] (the) Church 可指基督教牧师
church|n. [sing.] (the) Church 基督教机构
close|n. [U] 一座天主教教堂所属的周围场地及建筑物
cloth|n. [sing.] [文学] the cloth可用于统称基督教的牧师（或神父）群体
communion|n. [C] [术语] 拥有相同宗教信仰的一群人，如教派、宗教团体
communion|n. [U]（也可用Communion, Holy Communion）（基督教教会的）圣餐仪式，领受圣体
