abandon|n. [U] [正式] 某人的一种放纵或放任的行为方式（不考虑别人对此的看法）
absolute|adj. 不受限制的，不受约束的
absolute|adj. 独立存在的或独立被衡量的（与其它事物没有关系的）
accuracy|n. [U] 准确、精确或正确（是一种状态）；熟练地做某事而不出差错的能力（如准确、精确或正确的程度）
accurate|adj. 1（信息、测量、数据或仪器等）能提供精确信息的，即精确的，准确的
allowance|n. [C] 在某一情况下对某一事物的限额、限量
ambiguity|n. 1 [U]（含义上的）歧义
ambiguous|adj. 1（事物）可用不同的方式来理解的（其理解方式多于一种）；有不同意思的。如模棱两可的，含混不清的
automatic|adj.（机器、装置等）自动的，无需人工操作的
autonomous|adj.（一个人）能够不需要别人的帮助而自己做事情或做决定的，即自主的
autonomy|n. 1 [U]（一个国家、地区或组织机构的）自治；自治权；自主权
bang|adv. [非正式，尤英] 正好、恰好
bind|vt. ~ sb (to sth)（通过让某人发誓，或将某项职责赋予此人来）约束（其去做某事）
binding|adj. ~ (on/upon sb)（承诺、协议、决议等）有法律约束力的、必须遵守的
blur|n. [usually sing.] 看不清的形状，即模糊形状（有时由于移动太快而造成此情况）
bond|n. [C] 复数形式bonds为正式用法，可指对人的内心或行动的自由造成羁绊的桎梏
borderline|adj.（表示所属关系的界限）不清晰的；（对于某个群体来说）勉强可以的、刚刚够格的
bound|adj. bound (by sth) / bound (by sth) (to do sth) 不用于名词前，受法律、义务或情况约束而被迫去做某事（如必须或有义务去做某事）
broad|adj. 只作前置定语，指概括的，笼统的，广义的，不具体的
captive|adj. 1 被作为犯人或俘虏来监禁的、被关押的；（动物）被关在一个封闭空间的
chain|n. [C, usually pl.] [正式或文学] 对某人的自由（或其做某事的能力）起限制作用的事物，即约束，桎梏，限制等
circumscribe|vt. [常用被动式] [正式] 限制、约束（自由、权利、权力等）
clarity|n. [U]（书、论点等的表述）清楚、清晰、明确
cloud|vt.＆vi. 玻璃、水等变得较不透明，即模糊；或使玻璃、水等变得模糊
concrete|adj. 基于事实的（而非基于想象或猜测的）；明确具体的
