above|adv. 上文或前文
abstract|n. [C]（文献等的）摘要，概要。其核心含义是“把复杂的论证或研究作一番简述”，常见于学术性引述和法律方面的引述。在广义上，abstract是一种summary。但summary可置于一篇文章的开头或结尾，而abstract只能置于文章的开头（即标题之下，正文之前）。且abstract更强调论述研究的过程，而summary更强调给出研究的结果
abstract|vt. [术语] 写出（书等的）摘要
abstract|vt. abstract sth (from sth) 把论点提取出来
accent|n. [C, U]（某人的带有地域或阶级等特色的）口音
accent|n. [C] 重音，相当于stress。与stress的可数名词词义相比，未见明显差别
accent|n. [C]（标在字母上以表明该字母的发音方式的）符号，即变音符号
across|adv.（纵横字谜谜底）横写的
active|adj. 主动语态的
acute|adj.（标注在元音上的）尖音符号的
adage|n. [C] 谚语、格言
adjective|n. [C] [语法] 形容词
adverb|n. [C] [语法] 副词
affix|n. [C] [语法] 词缀（包括前缀和后缀，例如unhappy中的un-和careless中的-less都是词缀）
after|prep. 写在（页面上某内容的）后面或下面
agent|n. [sing.] 动作的发出者，即施动者
agree|vi. agree (with sth) 在数、性或人称上与一个词或短语一致
agreement|n. [U] agreement (with sth) 单词在数、性、人称方面的一致，与concord近义
aloud|adv.（常指人声）出声地（以使别人能听见）
alphabet|n. [C] 一种语言中用于书写的一套字母，可叫做字母表（在该表中，字母的顺序常是固定的）
aphorism|n. [C] [正式] 简短机智的格言、警句
apostrophe|n. 1 [C] 作为省字符的撇号（如'63表示1963）
appear|vi. 将在某处被写道或被提及
appendix|n. [C] 书籍或文件的附录
article|n. [C] 冠词
articulate|vt.&vi. 口齿清晰地发音
aspect|n. [U, C]（动词的）体（即表示一个动作是发生一次还是发生多次，是已完成还是仍在进行）
aspiration|n. [U] [语音学] 发送气音（例如“house”中“h”的发音方式）
attachment|n. [C] 附属于其它文件的一份文件，即文件的附件
autograph|n. [C]（尤指向名人索要的）亲笔签名
back|adj. 只作前置定语，由舌后发音的
bang|n. [C] [非正式] [计算机] 感叹号，即！
beginning|n. [C]（作品的）开头、开篇
below|prep. 在下文；到下文
bible|n. [C] 某一主题的（经常被人引用的）权威著作
bibliography|n. [C] （参考或引证的）文献目录，参考书目（是将所有参考书目列出来的一种清单）
bilingual|adj. 1 会说两种语言的
binding|n. [C, U] 书的封皮
bold|adj. [术语]（印刷的文字或字符）粗体的；黑体的
borrow|vt.＆vi. borrow (sth) (from sb/sth) 从另一种语言（或另一个人等）借用或引用字词、话语等
brace|n. [C] 大括号，即{}
bracket|n. 1 [usually pl.]（也可用round bracket）[均英] [美式或正式用法为parenthesis] 括号
branch|n. [C] 语言的分支
brief|adj. 使用很少的文字的，即简洁的
brief|n. [C] [英] 某人所得到的一份阐释其工作或职责的指示或说明，如任务简介
briefcase|n. [C] 扁平的公文包（用于携带文件）
broad|adj.（人）口音重的，乡音浓的，让人一听就知道从哪儿来的，相当于strong，但不太如strong常用
broken|adj. 只用于名词前，（非母语）说得缓慢且有很多错误的（如结结巴巴的）；不流利的
capital|n. [C] 大写字母，也可叫capital letter
carve|vt. 在表面上刻写
case|n. [C, U] 语法中的“格”，即一些语言中表示名词、形容词或代词与另一词关系的形式
central|adj. 发音时舌头中央位于口腔高点上的，而非位于前边或后边的，如bird中的[ə:]
certificate|n. [C] 一种正式文件，可被用于证明该文件所陈述的事实是真的，即证书
chapter|n. [C] 一部书的一部分，通常有一个数字或标题，可以叫章，篇或回（缩写为chap.），总之是一种“章节”
character|n. [C]（书写、印刷或计算机上的）字符，字母，符号，标记。是“字符”的基础用词
chunk|n. [C] [语言学] 可以作为一个整体来学习的语言单位，如短语等，即语块
cipher|n. [C] [英] 用在一个设计图案中的某人名字的各部分的首字母（以代表某种含义）
circle|vt. 围绕…画圈或画圆
circumscribe|vt. [术语] 画…的外接圆
citation|n. 1 [C] 从一本书或一篇讲话中摘出的文字或语句，如引文。相当于quotation
cite|vt. [正式] ~ sth (as sth) 提及某事作为原因或例子，或为支持自己的观点
clause|n. [C] [语法] 从句
clear|adj. 语音清晰的（如clear中的[l]，其用于元音前）
close|adj.（元音）闭塞音的（即发音时口形相对闭合的）
cluster|n. [C] [语音学] 辅音丛；辅音连缀
coin|vt. 创造一个新词或短语（后来其他人也开始使用该词或短语）
colon|n. [C] 冒号
comma|n. [C] 逗号
commentary|n. [C] ~ (on sth) 对一部书或一出戏剧作出的书面注释、解释、评论
commonplace|n. [usually sing.] [正式] 平淡无奇的言语等；老生常谈、陈词滥调
