abandon|vt. 停止做某事（尤指在其结束之前），即中止；也可指停止拥有某事物，即不再拥有
abolish|vt. 正式终结一项法律、制度、习俗等，即废除
abrogate|vt. [术语] 正式废除或撤销（一项法律、协议、习俗等）
abrupt|adj. 突然且意外的（常以一种令人不快的方式，因此常指突然发生坏事情）
absorb|vt. 用尽大量某事物（尤指金钱或时间），即耗费，消耗
abstain|vi. ~ (from sth) 戒除（对健康有害的习惯或道德上的恶行）
activate|vt. 激活一个装置或化学过程
adhere|vi. ~ to sth [正式] 坚持（信念、某事的固定做法等）
adherence|n. [U]（对信念、做某事的不变之方式的）坚持
adjourn|vt.&vi. [常用被动式] 中止一个官方程序，如中止会议、审讯，即休会、休庭
adopt|vt. 承袭（一个风俗）等
advance|adj. 只用于名词前，advance party/team 可指先于主要团队（或群体）而去向某地的一群人，如先遣队，先头部队
advance|adj. 只用于名词前，在某事发生之前而事先执行或给予的，即事先的，预先的
advance|n. [C, U] advance (in sth)（在某一活动上或在某一认知领域所取得的）进步、进展或发展
advance|vt. [正式] 将某事发生的时间或日期提前，相当于bring forward
advance|vt. 帮助某事成功，即促进，推动，相当于further
advance|vt.＆vi. 1（知识、技术等）发展、进步
advanced|adj. 1（技术、设备、方法、设计、制度、国家等）先进的
advanced|adj. 处于发展的晚期或后期的
advancement|n. 1 [U, C] [正式]（对某事的发展的）促进、推动；进步、发展
against|prep. 以防止…发生，或以减少由…造成的损害
ahead|adv. 提早，提前，相当于in advance
ahead|adv.（计划、项目、组织等）快速向前发展
ameliorate|vt. [正式] 使某事物变得更好，即改善、改进、改良
ancestry|n. [C, usually sing., U] 事物的前身
and|conj. 用于连接重复的词，表示…是反复或持续的
annul|vt. 正式宣告…在法律上失效
anticipate|vt. [正式] 先于某人去做某事，早于某人行动
apart|adv. 1 成碎片
appear|vi. 1 开始被看到，如出现。是一个常规用词
appearance|n. 1 [C, usually sing.] 某事物开始存在（或开始被看到、被使用）的时刻，即出现
architect|n. [C]（思想、事件、形势的）设计者，缔造者，创造者
arise|vi. 1 [更正式]（尤指一个问题或困境）发生；产生；出现，相当于occur
arm|vt. 为某人提供在某一情况下有用的东西，即用…装备
armed|adj. ~ (with sth) 备有做某事所需的事物的
around|adv. 出现在某一地方
arrest|n. [C, U] 进程的停止或被打断
arrest|vt. [正式] 阻止一个进程或发展。不太常用
arrive|vi.（一次事件或一个时刻，尤指自己所等待的事件或时刻）发生或到来
ascent|n. [U] [正式] 进步、提高
ascribe|vt. ~ sth to sb 认为某事物（如语录、艺术作品）是由某人创造的
ash|n. [pl.] ashes（人的尸体火化后的）骨灰
assist|vt. 促使某事更容易地发生，即促进
attack|n. [C] attack (on sth) 对坏事所采取的制止措施，可使坏事停止，也可使其发生变化，即抑制，打击，处理
attempt|n. [C, U] attempt (to do sth) / attempt (at sth/at doing sth) 对某事（尤指难事）所进行的尝试（常以失败而告终）
attempt|vt.＆vi. 尝试去做某事（尤指难事）
attribute|vt. ~ sth (to sb) 认为(文章、艺术品或评论）出自…
author|n. [C] 某事物（尤指一项计划或一种思想）的创造者，发起人
await|vt. [正式] 等候、等待
away|adv. 变化发展（到另一种状态或情况）地
away|adv. 用于动词后，表示某事持续且耗费很多能量（或称劲头十足）地发生
axe|n. [sing.] [尤英] [美式英语用ax] [非正式] the axe可指（某个项目）取消（通常指为节省资金而进行的取消）
bar|n. [C] bar (to sth/to doing sth) 表示（阻止某人做某事的）障碍，常用单数（与block和brake差异极小，只是bar和block此时常用单数）
bar|vt. 1 用铁条或木条封住，如把门插上门闩
barricade|vt. 通过设置路障来防御或阻挡…
barrier|n. 1 [C] barrier (to sth) 阻止人做某事（或使某事不可能发生或完成）的一个问题、规则或情况，即障碍、阻力、关卡、壁垒。是一个基础和常规用词
bash|n. [C] [非正式] have a ~ at sth 尝试
be|vi. be from ... 用于说明某人出生于某地或某人来自哪里
be|vi. 仍然在某地、留在某地
be|vi. 出现在一个地方
be|vi.（在某时或某地）发生
beat|vt. 在某个时限或事件前完成
begin|vt.＆vi. 开始做某事；执行某事的第一部分。侧重于强调“开始”这一动作或阶段
begin|vt.＆vi. 第一次启动，或使某事物第一次启动，如创建、创办、创始。是一个基础用词
beginning|adj.（某人）刚入门的；初级的
beginning|n. 1 [C, usually sing.] ~ (of sth)（事件或活动的）开始部分、开端、起点
bereaved|adj. [正式] 丧失亲友的
bereaved|n. [C] [正式] the bereaved（复数形式为the bereaved）可指死者的亲友
bereavement|n. 1 [U] 丧失亲人或密友所造成的痛苦
bid|n. [C] bid (for sth) / bid (to do sth) 尝试去做、去取得或达到…，尤用于报刊
bid|vi. 尝试去做、去取得或达到…，相当于attempt，尤用于报刊
birth|n. [sing.]（新情况、形势、想法、地点等的）起源，开始，诞生
birthplace|n. [C] 某事首先发生的地方，即发源地，发祥地，策源地等
block|n. [C, usually sing.] 使运动或进步变得困难或不可能的事物，即阻碍、障碍物
block|vt. 1 一个物体挡住另一物体
blockage|n. [C] 对流动或运动的事物（如狭窄通道中的液体）起阻碍作用的东西，即堵塞物、阻塞物
body|n. [C] 人或动物的尸体
bolster|vt. ~ sth (up) 增强（信心）；鼓舞（士气）
boost|vt. 帮助或促进…的发展
born|vt. 仅用于被动式，且不用by，指（思想、组织机构、感情等）产生，诞生
bound|adj. 不用于名词前，构成复合词，指因受所提到的条件之限制而不能去某地（或不能正常运转），即因…而受阻
brace|vt. ~ sb/yourself (for sth) 使…（为困难或坏事）做准备
brake|n. [C] brake (on sth) 使…停止或使其变得困难的事物，即阻力，障碍
break|n. 1 [C]（时间或进程的）暂停；间断
break|vi.（白天、黎明或风暴）开始
break|vt. 戒除（习惯）
break|vt. 突然打断或中断某事（如打破沉默）
break|vt. 结束或改变已存在了一段时间的困难或不快的情形（尤指用武力或强硬的行动强行终止某事）
break-up|n. [C]（婚姻、家庭、关系或联系的）终结
breakdown|n. [C, U]（通信的）中断
breakthrough|n. [C]（可能会产生一项协议或成就的）重大进展或突破
brew|vi. ~ (up)（常用于进行时）（不愉快的事）即将来临、酝酿
broken|adj. 1 常用于名词前，不连续的，间断的；（过程）被打断的
build|vi.（在某个成功的基础上）继续发展
build|vt. 1（人）逐渐建立（机构、社团、关系等）
build|vt. 逐步增强（信心、信任等）
build-up|n. [C, usually sing.] ~ (to sth)（重要事情的）准备期，准备过程
builder|n. [C]（通常构成复合词）起创造作用的一个人或事物，如建筑者、创建者、开发者
burial|n. [U, C] 埋葬
burial|n. [U, C]（埋葬时的）葬礼
burnish|vt. 改善形象
burst|n. [C] 一项活动（或一种强烈情感）的一段短时间的突然爆发，迸发
burst|vi. 突然出现
bury|vt. 1 把一个死亡的人放在坟墓里，即埋葬，安葬
bust|adj. [名词前不常用] [非正式] [英] 破碎
by|prep. 用于补充信息，所补充的信息可以是关于某人来自何地
bypass|vt.（尤指为快速完成某事而）不顾（规则、官方制度或当权者）
call|vt. [美] 取消（比赛，如体育赛事）
cancel|vt. 1 决定已安排好的事现在不再发生，如取消、撤销、终止
cancellation|n. 1 [U, C] 取消；撤销；注销（是一种决定）
casket|n. [C] [美] 棺材
cease|vt.&vi. [正式]（使）停止、终止、结束
cement|vt. 巩固或加强（关系、协议等）
cemetery|n. [C]（尤指不靠近教堂的）墓地，坟地，公墓
charter|vt. 正式声明设立一个新机构、城镇或大学，并授予其特定权利，即特许设立
check|n. [C] [正式] check (on/to sth) 阻碍其他事物进程的事物，或阻止其恶化的事物
check|vt. 控制某事物，阻止其增长或变坏，即抑制
chip|vt.&vi. 把某事物打下一个小碎片；破损掉一个小碎片
chop|vt. [非正式] [常用被动式] 取消
chop|vt. [非正式] [常用被动式] 终止
cleanse|vt. 将脏的、令人不悦的或邪恶的事物从一个地方、人或组织机构清除出去，即清除
clear|adj. clear of sth 摆脱掉令人不快的事物的；与坏事不沾边的
clear|vt. clear A (of) B / clear B (from/off A) 从一地移除某个不想要或不需要的东西，即清理，清除
clearance|n. [C, U] 清除、清理（不想要的东西）
cleave|vi. [正式] 继续相信或继续对…忠诚，即坚信、忠于（信念、理想、原则、某人等）
cling|vi. ~ (to sth) 坚持（观念或行为方式）（即使这种观念或行为方式已过时）
close|n. [sing.] [正式]（一段时间或一场活动的）结束
close|vt.＆vi. 结束（一次交谈、一个事件或事情等）；或使…结束
closed|adj. [常用于名词前] 只限于某些人的；仅为少数人的；不向公众开放的
coffin|n. [C] 棺材、棺椁
cold|adv. [尤美] 突然且完全地
cold|adv. 毫无准备地
collar|vt. [非正式] 拦住某人（以使其与你谈话）
combat|vt. 防止坏事发生、防止事情变得更糟
come|vi. 1 来自（某个地方或事物）
come|vi.（想法、主意或记忆等）突然出现
come|vi.（时间）来临，或（事件）发生
come|vt. 比喻用法中可指发展或进步
commence|vt.&vi. ~ (with sth) [正式] 开始发生；开始某事、着手
complete|adj. 不用于名词前，完成了的，结束了的
complete|vt. 常用被动式，完成（制作某东西或做某事）
completion|n. 1 [U] 完成、结束
conclude|vt.＆vi. [正式] conclude (sth) (with sth) 结束，终止；使…结束或终止
conclusion|n. [C, usually sing.] 某事物（如讲话或一篇文字）的结尾，结束
condolence|n. [C, usually pl., U] 吊唁、慰唁
confront|vt.（问题或困境）降临于…
conquest|n. [U]（对困难、危险等的）控制
consolidate|vt.&vi. 巩固权力或成功的地位
construct|vt. 通过把不同的部分放在一起从而形成一个事物（如想法、文章、体系等），即组建；搭建；构建
construction|n. [U, C] 某事物（如某个体系、理论、理念、观点、知识等的）创立
consume|vt. [正式] 消耗、耗费（燃料、能量或时间等）
consumption|n. [U]（能量、食物或材料的）消耗；也可指消耗量
contain|vt. 防止有害的事物蔓延或恶化
continuation|n. 1 [U, sing] ~ (of/in sth) 继续；连续；持续
continue|vt.＆vi. 1 保持存在或发生（而不停止），即继续存在、继续发生。是“继续”的常规用词
continuity|n. [U] 连续性、持续性（而不停止或不发生改变）
contribute|vt.＆vi. contribute (sth) to sth 增加、改进、添加（到某事物）
contribution|n. [C, usually sing.] contribution (to sth) / contribution [toward(s) sth/doing sth] 促成引起某事物或促成增加某事物的一种行动或作用，即贡献、促成作用
contributor|n. 1 [C] ~ (to sth)作出贡献者
control|n. [C] [术语] 实验中被作为一种参照标准来检验实验结果的一个人、事物或群组；还可指一个用于检验工作方法的且结果为已知的实验
cordon|n. [C]（由警察、士兵等组成的线形或环形）警戒线，封锁线
corpse|n. [C]（尤指人的）尸体
course|n. [sing.] course of sth 某事的发展进程，进展。是一个整体概念，且倾向于指一种时间概念（而非process那样倾向于指一段时间内发生的一系列事情）
crack|n. [C] ~ (at sth) / ~ (at doing sth) [非正式用法] 尝试
crack|vt. 阻止、打击、击败、战胜罪犯或敌人，可翻译为“摧毁”
crack|vt.&vi. 破裂（而不离散）
crackdown|n. [C] ~ (on sb/sth)（对犯罪活动的）严厉打击
cracked|adj. 破裂的（但不是完全散开的），有裂纹的
cradle|n. [usually sing.] ~ of sth 重要事物的起源地、诞生地
cramp|vt. 阻止、阻碍（某人或某事物的发展或进步）
crawl|vi. 事态（在艰难的处境中）缓慢而艰难地发展
create|vt. 使某事发生或存在，如创造
creation|n. 1 [U] 创造；创建
creative|adj. 1 [只用于名词前] 创造性的；创作的
creep|vi. 非常缓慢地产生
cross|vt.（某种表情）掠过某人的脸庞
crown|vt. [常用被动式] ~ sth (with sth)（尤指通过增添成就、成功等）使某事更圆满或使其更完美
culminate|vi. ~ (in/with sth) [正式] 以某种结果告终，或在某一点结束
culmination|n. [sing.] [正式]（常指某事发生长时间后的）终点
cultivate|vt. [有时贬] 建立友谊、获得支持
cut|n. [C] cut (in sth) 对电影、戏剧、文章等所做的删减，删节
cut|vt. 1 [非正式] 让人停止做某事
cut|vt. cut sb/sth off 打断
cut|vt. cut sb/sth off 阻断去路
cut|vt. cut sth (from sth) 删除，删减，删节
dawn|n. [sing.] dawn (of sth)（具有文学色彩）…的开始、开端或第一个迹象
dawn|vi.（一段时期）开始
dead|adj. 1 只作表语，（想法、信念或计划）不再有人相信或去争取的
dead|adj. 失去生命的，即死的
dead|n. 1 [pl.] the dead 可表示死人，即死者
deadlock|n. [sing, U] 僵持、僵局、相持不下（一般在deadlock前面不加a为英式用法，加a为美式用法）
death|n. 1 [C, U]（人或动物的）死亡
death|n. [sing.] death of sth 永久的终止，即灭亡，毁灭，破灭等
deceased|adj. [法律或正式]（近期）死去了的、已故的
deceased|n. [C] [法律或正式] the deceased（复数形式为the deceased）可指死者，尤指刚刚死亡的人
deep|adv.（时段）晚地
defeat|vt. 使失败，即挫败，阻挠。可以是挫败一次行动或计划，也可以是阻挠一项动议或辩论等
defer|vt. 推迟、延期
defunct|adj. [正式] 不再存在的；不再被使用的
defy|vt. 经受住、顶住
delay|n. 1 [C]（由于发生的问题所导致的）拖延或耽搁的一段时间，即被动耽搁的一段时间（一般不太表示“主动推迟的一段时间”）
delay|vt.＆vi. 延迟；推迟。既可指主动推迟、拖延，也可指被动耽误、耽搁。其含义最为广泛，也最为常用（表“推迟”时，不如postpone正式和常用）
delete|vt. delete sth (from sth) 清除已被写上、印上或存在电脑中的内容，即删除
demise|n. [sing.] [正式或幽默] 死亡
demise|n. [sing.]（大型机构、主义、公司等的）终结
demon|n. [C] 恶魔、魔鬼
deplete|vt. [常用被动式] 大量消耗某事物（的库存或数量）使其不足
depletion|n. [U] 大量减少；耗尽
depth|n. [C, usually pl.]（具有文学性）…的最深时段
derive|vt.&vi.（使）（文字、感情等）起源于或来自于
descend|vi. ~ (on/upon sb/sth) [文学]（黄昏、夜晚、黑暗等）降临、来临。相当于fall
descend|vi.（人、动物等）是…的后裔
descendant|n. [C]（由过去类似物发展而来的）派生物
descent|n. [U] ~ (from sb)（语言的）起源之处
detach|vt. ~ yourself (from sb/sth) [正式] 使自己挣脱某个人，或离开某些人
detach|vt.&vi. ~ (sth) (from sth) 将某事物从一个更大的事物上移除；从某事物上分离开来（即脱离某事物）
detain|vt. [正式] 留住某人，以阻止其去某地，即阻留、耽搁（别人的时间）
deter|vt.&vi. ~ sb (from sth/from doing sth) 通过使某人感到做某事过程中的困难或此事的糟糕结果，而使其不去做某事（或使其不再继续做此事），如阻吓、阻止
develop|vt.＆vi. 1 develop (sth) (from sth) (into sth) 逐渐增长或变得更大、更先进、更强等；使某事物逐渐增长或变得更大、更先进、更强等
develop|vt.＆vi. 出现问题；也可指（问题）开始影响某事物
development|n. 1 [U] 某事物的逐渐发展或发育（该过程使其变得更先进、更强大等）
devil|n. [C] 魔鬼、恶魔
die|vi. 消失，灭亡
die|vt.＆vi. die (of/from sth) / die (for sth)（人或动植物）死亡，凋谢
direction|n. [C] 来源；立足点等
disappear|vi. 1 变得看不见，如消失，相当于vanish
disappearance|n. [U]（事物）渐渐消失
discourage|vt. discourage sth / discourage sb from doing sth 尝试去阻止某事或阻止某人去做某事（尤指通过使该事情变得困难或表明你不同意做这件事）
disentangle|vt. ~ sth/sb (from sth) 将某人或某事物从被包裹、被纠缠的事物中弄出来，可称为使摆脱
disintegrate|vi. 碎裂成小块（或小片）、解体、分裂
disintegration|n. [U] 物体的碎裂、解体、分裂
disperse|vt.&vi.（使）动态地散开
displace|vt. [常用被动式] 将某事物从其通常位置移开
disposal|n. [U]（废物等的）清除、清理
dispose|vi. [正式] dispose of sb/sth 去除或清除（不想要或不能保有的）某人或某事物
disrupt|vt. 使某事中断（使其不能顺利进行）
disruption|n. [U, C] 中断
dissipate|vt.&vi. [正式]（使）某事物逐渐变弱直至消失，即（使）消散、消失、驱散
dissolve|vi. ~ into laughter, tears, etc. 突然开始笑、哭等
dissolve|vt. 解除（婚姻关系）；终止（商业协议）
dissolve|vt.&vi. ~ (sth) (away)（尤指以化学手段）除去某事物
dissolve|vt.&vi.（使）消失、消散
ditch|vt. [非正式] 废除（不再想要或不再需要的某事物或某人）
do|vt.＆vi. have/be done / get sth done 完成某事
down|adv. [非正式] 对于列在清单上的自己不得不去做的事情，表示这些事情的完成进度
drag|n. [sing.] [非正式] a drag on sb/sth 阻碍进步或进展的人或事物，即绊脚石，拖累，累赘
drain|n. [sing.] a ~ on sb/sth 大量消耗（本可以用于其他事情的）时间、金钱、感情等的一个事情或事物
drain|vi.（使）(脸上血色)消失，消退
drain|vt. ~ sb/sth (of sth) 使金钱、资源、精力、感情等耗尽
draw|vi. 进程朝某个方向推进
dredge|vt.&vi. ~ (sth) (for sth) 用船只或机器将港口、河流、运河等的水道中的淤泥、石头等清理出去，以使其更深，或为寻找某事物。即疏浚、清淤、挖掘
dress|vt. 准备材料（如石头、木材或皮革）以供使用
drift|vi. 无意间发生或改变；没有计划或目的地做某事（如顺其自然地做某事）
drill|n. [sing.] [过时，英] the drill 可指做事的正确或常规方式，即常规程序，相当于procedure
drive|vt. 影响某事物，或使其向前发展，即促进、推动、激励
driver|n. [C]（影响某事物或驱动其进步的）主要因素之一，即驱动因素
driving|adj. [只用于名词前] 强有力的；对某事的发生起推动作用的
