accolade|n. [C] [正式] 赞扬、表扬；奖励、奖赏。也可称为荣誉
accommodation|n. [C, U] [正式] 达成协议的过程
accomplish|vt. 成功做成（或完成）某事，相当于achieve
accomplishment|n. [C] 成就。相当于achievement
accomplishment|n. [U] [正式] 某事的成功完成、实现
achieve|vi. 成功
achieve|vt. 1（尤指通过长期的努力）达到某一目标、地位或标准，相当于attain。是一个常规用词
achievement|n. 1 [C] 某人所成功做成的一件事情（尤指通过自身的努力或运用自身的技能），常翻译为“成就”
achievement|n. [C] 某人所成功做成的一件事情（尤指通过自身的努力或运用自身的技能）
action|n. [U] 令人激动的事件
active|adj.（尤指体力上）总是忙于做某事的，如忙碌的，活跃的
activity|n. [U] 热闹状况
adrift|adj. 1 [名词前不可用] [英] ~ (of sb/sth)（在体育运动中）分数落后的、排名在后的
ahead|adv. 1（比期望）获得更多的成就且表现良好
annihilate|vt. 彻底击败…
annihilation|n. [U]（在竞赛或争论中的）彻底击败
anonymity|n. [U] 无特色、无个性特征
anonymous|adj. 没有任何特色的
assuage|vt. [正式] 满足（需要或欲望）
attain|vt. [正式] 达到某一年龄、水平或状况
attainable|adj. 可达成的、可获得的
austere|adj.（某事物）朴素的、简陋的、没有任何装饰的
austerity|n. [U] 物品的简朴无华
average|adj. 普通的；平常的；一般的；平平的（此时相当于ordinary）
award|n. [C] award (for sth) 常用于具体的奖项名称，某人因自己所做的事所得到的奖赏（如金钱等），具体可称为奖、奖品、奖金、奖状、奖项。尤指官方颁发的奖
award|vt. award (sb) sth / award sth (to sb) 正式决定（或裁定）将某事物给予某人，作为一种奖励，如授予、奖励等
backward|adj. 1 与取得进步的方向相反的，即倒退的，退步的
backward|adv. 与取得进步的方向相反，即倒退地
bankrupt|adj. [正式，贬] ~ (of sth) 完全缺乏（有价值的东西）
bankruptcy|n. [U] 价值的彻底缺乏，也可翻译为破产，此时算是一种比喻用法
beat|vt. 1 beat sb (at sth) 在比赛或竞争中击败、打赢某人
beating|n. [C] [非正式]（竞争或选举中的）惨败、严重受挫
behind|adv.（成就、业绩、进展等）在…之后
behind|prep. 表示某人背后的成就
bestow|vt. ~ sth (on/upon sb) [正式] 将…给予某人，尤指带有极大敬意地献给、授予、赐予
big|adj. [非正式] big (in …) 受公众欢迎的；成功的
blaze|n. [sing.] a ~ of glory 荣耀
blooming|adj.（某人）看上去非常健康且经历旺盛的，如容光焕发的、神采奕奕的、精力旺盛的
blow|n. [C] blow (to sb/sth) 使人悲伤或失望的突发性事件，即挫折，打击
blowout|n. [C] [美，非正式] 轻而易举的胜利
bomb|n. [sing.] a bomb 美国非正式用法可指一次彻底的失败
boom|n. [C] 某事物数量、频率或成功程度的增长
bottom|adj. 名次在最低的位置的
bottom|n. [sing.] bottom (of sth)（在一个班级或清单等中）最低（或最末）的位置；在此位置上（即排名最后）的一个人或一个团队等
bounce|n. [U, C] 一个人所具有的精力、活力
break|vt. 打破纪录
break-up|n. 1 [C]（婚姻、家庭、关系或联系的）破裂，终结
breakdown|n. [C, U]（关系、讨论、计划、体系等的）破裂、失败
bright|adj. 让人有理由相信好事将会发生的；很可能成功的
brilliance|n. [U] 成功的光辉、辉煌
brilliant|adj. 非常成功的
brisk|adj.（比较级为brisker，无最高级）（生意）忙碌的、红火的
bronze|n. [C, U] 作为奖励的铜牌、铜质奖章。相当于bronze medal
buzz|vi. ~ (with sth) 充满兴奋、充满活动等
carve|vt. carve sth (out) (for yourself) 无被动式，指努力工作（以取得职业生涯的成功，或赢得名声等）
certify|vt. [常用被动式] ~ sb (as sth) 颁发（或授予）专业合格证书（以证明其有资格从事某项专业领域的工作）
champion|n. [C]（比赛中的）冠军。获得冠军的一个人或动物
championship|n. [sing.] 冠军的名次或地位
chaste|adj. [正式] 风格简朴的、朴实的、不修饰的
citation|n. [C] 因某人的特别表现（尤指在战争中的英勇表现）而给予其的官方表彰或嘉奖令
cite|vt. [正式] ~ sb (for sth)（正式或公开）嘉奖、表彰某人
claim|vt. 赢得、获得、达成（纪录、冠军、奖励等）
clinch|vt. 成功达成或赢得
clinical|adj. [贬]（房间、建筑物等）非常简朴的、无装饰的
close|adj.（在竞争或选举中）以微弱差距获胜（或可能获胜）的，即势均力敌的，实力相差无几的，旗鼓相当的
coast|vi. coast (through/to sth) 不费力地取得成功
collapse|n. [C, usually sing. U]（体系、机构、生意、行动等的）突然失败
collapse|vi.（体系、机构、行动等）突然或彻底地失败
come|vi. 1 come to/into sth 用于许多表达法中以表示达到某种状态，即达到；进入
comfortable|adj. 胜利相当大的，轻松取胜的
common|adj. 只用于名词前，普通的，平凡的，寻常的，非不寻常或非特殊的
commonplace|adj. 经常发生或存在于很多地方，因而很寻常的，如平凡的、普通的
conclude|vt. conclude sth (with sb) 与某人达成（或订立、缔结）正式且最终的协议或协定
confer|vt. [正式] ~ sth (on/upon sb) 授予某人奖项、学位、荣誉或权利
conquer|vt.（尤指在比赛、赛跑活动等中）击败，战胜某人
conqueror|n. 1 [C] 政治上的征服者、胜利者、占领者
conquest|n. 1 [C]（通常为幽默用法）（爱情或性关系方面的）俘虏，征服
coup|n. [C] 努力办到难办的事、（因困难太大而显得）了不起的成就
crack|vi. 制度等崩溃
crash|vi. [尤英] 体育运动中可指在一场比赛中败得一塌糊涂，即惨败、溃败
cream|vt. [美，非正式] 彻底打败某人
create|vt. 给予某人一个特定的等级或头衔，如授予、册封
credit|n. [C] 大学（在美国也包括中小学）的一个学习单元；还可指学分
credit|vt. credit A with B / credit B to A 常用被动式，把…（尤指成就）归于…，认为（或表明）…是…的功劳
cross|n. [C]（授予某人以表彰其勇气的）十字型勋章
crown|n. [C, usually sing.] [非正式] 体育竞赛的冠军名次、桂冠
cruise|vi. 轻而易举地赢得或达成
cup|n. [C]（颁给竞赛优胜者的金质或银质）奖杯（常有两个柄）
dead|adj. [非正式，贬]（一个地方）安静的，死气沉沉的，无活力的，无趣的
decay|n. [U]（社会、机构、制度等的）衰败，衰退，衰落
decay|vi.（社会、制度、机构等）衰败，衰退，衰落（即人、社会等的影响力减弱）
decayed|adj.（社会、机构、制度等的）衰败的
decline|n. 衰落
decline|vi. 衰退
decorate|vt. decorate sb (for sth) 常用被动式，授予某人一个金属勋章或奖章（以表彰其所做过的某事）
decoration|n. [U]（授予某人的作为一种荣誉的）金属勋章或奖章
defeat|n. [C] 常用单数，指击败或战胜…的行动
defeat|n. [U, C] 在战斗、游戏、竞赛等活动中失败，挫败，也可指未达成自己想实现的目标
defeat|vt. 在战争、比赛（包括体育比赛）、竞争等活动中战胜或击败某人，相当于beat。二者常可互换
demise|n. [sing.]（大型机构、主义、公司等的）失败
demolition|n. [U]（体育运动等活动中的）大败
descent|n. [sing.] 形势的恶化
developed|adj.（国家、地区、社会等）发达的
dip|n. [C]（通常指短暂的）成功的衰退
disaster|n. [C, U] [非正式] 一个彻底失败的人或事
discreet|adj.（某事物）朴素的、不显眼的、少的、小的
