after|prep. 尝试去找到…
ascertain|vt. [正式] 找出或查明关于某事的真实情况或正确信息
audit|n. [C, U] 对质量或标准的官方检查或审查
audit|n. [C, U] 工商业的审计（如财务审计、税务审计）
audit|vt. 对公司的账目进行审计
authenticate|vt. ~ sth (as sth) 官方鉴定某事物的真假
available|adj. 可找到的
burrow|vi.（在…下面或在…之间）寻找、搜寻
bust|n. [C] [非正式] 警方的突击搜查
bust|vt. [非正式] ~ sb/sth (for sth)（警方）突然进入一个地方搜查
censor|vt. 审查、检查（书刊、戏剧、电影、书信、媒体等）
censorship|n. [U]（尤指政府官员对书刊、戏剧、电影、报道等的）审查；审查制度
census|n. [C] 官方的统计，尤指一国的人口普查
charade|n. [U] charades可指打哑谜猜字游戏
check|n. 1 [C] check (for/on sth) 检查，查看（是否安全、正确、状况良好）
check|vt. check sth (for sth) 检查某事物，以看其是否正确，安全或可接受
clock|vt. [英，非正式] 认出某人
comb|vt.＆vi. comb (through) sth (for sb/sth)（为寻找…而）仔细搜索或搜寻，相当于scour。强调搜索非常细致。是一个形象化用词
comeback|n. [U] 因自身受到伤害而追究某人的责任
consult|vt. 查阅或参看…（以获得信息），相当于refer to
consultation|n. [U] 在书籍等事物中查找或查阅信息
crossword|n. [C] 纵横字谜；纵横填字游戏
differentiate|vt.&vi. ~ (between) A and B / ~ A (from B) 区分、辨别
dig|vi. 在…中搜寻（以找到某物品）
discern|vt. [正式]（不用于进行时）觉察出；识别出；了解某事物（尤指觉察出、识别出或了解不明显的事物）
discernible|adj. 1 看得清楚的
discriminate|vt.&vi. ~ (between A and B) / ~ A from B 区分、区别、辨别
discrimination|n. 1 [U] [褒] 对好的、真的、或高的品质的鉴赏力、识别力、判断力
distinguish|vt.＆vi. distinguish (between) A and B / distinguish A from B 辨别两个人（或事物）之间的差异，即区分，辨别，相当于differentiate。是一个常规用词
distinguishable|adj. 1 ~ (from sb/sth) 可与…区别开的
dog|vt. 紧紧跟随某人，即尾随。虽然更强调跟踪的持续性，但总体上与本组其它词区别并不大
drag|vt. drag sth (for sb/sth) 用网（或钩）搜寻河流、湖泊等的底部
enquire|vt.&vi. [较正式] 调查
examination|n. [U, C] 非常仔细的查看或考虑，尤指看其是否有问题，或找出问题的原因，即审查；调查；考查；考察
examine|vt. 1 非常细致地思考（或研究）一个想法、主题、学科等，可称为考查、考察、调查、审查等
exploration|n. [C, U] 勘探；勘查；探索
explore|vt.＆vi. explore (sth) (for sth) 在某片地域或某个国家穿行以期对其进行了解，如勘探、勘察、探索、考察
explorer|n. [C] 探险者；勘探者
feel|vi. feel (about/around) (for sth)（用手、脚等）搜索
ferret|vi. ~ (about/around) (for sth) [非正式] 在很多…中寻找丢失或隐藏的东西，如翻找
fieldwork|n. [U] 实地研究；野外考察（而非在图书馆或实验室里搞的研究）
find|vt. 1 find sth (for sb) / find (sb) sth（通过搜寻来）找到或找回（已丢失的东西）。是一个基础用词
fish|vi. 用手来搜寻某东西，即摸着寻找…
follow|vt.＆vi. 跟踪。是此义的基本通用词，可以是公开跟着，也可以是秘密跟着
forage|vi. ~ (for sth)（人）搜寻某事物，尤指用手搜寻
frisk|vt. 搜某人的身（以寻找隐藏的武器、毒品等）
grope|vi. ~ (around)(for sth) 用手摸索着寻找（看不到的东西）
guideline|n. [C]（用以帮助某人做决定或形成观点的）参考
hound|vt. 追踪、追逐某人（尤指为了从其身上得到…或向其问问题）
hunt|n. [C, usually sing.] hunt (for sb/sth) 搜寻
hunt|vi. hunt (for sth) 搜寻（很难找的事物）
hunter|n. [C] 通常构成复合词，寻找并收集某种东西的一个人
hunting|n. [U]（构成复合词）找、寻找
identification|n. [U, C] 鉴定，验明，辨认（人或事物）
identify|vt.（也可用非正式的ID）~ sb/sth (as sb/sth) 辨认出（即因为不同点而找出…）
inquest|n. 1 [C] [尤英] ~ (on/into sth) 对某人的死因（尤指非正常死亡）进行的官方调查
inspect|vt. 1 inspect sth/sb (for sth) 仔细查看…，尤指查看一切是否正常，相当于examine。与check的一个含义也极为类似，有时可互换
inspection|n. 1 [U, C]（官员对学校、工厂等的）视察（以确保相关规则得到遵守，或检查…是否合格）
interrogate|vt. [术语]（在计算机或其他机器上）查询信息
investigate|vt.&vi. 调查（情况、事件、罪案等的事实、原因、过程等）
investigation|n. [C, U] ~ (into sth) 官方对情况、罪案等的调查、侦查
issue|n. 1 [C] 人们讨论或争论的一个重要话题或问题
jigsaw|n. 1 [C]（也可用jigsaw puzzle）[均英]（也可用puzzle）拼图；拼板玩具（是一种印在硬纸板或木板上的图片，但是被切割成了各种奇形怪状的小片，需要把他们正确地安装在一起才可呈现完整图片）
know|vt. 1 能够认出（或辨认出）…
look|n. [C, usually sing.] look (for sth/sb) 寻找，查找
look|vi. look (for sb/sth) 寻找，寻求。是一个简单用词
matter|n. [sing.] 涉及到某事物（或取决于某事物）的一个情况，相当于question
nose|n. [sing.] a nose for sth 发现或识别事物的能力，类似于instinct
nose|vi. 指动物用鼻子来寻找或拱…
ok|exclamation. [非正式] 用于核对别人是否同意你或理解你
parade|n. [C]（目击者对嫌犯的）列队辨认
patrol|vt.&vi. 对一个地区或移动建筑物进行规律地巡逻或巡查（以看是否安全或是否存在麻烦）
place|vt. 通常用于否定句，指能够认出，辨认出，识别出
pluck|vt. ~ sb (from sth) 挖掘某人，使其一跃成名
police|vt. 警察或军队在某个地区（或为某个活动、事件）巡逻，以维持该地区（或该活动、事件）的治安
poll|n. [C]（也可用opinion poll）民意测验、民意调查
poll|vt. [常用被动式] 对…进行民意调查
probe|n. [C] ~ (into sth)（尤用于报章）对某事的彻底而细致的调查、探究
probe|vt.&vi. 搜寻、搜查一个地方（以找出某人或某事物）
probe|vt.（尤指用细长的工具）探查
problem|n. [C] 运用逻辑思维或数学方法可以解答的一个问题，如逻辑题，数学题
prospect|vi. ~ (for sth) 在一片区域内寻找黄金、矿物、石油等
pursue|vt. [正式] 继续查找，即追查、追究
puzzle|n. 1 [C] 智力问题（也可叫“谜”），智力游戏或智力玩具（需要仔细思考才能答对或拼装正确）
query|n. [C] 问题，尤指询问者为了从中获取信息，或表达对某事的疑问而向组织、出版物或专家所提出的问题，可称为疑问、询问
quest|n. [C] ~ (for sth) [正式或文学] 长期寻找…，尤指追寻幸福等
quest|vi. ~ (for sth) [正式或文学] 寻找（难以找到的东西）
question|n. 1 [C] 问题或疑问（可以是一个句子、一个短语或一个字词）
raid|n. [C] ~ (on sth) 警察对罪犯或赃物、毒品等的突然搜查
raid|vt.（警察）突击搜查一个人或一个地方（以搜查犯罪分子、赃物、毒品等）
recognition|n. [U] 认出；识别出
recognizable|adj. ~ (as sth/sb) 容易认出的；易于识别的
reconnaissance|n. [C, U] 为获取军事情报，利用士兵、飞机、卫星等对一地进行的军事侦查
refer|vi. refer to sb/sth（为获得信息而）查阅…或询问某人。是此义的常规用词
reference|n. 1 [U] 参考（信息）
reference|n. [U] 查询或查阅（信息）
review|n. [U, C]（权威方或上级所做的）审查、评审或检查（以确定是否有需要改进或改正之处）
review|vt. 1 仔细审度一种形势或一个体系，以察看其是否存在问题，或是否有需要改进之处
riddle|n. 1 [C] 谜语（即一个看似平淡无奇的问题，但拥有一个令人惊奇且机警有趣的答案，常作为一种游戏）。此时puzzle的含义要比riddle广泛得多，可指各种给人在智力上带来挑战的活动形式
rifle|vt.&vi. ~ (through) sth 快速搜寻、匆忙翻找（以寻找或偷取某事物）
roam|vt.&vi. ~ (over) sth/sb（手）缓慢地摸遍某人或某事物的每一个部分
root|vi. root (about/around) for sth / root (through sth) (for sth) 通过把…移开或翻倒来搜寻
rummage|n. [sing.] 翻找
rummage|vi. 仔细翻找
run|vt. run a test/check (on sth) 对…进行测试或检查
scent|vt. 通过闻味来寻找
scour|vt. ~ sth (for sb/sth) 彻底搜寻一个地方或事物
scout|vt.&vi. ~ (around) (for sb/sth) 侦查、搜寻（某地）
screen|vt. 1（公司、组织等）对员工或想要成为其员工的人进行调查或审查（以看其是否可靠）
scrutiny|n. [U] [正式] 仔细检查，认真彻底的审查
search|n. [C] search (for sb/sth) 寻找，尤指仔细寻找，即搜寻，搜查，搜索。是此义的常规用词，极为常用
search|vt.＆vi. search (sth) (for sth/sb) 在某一地搜寻，搜查，搜索
see|vt.（通过查看、打听、等待）弄清，了解，如察看
seek|adj. [正式] –seeking用于构成形容词，指寻找或尝试去得到某东西的
seek|n. [U] [正式] –seeking用于构成名词，指对某东西所展开的寻找或追求的活动
seek|vt.＆vi. [正式] seek (for) sth/sb 寻找（某事物或某人）
shadow|vt. 紧密跟踪并监视某人（常是秘密地盯梢）。与follow相比，shadow一般只表示秘密跟踪，且与被跟踪者保持的距离相对较近
sift|vt.&vi. ~ (through) sth 仔细检查（以决定哪个重要、有用，或发现…重要）
source|vt. [常用被动式] [商业] ~ sth (from…) 寻找（产品或原料的）货源
stalk|vt. 长时间非法跟踪并监视某人（这种跟踪和监视让人烦恼或害怕），尤指跟踪骚扰，不断纠缠（名人、分手恋人等）
study|n. [U] 仔细考虑或检查，审查，审视
survey|n. [C]（对某个群体进行的）民意调查、民意测验（常通过问问题来实现）
survey|vt. 对某个群体做民意调查、进行民意测验
sweep|n. [C] 对一片区域所进行的巡行（例如为搜索或攻击某事物）
swoop|n. [C]（对某人或某地的）突然袭击、突然搜查、突然行动。相当于raid
swoop|vi. ~ (on sb/sth)（尤指警察或士兵）突然来到或突然袭击某人或某事物（而不给予预先警告）
tail|vt. 跟踪，盯梢，尾随，词义与shadow几无差别，但tail是一种非正式用法
tell|vt. tell A from B 将一个事物（或人）与另一者区分开，即区分，辨别，辨认，分辨，识别等。是一个简单用词
