about|adv. [尤英] 没有一定的秩序；在各个地方。如凌乱地、四处、到处
adjacent|adj. ~ (to sth)（一个地区、建筑物、房间等）与…毗连的、紧挨着的、邻近的
after|prep.（次序或重要性）挨着…并在其后面，即仅次于
align|vt.&vi. ~ (sth) (with sth) 排整齐；（尤指）（使）成一条直线。即（使）对齐、校准
alignment|n. [U, C] 排成一条直线
anarchy|n. [U] 一个组织等的无秩序或失控状态
anarchy|n. [U]（组织机构等的）无政府状态、混乱、无法无天
and|conj. 然后，接着
anyhow|adv. 随便地；不仔细地；排列得杂乱无章地
arrange|vt. 以一种特定的顺序来放置某事物；使某事物整洁美观。如整理、布置、排列。是此义的常规用词
arrangement|n. [C, U] 以一种特定的顺序（或位置）来排列（或放置）的一组事物；也可指以某种顺序来整理、布置或排列一些事物的行为
array|n. [C] [术语] 横排或竖排排列的一组数字、符号或数值，即数列、数组、阵列
array|n. [C] 物品的布置、陈列
array|vt. [常用被动式] [正式] 布置或排列一组事物，使其看起来更顺眼
ascend|vt.&vi. [正式] ~ (to sth)（顺序）上升
assortment|n. [usually sing.]（同种事物或不同种事物的）各种各样
backward|adv. 与平常做事的方式相反，即倒着地
before|prep.（次序或排列、安排）在…前面
blind|adj. 1 常作前置定语，（强烈的情感）无理性的，盲目接受的，失去控制的，即盲目的
brand|n. [C] 某事物（如思维或行为的方式）的类型
breed|n. [usually sing.] 类型，种类
busy|adj.（图案或图样）充满太多小细节的，如杂乱的，令人眼花缭乱的
categorize|vt. ~ sb/sth (as sth)把…分类或归类
category|n. [C] 有某些共同特征的一群人或一组事物，即（人或事物的）类别，相当于class
chaos|n. [U] 一种彻底混乱且缺乏秩序的状态
chaotic|adj. 混乱的
chronological|adj.（很多事件）按发生的时间顺序排列的
class|n. [C] 具有相同特征或品质的一群人、动物或事物，即种类，类别
class|vt. class sb/sth (as sth) 把…归类或分类，常用被动式，语义上近似于classify
classification|n. 1 [U] 对人或事物的分类、归类、分级
classification|n. [C] 被分出来的类别、等级
classify|vt. 1 在一些事物中，把具有某些共同特征的事物划分到一个组里去（以此来将所有这些事物分类或归类）。是一个基础用词
clean|adj. 拥有光滑或平整的边缘、平面或形状的，简洁且规则的
clutter|n. [U, sing.] [贬] 多而杂乱的东西，尤指尤指不需要的或无用的杂乱的东西；还可指杂乱的状态。相当于mess
clutter|vt. ~ sth (up) (with sth/sb) 凌乱地塞满或堆满一个地方，使其不整洁
cock-up|n. [C] [英，非正式]（打乱了原先所作安排的）差错；（因组织不当而造成的）混乱，一团糟
code|n. 1 [C] 有某种含义的一个信号体系
code|vt. 为…编码（以进行分类）
column|n. [C]（人或车辆排成行移动的）长队
come|vt. 排在（第一、下一个或最后）
confused|adj.（某事、局势等）没有一定的规律或顺序而难以理解的
confusion|n. [U]（让人不知所措的，尤指因很多事情同时发生造成的）混乱局面，骚乱、乱成一团
descend|vt.&vi. [正式] 下降、下来、下去
description|n. [C] 用于of some, all, every. etc. description结构，表示类型
disarray|n. 1 [U] 情况的混乱
disentangle|vt. ~ sth (from sth) 理清混乱或复杂的论据、想法、情况等
disorder|n. [U] 一种不整洁的状态，缺乏秩序、缺乏组织的状态，即混乱
disorganized|adj. 1（某事）计划不周的；缺乏组织的、杂乱无章的
dispose|vt. [正式] 以某种方式来安排、布置、排列事物或人
disposed|adj. [正式] [名词前不可用] 以某种形式排列的
disposition|n. [C, usually sing.] [正式] 排列、布置
disturb|vt. 移动某事物或改变其位置，如弄乱、搅乱
diverse|adj. 彼此之间十分不同且多种多样的
diversity|n. 1 [U, C, usually sing.] 差异（性）；不同（点）
do|vt. 与名词连用，以谈论诸如整理等任务
even|adj. 空间上排列得均匀且大小相同的
file|n. [sing.] 按前后顺序排成一行的人或事物
file|vi.（人）排成一行，并朝某个方向一个接一个地走去（即排成纵队行进）
follow|vt.＆vi.（按时间或顺序）在…后发生或因…而发生
follow-up|n. [C, U] 后续行动；后续事物
following|adj. 1 the following…（时间上）接着的
form|n. [C] 某事物的类型或种类
formal|adj. 1（花园、房间、建筑物）整齐的、布置井然有序的
former|adj. the former（两者中）前者的
haphazard|adj. [贬] 无秩序的；无计划的；组织混乱的
havoc|n. [U] 大混乱
heterogeneous|adj. [正式] 由很多种类组成的
hug|vt.（小路、交通工具等）有一段距离地挨着（某事物）
in|prep. 用于表明某事物的形式、形状、秩序等
irregular|adj. 时间不规律的
irregularity|n. [C, U] 时间不规律的事情
jump|vt. 略过…而跳跃到一个更远的点或阶段上。与skip相比，jump此时仅为及物动词
jungle|n. [sing.] 充满了各种东西且非常杂乱的一个地方，即杂乱之地
justify|vt. [术语] 调整打印文本的行列，使一边或两边整齐
kind|n. [C, U] 在某些方面相同的一些人或事物，即同类；也可指某种类型，即种类。是一个基础用词
latter|adj.（刚被提及的两个事物、人或群体中）后者的；（一个清单中）最后的、末尾的
layer|vt. [常用被动式] 把…分层摆放
layout|n. [usually sing.]（书页、花园、建筑、街道等的）布局、布置、设计、安排
line|n. 1 [C] 一行、一排或一列人或事物（每两个个体之间彼此挨着、或一个在另一个的后面）。是一个简单用词
line|vt. line sth (with sth) 常用被动式，沿着某事物形成行（或列、排）
lined|adj. -lined沿边缘有…的
litter|n. [sing.] litter of sth 不整洁地放置的一些东西
litter|vt.（某种东西）在一个地方乱七八糟到处都是（使此地看起来不整洁）
lunatic|adj.（一个地方或局势）混乱的、失控的
marshal|vt. [正式]（为某一目的而）安排一些人、事物或想法等
