abashed|adj. [不用于名词前] 为自己的所作所为感到尴尬而羞愧的
above|prep. 在品质上超过…
acceptable|adj. 不是非常好但已足够好的，如尚可的
ace|adj. [非正式] 非常好的、第一流的
advantage|n. 1 [C, U] advantage (over sb) 帮助自己（这个“自己”，可以是人，也可以是事物）并使自己比其他人更好（或更成功）的一个东西，可称为优势，有利条件，有利因素等
advantage|vt. [正式] 使某人比其他人（或比以前的自己）处于一个有利的位置
advantageous|adj. ~ (to sb)（在某种情况中）有利的、有好处的
against|prep. 对…不利
aggravate|vt. 使（疾病或糟糕的形势）恶化、加重
ambitious|adj.（一个想法或计划、工程等）需要耗费很多努力、金钱或时间才能成功的，如宏大的、艰巨的
amenity|n. [usually pl.] 某地的生活便利设施
appalling|adj. 1 极为恶劣的
arduous|adj.（尤指在一段时间或时期内）艰难的、艰苦的
ascend|vt.&vi. [正式] ~ (to sth)（境界）上升；升华
ask|n. [sing.] [非正式] a big ask可表示难以做到的事情，或棘手的事
atrocious|adj. 非常糟糕的、十分讨厌的
austerity|n. 1 [U] 苦行；禁欲
awesome|adj. [美，非正式] 非常好的、令人非常享受的等
awesome|adj. 令人感到非常困难的，也许还很吓人的
awful|adj. [非正式] 非常糟糕或非常令人不悦（即讨厌）的
awkward|adj. 1 令人感到尴尬或难堪的。是一个常规用词，极为常用
backfire|vi. ~ (on sb) 产生事与愿违的不良（或危险）后果
bad|adj. 1 令人不快的、满是问题的
bad|adj. [俚，尤美] 极好的、顶呱呱的
bad|adj. bad for sb/sth 不用于名词前，有害的、造成（或可能造成）损坏的
bad|n. [U] 坏的人、事物或事件
base|adj.（质量或价值）低劣的
beat|vt. 比…更好，如打破纪录或成就，即胜过，赛过
beautiful|adj. 非常好的，非常巧妙的，技巧非常熟练的
beauty|n. [C] 令人愉悦的特征，即好处，优点，相当于advantage。但远不如advantage常用
beneath|prep. [正式] 对某人来说不够好，即不如，配不上
beneficial|adj. beneficial (to sth/sb) 对于改善一种情况有利的，有益的，有帮助的，有用的，相当于advantageous或favourable
benefit|n. [U, C]（某事物所给予你的）优势；（某事物所具有的）用处或益处。是此义的常规用词，最为常用
benefit|vt.（在某个方面）对于某人（或对于改善其生活）有用，有好处
benign|adj.（条件、环境）良好的、宜人的
bind|n. [sing.] [英，非正式] 难以避免的困境、窘境
bind|n. [sing.] 令人不快的事物；无聊的事物
blessing|n. [C] 好事、有益之事、福气、福祉
blush|vi. 对某事感到尴尬
bonus|n. [C] 超出期待（即比期待的更多或更好）的任何令人愉悦的事物，即意外收获
boon|n. [C] ~ (to/for sb) 非常有用的东西、给生活带来便利的事物、很大的益处
bother|n. [U] 麻烦或困难
bother|vt. bother sb (about/with sth) 给某人造成麻烦或痛苦
bottom|vi. bottom out可指（价格、一种恶劣局势等）停止恶化
breeze|n. [sing.] [非正式] 轻而易举的事
brighten|vt.&vi. ~ (sth) (up)（使）好转
brilliant|adj. 1 极其巧妙的，或使人印象极其深刻的
bust|n. [C] [美] 不好的一个东西
calculated|adj.（风险）认为值得一试的，权衡考虑过的
cancer|n. [C] [文学]（迅速蔓延的）邪恶或危险事物，也可叫（社会）毒瘤
cap|vt. [尤英] 说得或做得比以往更有趣、更令人印象深刻等
capital|adj. [旧时，英] 出色的，极好的，相当于excellent
carrot|n. [C]（为说服某人，从而让其去做某事）所许诺的好处或报酬，相当于incentive
catastrophic|adj.（某事）极糟糕的、极不成功的
catch|n. [C, usually sing.] 暗藏的不利因素
catch|n. [C, usually sing.] 隐藏的困难或问题
catch|vt. 常用被动式，表示不知道该选那一边，即左右为难
celestial|adj.（某事物）美妙的、极好的
challenge|n. 1 [C]（可以考验某人的能力和技能的）一项新的或困难的任务，可称为挑战
challenge|vt. 1（尤指以一种有趣的方式）考验某人的能力和技能
challenging|adj. 1（人的行动）挑起人们与你的争论的，或表明你不赞同他们的
charming|adj. [讽刺，非正式]（表示对某人的行为评价不高）真是太好了
charter|n. [sing.] ~ (for sth) [英]（法律或政策的）不完善、漏洞、缺陷（这些漏洞有可能利于人们干坏事）
choice|adj. 只用于名词前，（尤指食物）品质极好的，如优质的、上等的
chronic|adj. [英，非正式] 糟透的
class|adj.（技能或风格）非常好的，出色的，是一种非正式用法，只作前置定语
class|n. [U] 令人印象深刻的一种优雅的风格或高超的技能
classic|adj.（电影、著作、音乐等）可作为典范的，即经典的，第一流的，最优秀的
clumsy|adj. 1（物体）难以移动的；难以使用的；设计欠佳的
coast|vi. [贬] coast (along)（做某事）不出多少力
competent|adj. 合格的、不错的（但不是非常好的）
complication|n. [C, U] 使形势或情况更复杂的事物，如困难、难题
compound|vt. [常用被动式] 使问题、困难、错误等原本就坏的事物恶化
