accompany|vt. 1 [正式] 与某人穿行（或与其一起去某地），即陪同
adhere|vi. ~ to sth [正式] 遵守、遵循（法律、规章、指示、原则等）
adherence|n. [U]（对规则等的）遵守
affiliate|n. [C] 隶属于…的一家公司、机构等，即附属机构、分公司等
affiliate|vt. [常用被动式] ~ sb/sth (with/to sb/sth) 使…隶属或使…并入一个更大的团体、公司或组织机构，或与其有关联（此时可指医生或律师等专业人士与…有正式关系）
affix|vt. [常用被动式] ~ sth (to sth) [正式] 把某事物附上（到另一个事物上）
amenable|adj. ~ (to sth)（人）容易控制的，愿意受…影响的，即顺从的
attach|vt. attach sth (to sth) 把一个事物附在（如固定在、连接在等）另一个事物上
attach|vt. attach yourself to sb（有时不受欢迎或未受邀请而）主动和某人待一段时间，如缠着
attached|adj. 1 [名词前不可用] ~ to sth 附属于某个组织机构的
attachment|n. [U, C] [英] 暂时（在某医院、学校、部队等）工作，即临时的隶属、委派
attend|vt. [正式] 与某人在一起并对其进行帮助，如陪同，随同
attendant|n. [C]（加油站、停车场、更衣室等的）服务员、侍者
attendant|n. [C]（要人的）侍从，随从
bow|vi. bow to 可表示屈从于压力或某人的意愿
chase|vt.&vi. ~ (after) sb/sth 为抓住某人或某事物而奔跑、驾驶等，即追赶、追逐、追捕
cling|vi. [常贬] ~ (to sb)（尤指情感上）依恋，依附某人
company|n. [U] 与别人在一起，且不孤单，即陪伴
complaisant|adj. [旧时] 愿意接受别人的做法或观点而不抱怨，别人让做什么就做什么，即对别人顺从的、殷勤的
comply|vi. ~ (with sth) 遵守一项规则、一条命令等
conform|vi. ~ (to sth) 在思想或行为上与群体或社会里的大多数人一致，如顺从、顺应、随大流
conformity|n. 1 [U] [正式] ~ (to/with sth)（对法律、社会规则、个人意愿等的）遵守、遵从
consort|vi. ~ with sb [正式] 花时间与别人眼中的坏人在一起，即厮混、鬼混
defer|vi. ~ to sb 遵从、听从（某人），即使不认同其观点，也遵从对方（因为你尊敬对方，或对方权威）
desk|n. [sing.] 旅馆、医院、机场或其他地方的接待处或咨询台、服务台（人们可在此办理相关手续或获得相关信息）
detached|adj. [褒] 不受别人（或自己的感情）影响的，如客观的、公正的
detachment|n. [U] [褒] 不受别人（或自己的感情）影响的一种状态，如客观、公正
escort|n. 1 [C] [正式或旧时] 陪同某人参加社交活动的人（尤指男人）
facility|n. [C] 可提供的额外服务（只是起到锦上添花的作用）
fall|vi. 属于（某个等级、类别、群体或责任范围）
follow|vt. 接受建议、指示等并依其行事
follow|vt.＆vi. 在…后面跟着，即跟随。是一个常规用词，最常用
help|n. [U] [尤美] the help 受某人雇佣以清洁住宅等的人，如仆人
hold|vt.＆vi. [正式] 遵守（诺言或高尚的行为准则）；使…恪守（诺言或高尚的行为准则）
impersonal|adj. 非指任何一个人的，客观的
keep|vt. keep your promise/word / keep an appointment 恪守（承诺）；遵守（约定）。是一个简单用词
maid|n. [C] 常构成复合词，一栋宅子的女仆、女佣人，或一家旅馆的女服务员
man|n. [sing.] [旧时，正式] 男仆
mind|vt. [美，爱尔兰] 注意某人所说的话并遵守之，即听从
obedience|n. [U] ~ (to sb/sth) 顺从、遵守、惟命是从
obedient|adj. ~ (to sb/sth) 顺从的；听话的；唯命是从的
obey|vt.＆vi. 告诉你怎么做就怎么做，即服从，遵从
object|n. [C] object of desire, study, attention等，可指某人所极欲得到、研究、注意等的对象（即某情感或反应的对象）
objective|adj. 1 不受个人感情或观点影响的，只基于事实来考虑的，即客观的
obligatory|adj. [常为幽默用法] 随大溜的
observant|adj. [正式] 严格遵守宗教教规和习俗的
observe|vt. [正式] 遵守法律、规则、习俗等
of|prep. 1 属于（某人）；关于（某人）
owe|vt. owe allegiance/loyalty/obedience (to sb) 正式用法，指忠诚于或服从于位高权重者
page|n. [C] 站在旅馆等门口为顾客提供开门等服务的一个男孩或年轻男子（通常身着制服）
pal|vi. pal around (with sb) [非正式，尤美] 和某人像朋友一样一起做事
proper|adj. [正式] proper to sth 属于某一类型事物的；在某种情况中（或在某个地方）天然享有的
pursue|vt. [正式]（尤指为了抓住…而）追赶、追逐某人或某事物
pursuit|n. [U] 对某人的跟随或追赶
reside|vi. ~ in/with sb/sth（权力、权利等）属于某人或某事物
resignation|n. [U]（对艰难或糟糕处境的）顺从、听任、耐心接受
respect|vt. 同意不违反法律、原则等，即遵守
satellite|n. [C] 受制于或依附于一个更大的城镇、国家或组织的一个城镇、国家或组织，即卫星城；卫星国；外围组织
servant|n. [C] 在另一个人的宅子里为其工作（例如为其做饭、做清洁等）的一个人，可称为仆人或佣人
serve|vt.＆vi. [尤英] 在商店或酒吧等场所中接待或服务顾客（即帮助顾客或向其售卖商品）
service|n. 1 [C] 由政府或私人公司向公众提供其所需服务的一套体系，即公共服务系统
service|n. [U] [旧时] 仆人的地位或身份
shadow|n. [C] 一直跟着其他人（或动物）的一个人（或动物），即形影不离的人或动物
society|n. [U] [正式] 与其他人在一起的状态，即相伴，交往，相当于company
subject|adj. subject to sth/sb 在…的权威之下，即受…支配的，服从于…的
subject|n. [C] 批评、研究或调查的对象
subjective|adj. 1 基于自己的想法或观点（而非基于事实），因此有时显得不公平的，即主观的（该义项带有一定的感情色彩）
submission|n. [U] 投降、屈服、归顺。相当于surrender
submit|vt.＆vi. submit (yourself) (to sb/sth) 接受某人或某事物的权威、控制或更大的掌控力，如投降、屈服、顺从；还可指因此而接受某事，即不得已而接受。相当于give up to sb/sth或yield
subsidiary|adj. 1 ~ (to sth) 辅助的、附带的。相当于additional
succumb|vi. ~ (to sth) 抵挡不住（攻击、疾病、诱惑等），如屈服、屈从
surrender|n. 1 [U, sing.] ~ (to sb/sth)（向军方或警方）投降
surrender|vt.&vi. ~ (yourself) (to sb)（向军方或警方）投降
tend|vt. [美]（在商店、酒吧等）招待或服务顾客
with|prep. 表示人的行为方式，包括表伴随
yield|vi. ~ (to sth/sb) 屈服
yielding|adj. [正式]（人）对别人顺从的，愿意按别人的意愿行事的
