above|prep.（因太善良、太正直而）不至于或不屑于（去做某事）
accountability|n. [U] 责任
accountable|adj. [名词前不常用] ~ (to sb) (for sth)（对自己的决定或行为）负有责任、负有解释的义务
animal|n. [C] 行为残暴、卑鄙下流的人，即衣冠禽兽、畜生
assiduous|adj. [正式] 工作勤奋且注重每一个工作细节的，如兢兢业业的、勤勤恳恳的
bad|adj. 道德上不可接受的，如不道德的、邪恶的
base|adj. [正式] 卑鄙的，不道德的
bent|adj. [英，非正式]（一个当权者）不诚实的、不正派的
black|adj. [文学] 邪恶的或不道德的
blame|n. [U] blame (for sth)（做坏事或错事的）责任；说某人应该为某件事负责（即责备，指责）
blow|vt. 非正式，指浪费机会
bribe|n. [C] 贿赂（即为了让对方替自己做非法之事而给予对方的钱财或贵重物品）
bribery|n. [U] 行贿
business|n. [U] 归某人或机构所管的事，即职责
buy|vt. 用金钱收买某人，使其做有违道德的事，相当于bribe，与sell相反
calculating|adj. [贬]（某人）工于心计的、精于算计的（通常会伤害其他人）
calculation|n. [U] [贬]（只考虑自己的利益而不考虑别人利益的）算计
calling|n. [C]（强烈想要去做某事的一种）使命感，尤指想帮助他人的一种强烈愿望，责任感
character|n. [C, usually sing.]（使不同的人或群体相互区别的）品质
charge|n. [C] 单数名词，表示任务、职责或责任，为正式用法
charge|vt. charge sb with sth 赋予某人一项责任或任务，为正式用法，常用被动式
chaste|adj. 1 [旧时] 与任何人均不发生性关系的；只与配偶发生性关系的。即贞洁的
cheap|adj. 1 地位低贱且因此而得不到尊重的，即卑贱的，可鄙的，为贬义
clean|adj. 不冒犯的；不涉及性的，无色情的；不做任何不道德的事或坏事的。如文明的
code|n. [C] 为社会或群体所接纳的道德准则或行为规范
commitment|n. [C] 已承诺（或已同意）去做的一件事；不得不去做的一件事。可称为责任
concern|n. [C, usually sing.] [正式] 某人负责的一件事
crawl|vi. ~ (to sb) [非正式，贬] 对权贵谄媚、巴结、拍马屁（尤指为了从中获得好处）
creditable|adj. [正式] 合乎道德的、高尚的
creep|vi. ~ (to sb) [英，非正式，贬] 谄媚、巴结、拍马屁
crime|n. [sing.] a crime 指不道德的行为，或大错，罪过，表示一种不满
criminal|adj. 道德上错误的，即不道德的；也可以是严重错误的（此时并不限于道德层面），表示一种不满
culpable|adj. [正式] 应受责备的；难辞其咎的
cunning|adj. [贬]（人）尤指通过欺骗别人来聪明地为自己获取利益的，如狡猾的、奸诈的
dark|adj. 邪恶的；阴险的；令人恐惧的
darkness|n. [U] [文学] 邪恶
decent|adj.（人或行为）正派的、公平的、待人有礼的
demon|n. [C]（使人担忧和不快的）邪恶事物，如心魔
despicable|adj. [正式]（一个人或其行为）邪恶且极其令人厌恶的，如可鄙的、卑鄙的
diligent|adj. [正式] 工作勤奋的、付出努力和心血的
dirty|adj. 常用于名词前，令人不悦的，或不诚实的
dishonest|adj. 不诚实的，旨在骗人的
dissipate|vt. [正式] 浪费或挥霍时间、金钱、精力等（尤指未经合理筹划而浪费）
dog|n. [C] [非正式，贬]（尤用于形容词后）用于描述做了坏事的一个人，如家伙，小人，无赖等
drone|n. [C] 懒惰且没为社会作出任何贡献的一个人，如游手好闲者、寄生虫
dutiful|adj. 尽职的、顺从且恭敬的
duty|n. 1 [C, U] 道德或法律上的责任，义务
ethic|n. 1 [pl.] ethics可指（对人的行为起指导作用的）道德准则、伦理标准
evil|adj. 1（人）以伤害别人为乐的；道德上恶劣且残忍的。如恶毒的、邪恶的
evil|n. 1 [U] [正式] 邪恶力量
excess|n. [pl.] excesses 不可接受的、非法的或不道德的极端行为，如放肆行为、越轨行为
executive|adj. [只用于名词前] 昂贵的、供重要人物使用的
extravagant|adj. 1（人）花很多钱的，购买很多不必要的东西的，即奢侈的、挥霍的、铺张浪费的
false|adj. 1（人的行为）不真的，或不真诚的
fine|adj. 只作前置定语，（人）好的，有道德的，值得尊敬的
flatter|vt.（口头上）奉承；讨好；向…谄媚
flattering|adj. 1（对某人或某事物）说奉承话的
