abate|vt.&vi. [正式]（使）减弱
ability|n. [C, U] 某事物的能力
able|adj. 1 able to do sth 用作情态动词，指拥有做某事所需的技能、智力、机会等，即能、能够
accordingly|adv.（尤用于句首）因此，所以
act|vi. act (on sth) 对…产生作用或影响
act|vi. act as/like sth 充当某一角色，起作用
action|n. [sing.] 某个组织机构的功能、作用
active|adj. 定期进行某项活动的；起作用的
active|adj. 有化学作用的；产生化学作用的；（化学上）有效的
active|adj.（参与某事）积极的，做出积极的努力而非让事情自己去发生的。是一个常规用词
adept|adj. ~ (at/in sth) | ~ (at/in doing sth) 善于做难事的
affect|vt. 常用被动式，在某人或某事物中产生一个变化，即影响
after|prep. 由于（或鉴于）已发生的事
after-effect|n. [C, usually pl.]（药物的）后效；（疾病的）后遗症；（坏事的）后续结果或影响
aftermath|n. [usually sing.] 重要事件（常是坏事，尤指战争、事故等）的后果
agent|n. [C] [正式] 对一种情况产生重要影响的一个人或事物
amateur|adj.（从行为的结果上看）被做得不好的，或技能生疏的，即显得业余的，外行的，生手的，相当于amateurish，反义词为professional
amateur|n. [C] 常含贬义，技能不熟练的一个人，即生手，外行。反义词为professional
and|conj. 结果是
apogee|n. [sing.] [正式] 最高点、顶点
argument|n. [C] argument (for/against sth) / argument (that ...) 某人为论证…之正误或真假等所给出的一个（或一组）理由，即论据
arise|vi. [更正式] arise (out of/from sth) 由某一情况所引起，或因某一情况而产生
arouse|vt. 使人活跃起来并想要开始做某事
arouse|vt. 引起某人的某种感情或态度
arouse|vt. 激起某人的某种感情或态度
as|conj. 因为，由于。此时与because在词义上未见明显区别，只是远不如because常用
ascribe|vt. ~ sth to.. [正式] 把…归因于…
assert|vt. ~ itself 生效、开始起作用
association|n. [U] 事物间的因果关系
at|prep. 与形容词连用，表示某人因某事而…，即因为
at|prep. 应…而…，如应邀或应某人的请求，为正式用法
attract|vt. 使人们产生某种反应（reaction）
attribute|vt. ~ sth to sth 把…归因于…
authority|n. [U] 因人们对某人的知识或官方职位的尊敬，而使该人具有的影响他人的能力，即权威，威信，影响力
away|adv. 直到完全消失；渐渐地变得不重要；逐渐变得不同
back|adv. 回复或报复地
bad|adj. bad at sth/at doing sth（一个人）不擅长做某事的，相当于poor
barren|adj. [常用于名词前] 不会产生有用（或成功）的结果的
basis|n. 1 [sing.]（人们采取某种行动的）缘由，原因，理由
be|auxiliary verb. 与过去分词连用，构成被动语态
bearing|n. [U] ~ on sth 影响
because|conj. 因为。是此义的常规用词，最为常用
beginner|n. [C] 初学者
behave|vi. [术语] 以某种方式自然地反应等
behind|prep. 是某种情况背后的原因
big|adj. [非正式]（一个人在某个组织内、活动中或地方）有影响力的；或有权威的
bind|vt. ~ sb (to sth)（通过让某人发誓，或将某项职责赋予此人来）迫使（其去做某事）
blunt|vt. 使…减弱，使…效应降低
bottom|n. [C] 根本原因
break|vt.＆vi. 使…变弱；变弱
breed|vt. 导致
bring|vt. 1 引起，导致
bring|vt. bring yourself to do sth 强迫自己做某事
bulldoze|vt. ~ sb (into doing sth) 强迫某人去做某事
bully|vt. ~ sb (into sth/into doing sth)（某人）迫使、胁迫（弱小者去做某事）
businesslike|adj.（人）工作效率高且井然有序的、不浪费时间考虑私人事情的
by|prep. 常用于表被动的动词后，以表明动作或行为的发出者或造成者
by|prep. 用于不带the的名词前，表示某事的发生是由于…
call|n. [U] no call (for sb) to do sth 对某人的行为来说没有理由
can|modal verb. 1 表示（某人或某事物）有能力（或有机会）去做某事，或某事能够发生
capability|n. [C, U] ~ (to do sth/of doing sth) 做某事所需要的能力
capable|adj. 1 ~ of sth/of doing sth（某人或某事物）有做某事所必须的能力或才能的
capacity|n. 1 [C, usually sing., U] ~ (for sth/for doing sth) / ~ (to do sth) 理解力、领悟力、办事能力
capture|vt. ~ sb's imagination 启发某人的想象力
carry|vt. 具有某种结果或后果，即带来
case|n. [C, usually sing.] case (for/against sth) 在讨论等活动中用以支持一方的一系列事实或论据
cause|n. 1 [C] 是某事发生的原因，起因（可以是人、事物或事件）
cause|vt. 使某事（尤指坏事或令人不快的事）发生
claim|vt. 引起某人的注意
clean|adj. 执行得熟练而精准的
clever|adj. [尤英] clever (at sth) 熟练的，灵巧的
climax|n. 1 [C] 重要事情或时刻（通常临近结尾）的高潮、最精彩之处
clout|n. [U] 势力；影响力
coerce|vt. ~ sb (into sth/into doing sth) [正式]（通过威胁）迫使某人去做某事
come|vi. 用于疑问句，表示为什么
comeback|n. [C] [非正式] 对批评性言论作出的快速回应
compel|vt. [正式] [不用于进行时] 引起某种反应
compel|vt. [正式] 强迫某人去做某事
competence|n. 1 [U, C] competence (in sth) / competence (in doing sth) 也可用不太常用的competency，指将某事做好的能力，可称为胜任
competent|adj. ~ (to do sth) 有足够的技能或知识能把某事做好的，或能达到必要的标准的，如足以胜任的、称职的
compulsion|n. [U, C] ~ (to do sth) 对某人的强迫、强制（即强迫其去做其不想做的事）
compulsory|adj. 因法律或规则而必须得到执行的，如强制性的，相当于mandatory。与voluntary相反
condemn|vt. condemn sb to sth 迫使某人接受一个困难或令人不快的情况，相当于doom，常用被动式
condition|vt. 对某人或某事物有一个重要影响；影响（某事物的发生方式）
consequence|n. [C] consequence (for sb/sth) 已发生之事件的结果。虽然是一个中性词，但常表示不好的结果
consequently|adv. 因此，所以
consign|vt. [正式] ~ sb/sth to sth 将某人或某事物置于令人不快的境地
contribute|vi. contribute (to sth) 是…的原因之一
corrode|vt.&vi. 使…更糟，即比喻意义上的侵蚀，也可称为“削弱”
could|modal verb. 1 用于作为can的过去式，表示能够
court|vt. [正式] 做可能导致不良后果的事，即招致
crack|adj. [只用于名词前]（士兵或运动员）训练有素的、技艺高超的、优秀的
create|vt. 引起、造成或产生（某种感觉或印象）
credentials|n. [pl.] ~ (as/for sth)（某人做某事的）资格、资历
crescendo|n. [C] 强度的最高点
crest|n. [usually sing.] ~ (of sth) 鼎盛时期，巅峰状态
culmination|n. [sing.] [正式]（常指某事发生长时间后的）高潮、顶点
culprit|n. [C] 造成问题的一个人或事物
damp|vt. 抑制或减弱（感情等）。相当于dampen
decide|vt.＆vi. 影响（或决定）某事的结果
defenceless|adj. 无防御能力的
dent|vt. 削弱
depressed|adj. 低于一般水准的，如削弱了的
developed|adj.（技能）成熟的
dilute|vt. 削弱；降低效果
dim|vt.&vi.（使）感觉、感情或品质减弱
diminish|vt.&vi.（使）减弱等
diminution|n. [U] ~ (of/in sth) [正式] 削弱
dismal|adj. [非正式] 不熟练的
dispose|vt. [正式] ~ sb to/toward(s) sth 使某人以某种方式行事
draw|vt. draw sth (from sb) 产生、引起或激起（反应或回应）
drive|vt. 1 驱使或迫使某人做出某种行为
due|adj. due to sth/sb 因为，由于。既可用于系动词后，也可用于句子中间起连接作用
dynamic|n. [sing.] [正式] 产生变化、行动或效果的力，即动力
easy|adj. 只用于名词前，易受攻击的，无自卫能力的
ebb|vi. ~ (away) 逐渐减弱
echo|n. 1 [C] 想法、事件等的映现（即与另一者相似，并使你想起另一者），也可指使你想起其它事件的一个事件
echo|vt. 附和一个观点
effect|n. 1 [C, U] effect (on sb/sth) 某事物引起的变化，效果，影响，效应。是一个基础和常规用词，最常用
effective|adj. 有效的，能产生预期效果的，能成功的
effectiveness|n. [U] 有效性
efficiency|n. 1 [U] 做某事的效率（即不浪费时间或金钱）
efficient|adj. 效率高的（即不用浪费很多时间、金钱或精力就能把事情做得完好通透的）
eloquent|adj.（尤指在公共场合）雄辩的、有口才的
enable|vt. 使某人有机会去做某事
enforce|vt. ~ sth (on/against sb/sth)（权威方）强制执行或实施（法律或规定、措施）（通常对违抗者进行惩罚）
engender|vt. [正式] 引起某种感觉、气氛、情况等
entail|vt. 不可避免地牵涉到某事物，即使…必然发生、势必造成
equal|vt. 导致…，或结果为…
erode|vt.&vi. [常用被动式] ~ (sth) (away)（使）（权威、权利、信心等）逐渐丧失、削弱
erosion|n. [U]（权威、权利、信心等的）逐渐丧失，削弱
excellent|adj. 善于
excite|vt. excite sth (in sb) 使某人以某种方式感到某种情感或反应，即激发，引起，引发，相当于arouse
experienced|adj. ~ (in sth) 在某项工作或活动上有经验的、有阅历的、有见识的、老练的
expert|adj. 1 expert (at/in sth) / expert (at/in doing sth) 在行的，内行的，经验（或知识）丰富的
faculty|n. 1 [C, usually pl.] 一个人天生的身体或智力上的官能、天赋
fade|vt.＆vi. 变得（或使…变得）更苍白或暗淡（如褪色，使褪色；光线逐渐变暗或声音逐渐变弱）
faint|adj. 不热情的、不积极的、敷衍的
fallow|adj.（一段时期）不产生任何东西的、不成功的
falter|vi. 变得更衰弱，如衰退、衰落
feeble|adj. 1（人或组织机构）软弱的、懦弱的
feeble-minded|adj. 无决断力的、优柔寡断的、意志薄弱的
feedback|n. [U] 对某事物（或某人的作品）的好坏或有用性所反馈的意见、批评或信息
fluency|n. [U, sing.]（做某事）熟练自如，流畅
fluent|adj.（动作）流畅熟练的
fluid|adj. [正式]（动作）流畅优美的
follow|vt.＆vi. 1 follow (from sth) 是…的逻辑结果
following|prep. 由于
foment|vt. [正式] 挑起麻烦、煽动暴力、使情况更糟
for|conj. [旧时或文学] 用于为已做的陈述引入原因或理由，即因为，由于
for|prep. 用于某些形容词、名词或动词词组之后，引出动词不定式的执行主语
for|prep. 用于表明原因或理由
for|prep. 用于表示功能
force|n. 1 [U] 武力，肢体力量
force|vt. 1 force sb (into sth/into doing sth) 常用被动式，表示强迫或迫使某人做其不愿做的事，可以是人迫使人，也可以是情况或事件迫使人，与compel同义。是一个常规用词
form|vt. 对…的发展有影响
foundation|n. [U] 根据、依据
fresh|adj. fresh from sth 刚从某地来的；刚有过某种经历的
from|prep. 表示…的原因或理由，即因为，由于。是从原因的来源之角度给出的定义
fruitless|adj. 没有产生有用的结果的，即无成效的
fulfil|vt. 起…作用
function|n. [C, U] 作用，功能，机能，职能。是“功能”的常规用词
function|vi.（作为某物而）起作用
futile|adj. 徒劳的（即因为没有机会成功而变得没有意义的）
futility|n. [U] 徒劳
gauge|n. [usually sing.] ~ (of sth) 用于估计或判断的事实，如依据、尺度、标准
generate|vt. 引起、导致
get|vt. 1 使，让，说服等（某人或某物去做某事）。不过含义远不如let和make广泛，算是一个简单用词，也算常用
give|vt. 使某人产生某种感觉
good|adj. 1 good (at sth/at doing sth) 能把某事做好的，即擅长的、精通的、能干的
grasp|n. [usually sing.]（获得或实现…的）能力
great|adj. [非正式] great at (doing sth) 通常不用于名词前，能把某事做好的，如擅长、精通
great|adj. 有很高的地位或很大影响力的
green|adj. [非正式] 指人幼稚的、缺乏经验的
greet|vt. greet sb/sth (with/as sth) 常用被动式，以某种方式对…做出反应。主语一般是引起反应的事物或事件等（此时与receive类似，二者一般可互换）
grip|vt. 一种情绪或形势对某人或某事物产生强烈影响
ground|n. [C, usually pl.] ground for sth/for doing sth（言语、行为、信念或信仰的）良好或真实的理由，根据
hand|n. [sing.] hand in sth 某人或事物在某种情况中所扮演的角色或所起的作用，或某人在某种情况中的影响力
handy|adj. 不用于名词前，（用手或工具来制作或修理东西时）技能熟练的
hard|adj. 用很多（或很大）力量来被完成的，如用力的
have|vt. 1（也可用have got）把…放在（或保持在）某个位置
heavy|adj. 以很大力量落下或击打…的
hefty|adj. 很用力的
height|n. 1 [sing.] 事物所处的最佳点或最强点，也可叫顶点
hence|adv. [正式] 因此，所以
here|adv. here to do sth 用于表示某人在某种情况中的角色或作用
hold|vi. 置于offer或invitation之后，可表示（报价或邀请）有效
hopeless|adj. [尤英] hopeless (at sth)（人）在某事上极差的，没有能力的，或缺乏技能的，相当于terrible
hot|adj. [非正式] hot at/on sth 只作表语，指非常善于做某事，对某事了解很多
hound|vt.（常指通过不断批评而）逼迫（某人辞职或离开某地）
