abroad|adv. [正式] 被很多人谈论或感觉到，即广为流传
accept|vt.＆vi. 愿意拿别人所给予的东西，即接受，如接受建议、邀请等。是一个常规用词，含义最广，也最常用
acceptable|adj. 1 为社会上的多数人所认同的、认可的
acceptance|n. 1 [U, C]（对礼物、邀请、建议等的）接受
accord|vt. [正式] ~ sth to sb/sth / ~ sb/sth sth 给予、赠予、授予（权力、地位、某种待遇）
accredit|vt. [术语] [常用被动式] ~ sb to… 委任给某人一个官方职位，尤指委任其为大使
acquire|vt. 1 [正式]（通过自己的努力、能力或行为表现）获得或得到某事物（本组强调通过努力而“获得”的词有attain、obtain、acquire、secure，有时可互换，不过要注意实际用法中可能存在的其它细微差别）
acquisition|n. [U] 获得某事物（尤指知识、一种技能等）的行为
administer|vt. [正式] ~ sth (to sb)（尤指正式地）给予、提供
afford|vt. 将…提供给某人，为正式用法。主语可以是物
after|prep. 尝试去找到、得到或抓住…
agreeable|adj. [正式] ~ (to sb) 可被某人接受的
allocate|vt. allocate sth (for sth) / allocate sth (to sb/sth) / allocate (sb/sth) sth（为某一目的）正式将某事物给予某人或其他事物，如划拨、分拨、分配
allocation|n. 1 [C] 划拨的款项；拨给的场地；分配的东西
allow|vt. 让某人拥有某事物，即给予。不过有一种“允许对方…”的色彩，相对正式
alternative|n. [C] 在两个或更多可能性之中你可选择去做的某事（或可选择去拥有的某事物）
appoint|vt. appoint sb (to sth) / appoint sb (as) sth 选择某人去做某项工作（或出任某一职位、承担某一职责），即任命，委任
appointment|n. [C, U] appointment (as/to sth)对某一职位所进行的任命或委任；被任命或被委任
appropriate|vt. [正式] appropriate sth (for sth) 为某一用途而拿取（或给予）某事物（尤指金钱，此时可称为拨款）
around|adv. 现成可用或可获得
ascribe|vt. ~ sth to sb/sth [正式] 认为…具有某种品质或属性
assign|vt. ~ sb (to sth/as sth) 把一项特定的任务或一个职位指派给某人
assign|vt. ~ sth (to sb) / ~ (sb) sth 分派工作或布置任务给某人
assignment|n. 1 [U]（工作、任务等的）分派、布置
assimilate|vt. [常用被动式] ~ sth into/to sth 使吸收，使接受（想法、态度等）
assume|vt. [正式] 开始拥有（权力），取得（权力），相当于take
assumption|n. [C, U] [正式] assumption of sth（权力的）开始拥有，即取得
attain|vt.（通常在付出很多努力之后）成功获得或取得某东西
attribute|vt. ~ sth (to sb) 将罪责、品质等归于某人或某事物
availability|n. [U] 可获得性
available|adj.（事物）可获得（或得到）的、可买到的、可找到的
award|n. [U] 正式决定给予某人某事物，如学业证书的授予
award|vt. award (sb) sth / award sth (to sb) 正式决定（或裁定）将某事物给予某人，作为一种偿付或奖励等，如授予、奖励、判给等
before|conj. [正式] 宁愿…而不愿…
blackmail|n. [U]（用手中掌握的关于别人的秘密来）勒索钱财
blackmail|vt. ~ sb (into doing sth) 通过威胁（或用手中掌握的关于别人的秘密）来勒索钱财
bleed|vt. [非正式] bleed sb (for sth) 长期榨取某人的钱财或其他资源。强调时间上的长期性、不间断性以及对对方造成长期持续性的伤害。可理解为形象化的“放血”
borrow|vt. borrow sth (from sb/sth) 借用别人的东西（以后归还）
bring|vt. bring sb/sth sth / bring sth to sb/sth 将…提供给…。是一个简单用词
broadcast|vt. 将某事告诉给很多人，即传播信息（如散布、宣扬等）
capture|vt. 成功夺得（别人也想夺得的某事物），即争得
carry|vi.（声音）传播得很远
carry|vt. 赢得某人的支持或同情；劝说某人接受你的论点
certify|vt. [常用被动式] ~ sb (as sth) 颁发（或授予）专业合格证书
choice|adj. 只用于名词前，choice words/phrases 字斟句酌的，仔细推敲过的
choice|n. 1 [C] choice (between A and B) 在两个或更多可能性之间进行的选择；可供选择的事物。是一个基础和常规用词
choose|vt.＆vi. choose (between A and/or B) / choose (A) (from B) /choose sb/sth as sth 在一些现成的人（或事物）之间进行选择
circular|adj.（一封信）在一大群人中间送达或传阅的
circulate|vt.＆vi.（故事、思想、信息等）流传或散布
circulation|n. [U] 在人与人之间传递、流传、流通
cite|vt. [正式] [法律]（在案件中）正式提出某人的名字
claim|vt. 赢得（冠军、奖励等）
clinch|vt. 成功赢得
collect|vt.＆vi. 收到（某事物）；赢得或获得（某事物）。不常用
command|vt. 某人因其所具有的特殊品质而应得或赢得（尊重或服从等）
commend|vt. [正式] ~ sb/sth to sb 把…托付给某人照看
commend|vt. [正式] 受到赞同、得到认可
commission|n. 1 [C] 在艺术、音乐等领域可指（请某人作建筑设计或作一幅画等的）正式委托（受托人得到一定报酬）
commission|vt. 正式委托某人（让其谱写、制作或创作艺术、音乐等作品）
confer|vt. [正式] ~ sth (on/upon sb) 授予某人学位、或权利
consign|vt. [正式] ~ sb/sth to sth（为摆脱某事物而）把某人或某事物交付给…
contagion|n. [C] [正式] 不良事物（如不良思想、态度、感情等）在人与人之间的快速传播
contagious|adj.（感情、态度等）感染性的，会迅速蔓延开的
cost|n. [U] 为做某事（或实现某个目标）而付出的努力、代价、损失
cost|vt. 1 引起…的损失或丧失
count|vt.＆vi. 被正式接受、接纳或认可；正式接受、接纳或认可
credible|adj.（因候选人、政策、体系等看似可能成功而）可接受的
decline|vt.＆vi. [正式] 礼貌地拒绝接受；礼貌地拒绝去做某事。常翻译为“谢绝”
delegate|vt.&vi. ~ (sth) (to sb)（将自己的部分工作或权力）委托或授权给下级人员
delegation|n. [U] 将自己的工作职责委派、委托给别人的过程。如授予；委托、委派
deliver|vt.＆vi. deliver (sth) (to sb/sth)（将信息等）发送（至某地或交由某人）
denial|n. [C, U] (a) ~ of sth 拒绝给予某人其有权拥有的东西，即剥夺（别人应有的权利）
deny|vt. 拒绝承认或拒绝接受某事
deprivation|n. [U] 对自己所需要或想要的东西（如食物、金钱、住房等）的剥夺
deprive|vt. deprive sb/sth of sth 使某人不能享有某事物或不能做某事（尤指重要的事物或事情），即剥夺，使丧失
derive|vt. [术语]（从…中）提取（某种物质）
derive|vt. [正式]（从…中）得到，获得（快乐、好处等）
deserve|vt.＆vi.（由于某人或某事物既往的表现或身份而）应得到某事物，即应得、应受
designate|vt. ~ sth (as) sth / ~ sth (as being sth) 官方命名或官方宣布…具有某个特征；以某种方式描述某事物
detach|vt. [术语] 派遣一队士兵等，尤指让其去执行特殊任务
detachment|n. [U] 分遣
detail|vt. 官方或正式命令某人（尤指士兵）去执行某项任务，如派遣
direct|vt. [正式] direct sth to ... 把信件等送到某个地方或交给某个人
disappearance|n. 1 [U, C] 某人的失踪
disperse|vt.（使）散播到一个广大的区域
disposition|n. [C, U] [法律]（财产、金钱的）正式给予或分配，如赠予、让与、分配
disseminate|vt. [正式] 传播知识、散布信息等（使其为很多人知晓）
draft|vt. 选派或抽调某人（让其去某地执行特殊任务）
draw|vt. draw sth (from sth) 得出（结论）；得到（教训）；取得（力量等）
due|adj. due (for) sth 应得到，应有，不用于名词前
due|n. [U] sb’s due 在权利上应归属于某人的东西
earn|vt.（通常因为某人拥有好的品质，或做了好的事情而使其）获得应得的东西
echo|vt. 在一种情况或一群人中被持续讨论并仍具有重要性和影响力
elect|vt. elect to表示选择（去做某事），为正式用法
embed|vt. [常用被动式] 向战地派遣通讯记者或摄影记者等
embrace|vt. [正式] 接受一个想法、主意、建议、观点、政治体制、信仰等，尤指热情地接受
emotional|adj.（事物）有感染力的
emotive|adj. 有感染力的、激动人心的。相当于emotional
endow|vi. be ~ed with sth 天然具有某种特征、品质等
enlist|vt. ~ sth/sb (in sth) / ~ sb (as sth) 劝说某人帮助你或劝你加入做某事的行列，可翻译为争取、谋取、取得、赢得
excerpt|n. [C] ~ (from sth) 从文字、乐曲、影视等作品中节选出来的一小段
excerpt|vt. ~ sth (from sth)（从文字、乐曲、影视等作品中）节选、摘录
exploit|vt. [贬] 不公平地对待某人，让其干得多赚得少，即剥削、压榨
exploitation|n. [U] 剥削、压榨（以从被压榨者的劳动中获取更多利润）
extend|vt. [正式] ~ sth to sb 将某事物给予某人
extort|vt. ~ sth (from sb) 通过威胁（或其它不正当的手段）来使别人把…给你，如敲诈、勒索、强取
extortion|n. [U, C] 敲诈、勒索
extract|n. [C] ~ (from sth) 从一本书、一篇乐曲等中摘录的一小段内容（该内容能让你对作品全貌有个了解）
extract|n. [U, C] 用某种特定工艺从…中提取的一种物质
extract|vt. ~ sth (from sb/sth) [贬义] 为了自己的利益而攫取、谋取
extract|vt. ~ sth (from sb/sth) 从…中提取一种物质（例如利用工业或化学工艺来提取）
extract|vt. ~ sth (from sb/sth) 从一本书、一台电脑等事物中选取或摘录信息（以将其用于某一目的）
feed|vt. feed A (with B) / feed B into A 向某人或某事物供应某东西，即供应、供给
field|vt. 让一个候选人、演讲者、团队等代表你去参加一场选举或比赛等
fill|vt.（公司或机构）委派某人去担任一项职务；（某人）接任
filter|vi.（信息、新闻等）慢慢传开
find|vt. 使某事物现成可用（以便去使用），即现有可用，或使现有可用。也可叫得到
fingerprint|vt. 提取某人的指纹
fleece|vt. [非正式] 通过耍手段（如欺骗）或索要过高的价钱来赚取大量钱财，即欺诈、敲诈、敲竹杠
flow|n. [C, usually sing., U] flow (of sth) 某事物的持续生产或供应
flow|vi. flow (back/down, etc.) / flow (into, through, etc. sth)（信息）稳定且持续地向一个方向移动，即流动
flow|vi. 可被轻易且大量地获得，如有的是、大量供应
for|prep. 为了得到或获取…
for|prep. 用于表明意在让谁拥有或使用…，或意在把…放在某个地方
forthcoming|adj. [名词前不可用]（被需要的时候）随时可用的、随时准备好的，相当于available
forward|adv. 为某一目的而被提供，即呈上前，走上前或提出来
forward|vt. [正式] 向某人发送（或传递）商品
fountain|n. [C] 某事物的丰富来源或供给，可称为源泉
free|adj. free with sth 常含贬义，指随便给出…，尤指所给出的东西不被需要
from|prep. 由某人发出或给出
gain|vt. 获得、赢得，尤指获得自己需要或想要的东西。是一个基础用词
get|vt. 1 无被动式，指收到…；接到…。含义极广，也极为常用，尤其常见于日常口语中，是一个最简单的用词
gift|vt. [英]（尤用于新闻通讯）把…白给某人（而不用其付出努力）
give|vt. 1 give sth to sb / give sb sth 给，把…交给某人。是一个基础用词，含义最广，也最常用
go|vi. [非正式] be going 可表示现成可用，可得到，相当于available
go|vi. 丢失或失窃。是一种生活化的简单用词，较为随意
go|vi. 被发送或被传递到某处
go|vi. 被给予。是一个简单用词，主语一般是事物（而不是人）
grab|vt.&vi. ~ sth (from sb/sth) 用手突然抓住以夺取
haemorrhage|n. [C, usually sing.] [英] [美用hemorrhage] ~ (of sb/sth) 一个国家、团体或组织机构内部的人员、资金等资源的大量流失
haemorrhage|vt. [英] [美用hemorrhage] 大量快速流失人员、资金等
hand|vt. hand sth to sb / hand sb sth 把…交给或递给某人
have|vt. 1（从某人处）收到或接到…
have|vt. have sb as sth 无被动式，在工作中可指让（或接受）某人承担某项任务。也是一个简单用词
here|adv. 用于将某东西给某人或出示给某人
here|exclamation. 用于向某人提供…
hustle|vt.&vi. [尤美，非正式] 取得…，常指用不正当或非法的手段取得，如谋取；骗取
infect|vt. 使某人、某地、某事物感染某种感情（即拥有和别人一样的感情）
infectious|adj.（感情）有感染力的、易传播的
