ajar|adj. [名词前不可用]（门）微开着的
back|n. 1 [usually sing.] back (of sth) 纸张、文件等的背面
back|vt. [英] 常用被动式，指位于某物的后面，尤指建筑物背朝…或背靠…
balance|vt.＆vi. balance (sth) (out)（在价值、数量等方面）抵消，相抵，相当于offset
belly|n. [C] [文学] 物体的圆形或凸起部分
blockage|n. [U] 被堵塞（或被阻塞）的状态
break|vi. 漏出开口或缝隙
bulge|n. [C] 某事物的鼓起、凸起
bulge|vi. 鼓出来、凸出来
choke|vt. choke sth (up) (with sth) 阻塞（通道等），塞满（空间等）
clear|adj. clear (of sth) 畅通无阻的，通行无障碍的；表面被收拾干净的，表面没有被什么东西覆盖的
clear|vi. 恢复畅通；不再受阻
cleft|n. [C] 下巴中线下方的凹口
close|vt.＆vi. 1（将门、窗、盖子等）关闭，关上（以盖住一个孔洞、缝隙或开口等）；或（门、窗、盖子等）关闭，关上
closed|adj. 1 [名词前不可用] 关闭的
closet|vt. 把…关在房间里（尤指为了私下会谈或避免他人打扰）
closure|n. 1 [C, U]（工厂、学校、医院等）永久性的停业、倒闭
collapse|vt.&vi.（内部有气体或液体的事物）萎陷、内陷、瘪掉（如降落伞、肺、血管等）
compensate|vi. compensate (for sth) 弥补，抵消坏事造成的影响，相当于make up for
compensation|n. [C, usually pl] ~ (for sth) 对不利局面的补偿
concave|adj. 轮廓或表面凹陷的
convex|adj. 轮廓或表面凸出的
counter|adv. counter to sth 指相反地、逆向地、反对地
counter|vt. 抵消坏事的影响，与counteract相同
counteract|vt. 抵消或减少某事（常是坏事）的影响
crack|vt. ~ (open) a bottle [非正式用法] 开瓶子，尤指开瓶饮酒
dent|n. [C]（尤指通过撞击）在坚硬表面弄出的一个凹陷
dent|vt.（尤指通过撞击）在坚硬表面弄出一个凹陷
depressed|adj.（平面上的一个点）凹陷的
disentangle|vt. 解开某事物的结或解开一些事物的缠绕
door|n. [C]（橱柜等的木头、玻璃或金属等材质的）门
extend|vi.（物体从一个平面或地方）伸出、凸出
extend|vi.（设备、家具等）展开，伸展
fasten|vt.＆vi. 某事物紧紧关闭而不会打开；使某事物紧紧关闭而打不开
free|adj. 无阻碍的，畅通的
gape|vi. ~ (open)（洞、伤口等）张开、裂开、豁开
groove|n. [C] 坚硬表面上切割出的一个长且窄的沟槽、辙、纹
hollow|n. [C] 凹陷处、低洼处
hollow|vt. 使凹陷
hump|n. [C] 某事物的平面（尤指地面）上的一个大隆起物
idle|vt. [美]（尤指暂时地）关闭工厂
inflate|vt.&vi.（使）充气
inflated|adj. 被充了气的
inflation|n. [U] 充气
jam|vt.＆vi. jam (sth) (up) 变得不能移动或不能运转；使…变得不能移动或不能运转
lug|n. [C] [术语] 某事物上凸出来的一个部分，作为手柄或支撑物
niche|n. [C] 壁龛（墙上放神像的一个凹进去的小空间）；山体凹进去的地方
off|adv. 关掉
offset|vt. ~ sth (against sth) 抵消、弥补、补偿。可以是经济上抵消，也可以是其它方面抵消
open|adj. 1 允许事物或人从中通过的，即开放的，敞开的
open|vt. 1 把门、窗、盖子等打开
opening|n. [C, U] 使某事物打开或开放的行为或过程；某事物打开或开放的行为或过程。即开，打开，展开，开放等，与closing相反
opening|n. [C] 某人或某事物能够从中通过的一个空间或孔洞
peak|n. [C] 带窄尖的形状或边缘等
plug|vt. plug sth (up)（用一种物质或一块材料）将一个孔洞堵住或封住
pole|n. [C]（对立或相反的）任何一方（如品质、观点或信仰截然相反的两极），即极端
project|vi. 从一个边缘或平面突出来，相当于protrude，为正式用法
projection|n. [C] 突起物、隆起物
prominent|adj. 从某事物中突出来的
protrude|vi. [正式] ~ (from sth) 从一个地方或平面凸出来
pry|vt. [尤美] 用力分开…、强行敲开…
recess|n. [C] 墙上的凹陷空间，如壁橱、壁龛
resistant|adj. 1 ~ (to sth) 对…有抵抗力的
retrieve|vt. 扭转颓势
reversal|n. [C, U] ~ (of sth)（过程、政策或趋势的）颠覆性的改变，如彻底转变、逆转、反转
reverse|adj. 1 相反的
reverse|n. 1 [sing.] the reverse可指相反的情况（或事物）
reverse|vt.（趋势、过程等）逆转、转变到对立面
reversible|adj. 1（衣服、材料等）可翻转的；可两面穿的；正反两用的
ridge|n. [C] 某事物表面上的一个线状隆起：两个斜坡的交叉点
ridge|vt. [常用被动式] 使某事物表面形成脊状隆起
sag|n. [U, C, usually sing.]（尤指由于承重或压力导致的）中间下凹
sag|vi.（尤指由于承重或压力）中间下凹
seal|n. 1 [C] 容器、机器等上的密封装置，如一种物质，或一个金属条等，用以填充裂缝，从而防止空气或液体等进出；还可指容器或开口等的封了的部分
seal|vt. 1 seal sth (up/down) 把信封等物品开着的一端用胶封上
shut|adj. 不用于名词前，关闭，合拢，相当于closed
shut|adv. 关闭，合拢
shut|vt.＆vi. 使某事物关闭；变得关闭（或合上）
slam|n. [C, usually sing.] 猛关；也可指猛关的声音
slam|vt.&vi.（使…）砰地关上（即用力且大声地关上）
spread|vt. spread sth (out) (on/over sth) 展开或打开折叠品，让其覆盖一个更大的区域
stick|vi. stick out 可表示（从一个物体表面）伸出
stop|vt.＆vi. stop sth (up) (with sth) 堵塞孔洞或开口等
stoppage|n. [C] 某事物不再向前移动（或被阻塞）
sunken|adj. 1（只用于名词前）低于周围平面的、低洼处的
swell|vt.＆vi. swell (sth) (out) 凸出，鼓出；使凸出，使鼓出
temper|vt. [正式] ~ sth (with sth)（通过添加带有相反效果的事物来）缓和…
through|prep. 通过一个障碍、阶段或测试
thrust|vi. ~ up/out of sth 凸出地露在外面
tight|adj. -tight 构成复合词，指不允许所提到的某种物质进入的，如不漏…的；不透…的；防…的
to|adv.（尤指门）关着、闭或关上
tooth|n. [pl.] teeth 可表示物体突出来的齿状部分，即齿（如梳子、锯子、齿轮或拉链等物品的齿）
unfold|vt.&vi.（使）（先前折叠的事物）展开、展平
unravel|vt.&vi. 把纠缠、交织或打结在一起的线解开、拆散
up|adv. 以便关闭
