abuse|vt. 1 误用或滥用（即用得太多）而伤害身体健康
access|n. [U] access (to sth) 使用某事物的机会或权利
access|vt. [正式] 使用某事物
adopt|vt. 1 采用（某种方法）；采取（某种态度）。是此义的常规用词
adoption|n. [U]（对一个想法、计划、名字等的）采用
aid|n. [C]（自己所使用的）用于帮助自己做某事的一件物品、一台机器等
aim|n. [C] 某人想要达成的目标（在此义项下，与goal、target和object有时可互换）
aim|n. [U]（武器或其它物体的）对准，瞄准
aim|vi. aim (at doing sth) / aim (at/for sth) 力争（或计划）做到，即以…为目标
aim|vt.＆vi. aim (sth) (at sb/sth) / aim (for sb/sth) 对准，瞄准。是此义的基础用词
allow|vt. allow sth (for sb/sth) 为某一目的而确保拥有足够的某事物（如时间、金钱、食物等），如留出，给出
ambition|n. [C] ambition (to be/do sth) / ambition (of being/doing sth) 非常想去做（或去实现）的事情，有时可称为目标，夙愿等，程度较深
antidote|n. [C] ~ (to sth) 消除坏事物效果的事物，如矫正方法、对抗手段
apparatus|n. [U] 某个活动或任务所需要的工具或其它设备，如仪器、器械、装置
appliance|n. [C] 家用电器
appliance|n. [sing.] 为某个目的所进行的技能或知识的应用
application|n. 1 [U, C] application (of sth) (to sth) 对某事物（尤指一个理论、一个发现等）的实际运用或应用
apply|vt. 1 apply sth (to sth)（在某种情况中）使用某东西或使某事物运行，如使用，采用
approach|n. [C] approach (to sth) 对待或处理…的一种方式，方法；做事或思考（如处理问题或任务）的一种方式，方法。相对正式
arsenal|n. [C] 用以达成目标的工具、方法、资源库
artifice|n. [U, C] [正式] 对诡计和策略的灵活运用
aside|adv. 留着晚些时候用
assertion|n. [U, C] 使用
at|prep. 在某个目标上
at|prep. 用于说明某事被执行的方式，即以（某种方式）
avenue|n. [C] 达成某事的一种选择、途径、手段
away|adv. 把…放在其应该在的地方，或把…藏起来
axe|n. [C] [尤英] [美式英语用ax] 斧子
bank|n. [C] 贮存某事物的地方，即库
basis|n. [sing.] 组织或安排事物的某种方式，即准则，基准，方式
bayonet|n. [C]（战斗中作为武器的，系在步枪前面的）刺刀
beaker|n. [C] 化学中的烧杯
bin|n. [C] [英] 垃圾桶、垃圾箱
bin|vt. [英，非正式] 扔掉、丢弃
blade|n. [C] 刀、工具（如斧头、锯）或机器上的用于切割的扁平部分，即刀刃、刀片
blunt|adj.（刃或尖端）不锋利的，即钝的
blunt|vt. 使尖端或刃变钝
bolt|n. [C]（与螺母相对应的）螺栓
brush|n. [C] 刷油漆的刷子
by|adv. 表示保存或保留某事物以供将来使用
by|prep. 表示（动作或行为的）方式
cache|n. [C] 隐藏的储存物（如武器），秘密贮存物
cache|vt. 把某些事物（尤指武器）藏在一个秘密的地方
carry|把想法或方法发挥（或运用）到某种程度
channel|n. 1 [C] 人们用于获取信息、进行沟通交流、或把…送至某处的方法或系统，即途径、渠道
check|n. 1 [C] 用于美式英语，coat check 可指（俱乐部、餐馆等衣、包的）寄存处，存放处
check|vt. [美] 在俱乐部、餐馆等地方时，将外套、箱包等寄存在一个正式的地方
chip|n. [C] 从木头、玻璃等物体上掉下来的碎屑、碎片、碎渣
come|vi. 用于疑问句，表示如何
console|n. [C]（机器、电子设备等的）控制台、操纵台、仪表板
consumption|n. [U] 做某事或说某话供某个人（或群体）享用（即使做事者或说话者的内心真实想法非常不同）
contrivance|n. [C] [正式] 为某一目的而制作的精巧或复杂的装置或工具
course|n. [C] 在某种情况或处境中的做法
cover|vt. 用枪瞄准一个地方或一个人（以致无人可逃跑或开枪）
cutlass|n. [C] 旧时水手和海盗用的短弯刀、短剑
dagger|n. [C] 两侧有刃的短剑，也可称为匕首
debris|n. [U] [正式] 遗留在某处的不要的一些材料碎片和垃圾，如残渣、垃圾、废弃物
deploy|vt. [正式] 有效地利用或使用
deployment|n. [U, C] 资源的调度或利用
deposit|n. [C] 某地的物质层，尤指河流、洪水、液体底部的沉积物。是一个常规用词
deposit|vt. deposit sth (in sth) / deposit sth (with sb/sth) 将贵重物品寄存或存放在某地
deposition|n. [U, C] [术语] 沉积（如沉积到岩石或土壤上一层…），也可指此种沉积物
depot|n. [C] 存储大量食物、货物或设备的一个地方，如仓库
